科目,2007年度,2008年1-6月,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
支付的各项税费,"5,396,311.64","6,048,353.65","13,078,357.56","11,249,338.05","21,039,346.14","6,485,898.40","21,906,343.73","28,621,570.45","7,547,223.01","25,570,130.36","38,889,769.77","50,098,280.57","7,090,107.16","19,824,609.37","30,442,822.91","34,383,805.39","10,098,560.83","14,347,220.62","14,421,318.61","24,988,207.94","12,751,057.38","22,297,339.42","30,621,027.98","38,273,645.05","22,957,284.30","29,026,674.73","40,160,977.65","52,795,678.43","13,753,171.98","18,224,290.06","24,196,000.37","33,388,993.44","34,102,277.30","36,733,436.24","43,943,344.90"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"10,089,139.81","5,922,260.58","10,894,994.09","9,231,548.53","16,570,764.05","11,251,959.39","17,038,704.27","13,227,384.55","2,591,298.50","6,409,659.00","17,790,741.49","14,959,594.45","7,256,795.20","9,028,181.50","24,278,725.37","31,358,665.59","9,004,532.11","17,560,100.77","32,801,129.17","42,738,175.48","14,509,339.10","26,032,192.39","38,334,628.28","54,342,494.36","16,664,353.53","32,307,042.64","47,828,857.81","55,514,801.89","13,501,435.01","30,303,328.79","45,708,223.23","50,600,817.58","23,327,449.93","41,012,894.03","62,655,849.93"
筹资活动现金流入小计,,,,,"87,000,001.25",,,"1,105,824,500.00",,,,,,,,,,,,"57,000,000.00","74,474,449.67","74,474,449.67","80,474,449.67","80,474,449.67",,,,"6,000,000.00",,"16,000,000.00","16,000,000.00","17,000,000.00",,"10,425,400.00","64,822,600.00"
经营活动现金流出小计,"44,930,332.15","49,986,160.73","74,864,030.78","92,238,070.24","194,913,246.30","89,675,620.85","139,072,987.12","169,087,911.81","76,400,600.97","153,478,218.52","212,892,335.84","254,202,967.87","47,239,978.32","106,607,357.10","166,478,455.86","266,230,050.82","51,648,485.03","101,971,076.26","171,717,254.17","242,910,260.20","138,236,503.28","219,691,785.05","297,482,709.20","379,420,201.22","122,844,454.88","219,264,677.83","304,175,981.74","472,265,060.23","162,760,619.94","255,062,947.77","361,441,044.30","428,494,114.38","165,802,923.84","281,543,371.64","390,777,423.42"
偿还债务支付的现金,"10,000,000.00",,,,,,,,,,,,,,,,,,,,,"23,000,000.00","131,563,116.34","131,474,449.67",,,,,,,,"1,000,000.00","16,000,000.00","16,000,000.00","16,000,000.00"
经营活动产生的现金流量净额,"16,101,800.03","-14,969,766.01","18,762,044.53","36,637,631.49","48,087,191.47","-8,176,680.99","-24,999,589.81","43,680,937.50","-37,348,278.40","-97,824,106.59","-130,636,358.18","-60,815,172.04","22,065,304.47","36,914,411.31","11,511,068.78","24,219,445.67","3,215,732.05","-3,268,484.43","-32,326,386.46","35,768,287.76","-50,790,471.51","-50,536,551.03","-43,561,799.26","2,908,678.75","-36,372,605.53","-43,882,176.81","-70,174,401.32","-3,427,149.27","-69,001,384.85","-66,302,253.06","-45,008,646.41","52,893,387.15","-30,690,763.52","-60,529,289.58","-79,988,413.85"
分配股利、利润或偿还利息支付的现金,"310,050.00",,,"30,000,000.00","30,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00",,"67,500,000.00","67,500,000.00","67,500,000.00",,"81,000,000.00","81,000,000.00","81,000,000.00",,"67,500,000.00","67,500,000.00","67,681,166.67","1,523,842.47","54,718,783.79","55,180,472.33","57,840,217.02",,"51,796,750.42","51,796,750.42","54,000,000.00",,"54,000,000.00","54,000,000.00","54,445,955.55","85,066.67","32,485,066.67","32,833,136.70"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,000,000.00",,,,,,,
支付其他与筹资活动有关的现金,,,,,,,,"1,188,000.00","2,275,000.00","2,275,000.00","2,275,000.00","2,275,000.00",,,,,,,,,,,,,,,,,,,,,,,
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,"8,904,484.12","8,904,484.12",,"8,904,484.12",,,,,,,
筹资活动现金流出小计,"10,310,050.00",,,"30,000,000.00","30,000,000.00","20,000,000.00","20,000,000.00","21,188,000.00","2,275,000.00","69,775,000.00","69,775,000.00","69,775,000.00",,"81,000,000.00","81,000,000.00","81,000,000.00",,"67,500,000.00","67,500,000.00","67,681,166.67","1,523,842.47","77,718,783.79","186,743,588.67","189,314,666.69",,"51,796,750.42","51,796,750.42","54,000,000.00",,"54,000,000.00","54,000,000.00","55,445,955.55","16,085,066.67","48,485,066.67","48,833,136.70"
处置固定资产、无形资产和其他长期资产收回的现金净额,"79,613.00",,,"27,140.00","27,140.00","14,263.00","14,263.00","13,843.00","4,833.00","4,833.00","4,833.00","4,833.00",,,"122,000.00","122,000.00",300.00,300.00,300.00,"15,000,400.00",,,,,"110,000.00","110,000.00","112,500.00","112,500.00",,,,,,"66,125.00","220,655.00"
筹资活动产生的现金流量净额,"-10,310,050.00",,,"-30,000,000.00","57,000,001.25","-20,000,000.00","-20,000,000.00","1,084,636,500.00","-2,275,000.00","-69,775,000.00","-69,775,000.00","-69,775,000.00",,"-81,000,000.00","-81,000,000.00","-81,000,000.00",,"-67,500,000.00","-67,500,000.00","-10,681,166.67","72,950,607.20","-3,244,334.12","-106,269,139.00","-108,840,217.02",,"-51,796,750.42","-51,796,750.42","-48,000,000.00",,"-38,000,000.00","-38,000,000.00","-38,445,955.55","-16,085,066.67","-38,059,666.67","15,989,463.30"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,"4,003,473.79","4,003,473.79","4,003,473.79",,,,"24,704,355.55",,,,,,"57,420,000.00","57,420,000.00","57,420,000.00",,,
四、汇率变动对现金的影响,"71,617.06",,"7,208.69","-27,901.80","225,676.23","-5,564.06","-13,328.27","-10,385.07","-4,159.59","-4,997.37","1,574.87","5,819.25","-2,092.64","64,483.91","25,660.65","-1,599.89",-202.43,"-36,763.11","-36,763.11","-86,633.98",,"-24,578.39","-24,578.39","-33,047.03",,"-5,301.21","-5,301.21","-3,252.16","2,136.75","2,537.39","2,537.39","1,926.80",590.56,"4,006.74","4,671.07"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,904,484.12",,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"79,613.00",,,"27,140.00","27,140.00","14,263.00","14,263.00","13,843.00","4,833.00","4,833.00","4,833.00","4,833.00",,,"122,000.00","122,000.00",300.00,"4,003,773.79","4,003,773.79","19,003,873.79",,,,"24,704,355.55","9,014,484.12","9,014,484.12","9,016,984.12","29,016,984.12",,"57,420,000.00","57,420,000.00","57,420,000.00",,"66,125.00","220,655.00"
五、现金及现金等价物净增加额,"5,589,796.84","-14,997,864.01","18,695,148.72","4,717,474.69","103,273,659.79","-28,317,939.24","-45,212,193.53","1,127,159,403.59","-42,396,232.27","-173,702,330.67","-221,339,877.86","-152,158,468.67","20,033,445.16","-46,144,202.96","-71,842,065.75","-62,032,152.97","1,792,537.79","-68,311,860.46","-99,190,268.49","41,410,528.67","21,923,895.69","-54,557,176.94","-150,837,737.51","-160,747,680.70","-27,487,103.47","-116,740,322.84","-148,336,198.50","-70,671,854.20","-69,391,544.69","-71,731,706.42","-129,705,597.30","-194,781,713.71","-85,586,501.71","-201,201,935.05","-331,302,777.12"
购建固定资产、无形资产和其他长期资产支付的现金,"353,183.25","28,098.00","74,104.50","1,919,395.00","2,066,349.16","149,957.19","213,538.45","1,161,491.84","2,773,627.28","6,103,059.71","13,434,927.55","14,078,948.88","2,029,766.67","2,123,098.18","2,500,795.18","5,371,998.75","1,423,291.83","1,510,386.71","3,330,892.71","2,593,832.23","236,240.00","751,713.40","982,220.86","1,187,450.95","128,982.06","370,578.52","1,676,729.67","4,558,436.89","392,296.59","2,051,990.75","6,319,488.28","7,488,572.11","38,811,262.08","38,033,730.54","41,445,052.64"
期初现金及现金等价物余额,"54,625,873.38","60,215,670.22","60,215,670.22","78,910,818.94","78,910,818.94","182,184,478.73","182,184,478.73","182,184,478.73","1,309,343,882.32","1,309,343,882.32","1,309,343,882.32","1,309,343,882.32","1,157,185,413.65","1,157,185,413.65","1,157,185,413.65","1,157,185,413.65","1,095,153,260.68","1,095,153,260.68","1,095,153,260.68","1,095,153,260.68","1,136,563,789.35","1,136,563,789.35","1,136,563,789.35","1,136,563,789.35","975,816,108.65","975,816,108.65","975,816,108.65","975,816,108.65","905,144,254.45","905,144,254.45","905,144,254.45","905,144,254.45","724,040,199.53","724,040,199.53","724,040,199.53"
投资支付的现金,,,,,,,,,,,"7,500,000.00","7,500,000.00",,,,,,,,,,,,"78,300,000.00",,"29,700,000.00","33,700,000.00","43,700,000.00",,"22,800,000.00","97,800,000.00","257,162,500.00",,"64,649,380.00","226,084,100.00"
期末现金及现金等价物余额,"60,215,670.22","45,217,806.21","78,910,818.94","83,628,293.63","182,184,478.73","153,866,539.49","136,972,285.20","1,309,343,882.32","1,266,947,650.05","1,135,641,551.65","1,088,004,004.46","1,157,185,413.65","1,177,218,858.81","1,111,041,210.69","1,085,343,347.90","1,095,153,260.68","1,096,945,798.47","1,026,841,400.22","995,962,992.19","1,136,563,789.35","1,158,487,685.04","1,082,006,612.41","985,726,051.84","975,816,108.65","948,329,005.18","859,075,785.81","827,479,910.15","905,144,254.45","835,752,709.76","833,412,548.03","775,438,657.15","710,362,540.74","638,453,697.82","522,838,264.48","392,737,422.41"
