科目,2007年1-6月,2008年1-6月,2009年1-6月,2009年度,2010年1-6月,2010年度,2011年1-6月,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"18,964,888.94","26,999,564.76","32,540,490.91","63,583,368.19","39,141,875.22","78,406,660.24","48,717,320.76","98,121,947.85","55,687,262.34","91,325,036.74","113,760,681.78","21,750,759.98","53,979,364.84","85,589,227.34","106,870,485.72","18,310,078.92","44,002,936.33","74,837,423.18","100,969,495.36","23,475,685.85","57,602,917.39","134,652,571.38","268,846,009.55","64,901,123.48","194,552,007.98","280,814,310.35","404,048,600.24","83,520,656.10","191,716,177.87","306,877,411.79"
二、营业利润,"12,326,981.65","38,606,877.13","14,223,503.12","28,490,611.60","18,830,884.44","37,064,970.35","24,029,459.46","49,499,383.05","28,931,290.52","47,832,786.42","55,728,285.34","8,572,697.36","26,619,596.65","48,720,829.06","57,866,780.75","6,756,134.07","18,335,492.92","32,466,559.68","39,342,661.41","4,664,071.78","6,845,224.89","15,643,654.35","10,874,094.45","2,010,572.30","21,762,496.77","34,716,334.12","43,629,203.48","1,641,726.10","15,632,486.53","25,307,734.99"
减:营业成本,"4,074,003.23","5,667,490.23","7,742,842.82","14,546,546.43","8,677,465.74","16,621,525.10","11,609,399.82","22,629,333.22","12,158,360.71","19,600,812.60","25,411,888.99","5,276,921.63","11,849,158.69","19,632,427.28","24,120,526.19","3,487,467.56","9,380,984.68","15,770,876.86","21,634,906.77","5,553,899.49","16,210,164.14","55,559,859.86","140,573,231.74","26,139,887.64","94,066,726.38","130,002,553.58","189,220,065.05","39,456,306.56","89,014,510.32","140,843,146.87"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"159,501.40","251,654.36","271,776.65","537,308.37","302,161.61","599,945.82","376,873.54","717,687.26","342,391.89","409,072.83","584,019.37","166,928.82","407,167.24","640,326.20","796,622.75","145,244.64","340,282.96","488,987.96","611,507.43","113,500.24","262,116.81","546,936.46","1,070,510.73","240,009.34","770,599.02","898,331.93","3,668,672.99","547,897.15","2,588,397.06","3,273,152.75"
营业外收入,,"169,735.04","436,704.15","1,388,091.83","279,666.92","1,532,060.52","202,052.25","1,697,243.85","9,000.00","216,977.56","2,282,291.62","5,000.00","301,886.62","830,506.18","4,455,728.18","57,103.67","2,067,666.24","2,329,514.63","3,776,006.23","183,070.65","16,889,506.32","17,230,388.87","3,869,490.83","2,086,684.19","2,117,519.16","2,213,566.90","6,633,422.26","633,844.75","1,579,634.28","1,712,718.83"
销售费用,"3,156,819.40","4,216,548.66","5,033,135.75","9,511,976.90","5,216,193.08","11,007,211.33","5,427,083.01","11,631,760.56","6,457,572.25","11,161,472.53","15,056,103.82","3,397,001.81","7,273,535.91","11,243,886.89","16,323,133.17","4,427,606.09","8,291,299.61","14,074,474.72","20,877,564.57","4,932,702.92","10,255,846.78","22,020,736.26","35,708,254.46","12,867,079.12","28,620,495.84","43,334,755.05","59,489,152.54","15,900,727.30","35,437,731.42","54,427,249.32"
减:营业外支出,,"200,000.00","2,515.01","33,992.75","25,000.00","38,947.09","3,000.00","3,000.00",,,,,,939.01,"1,000.12",,"20,000.00","30,068.85","33,052.69",,"2,585.29","2,585.29","5,126.10",,"90,172.20","126,380.17","630,266.25","131,835.39","159,454.24","198,218.51"
管理费用,"3,253,672.97","4,090,666.62","5,139,527.59","11,062,388.41","5,748,038.36","13,001,098.22","7,305,664.37","15,453,156.66","8,675,705.10","14,272,365.88","20,365,853.58","4,687,132.60","9,985,887.62","14,224,740.87","20,338,562.28","5,077,684.90","12,199,103.62","22,643,174.45","35,891,754.39","10,163,702.55","23,504,125.22","44,384,197.13","84,120,093.66","22,537,810.92","45,621,074.50","67,503,537.31","96,738,016.43","24,220,988.60","54,019,083.56","83,137,402.15"
其中:非流动资产处置净损失,,,"2,515.01",,,,,,,,,,,,"1,000.12",,,,"8,052.69",,"2,585.29","2,585.29",,,"90,172.20","95,380.17","225,172.58","122,558.69","125,235.53","125,235.53"
