科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"562,630,994.44","702,248,664.02","347,552,162.22","498,621,096.08","755,912,091.84","133,645,547.47","348,135,990.33","598,380,506.39","942,564,015.16","195,435,917.47","513,371,650.87","756,690,290.15","1,227,339,777.97","315,395,876.22","635,252,812.58","987,226,843.33","1,494,325,922.18","313,640,965.36","722,857,446.05","1,181,976,897.86","1,891,035,955.94","365,933,698.99","829,503,870.91","1,225,924,454.27","1,785,946,560.76","398,230,048.51","825,033,062.78","1,219,460,990.55","1,984,054,030.20","486,472,020.39","1,124,061,299.56","2,043,968,983.32","3,247,801,436.31","636,181,839.60","1,449,724,763.01","2,449,989,093.60","3,516,876,115.50","712,331,941.66","1,636,129,690.04"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"166,135,344.65",,"249,273,670.20","249,273,670.20","249,273,666.54",,"101,250,000.00","101,250,000.00","101,250,000.00",,"258,500,000.00"
收到的税费返还,"6,990,156.50","13,593,307.30","9,362,400.47","15,224,076.94","16,849,350.67","8,108,454.92","17,525,716.53","21,449,568.22","34,559,411.27","11,285,483.97","21,031,947.80","31,709,266.35","36,746,525.32","4,203,793.02","8,898,782.68","17,922,581.89","24,891,121.17","957,128.00","3,398,280.49","7,845,365.42","9,929,840.07","7,455,048.66","9,752,388.03","14,332,806.63","16,681,187.79","2,392,630.79","7,383,196.95","11,003,420.25","12,956,570.05","1,697,389.63","4,641,538.35","10,463,348.54","10,638,859.34","1,865,083.34","16,446,468.68","23,326,763.46","30,899,977.20","7,739,396.15","12,910,199.90"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"88,318,662.25","115,818,662.25","163,150,076.97","12,810,136.99","18,411,293.05","59,255,668.07","604,967,760.66","14,374,473.52","20,485,696.80"
收到其他与经营活动有关的现金,"6,568,217.10","3,831,453.14","761,448.01","10,487,061.63","6,135,286.43","3,300,905.80","6,426,873.79","9,424,492.48","7,905,751.98","15,784,808.50","9,262,165.32","16,266,811.56","6,030,948.85","-6,826,464.87","9,336,090.36","9,238,542.46","6,836,567.06","34,939,684.56","2,149,899.50","6,305,081.58","11,427,391.06","1,731,811.55","3,580,931.96","4,291,356.72","7,957,157.70","5,679,916.10","14,182,795.78","15,552,724.77","11,080,175.27","19,800,304.92","51,113,592.17","48,338,916.05","28,112,897.09","16,189,325.37","26,796,052.54","38,589,077.15","53,134,160.69","7,002,218.55","16,705,565.30"
投资活动现金流出小计,"89,523,749.76","57,839,159.92","12,643,594.64","30,517,023.99","26,097,832.45","16,434,564.34","21,353,698.84","96,044,720.91","100,003,042.12","131,823,759.84","147,561,381.09","317,565,962.95","317,753,921.63","38,037,668.52","171,169,487.61","258,945,413.10","323,628,869.96","77,262,946.64","64,989,747.86","73,729,182.40","92,210,854.57","44,838,230.94","284,344,983.73","444,304,294.50","639,151,947.48","281,444,449.90","621,404,507.23","1,257,098,223.92","1,706,458,121.62","236,749,726.20","973,498,323.25","1,615,533,213.00","2,203,284,935.20","263,674,414.97","862,898,670.73","2,256,884,744.59","3,041,925,595.17","226,599,492.14","577,084,777.95"
经营活动现金流入小计,"576,189,368.04","719,673,424.46","357,676,010.70","524,332,234.65","778,896,728.94","145,054,908.19","372,088,580.65","629,254,567.09","985,029,178.41","222,506,209.94","543,665,763.99","804,666,368.06","1,270,117,252.14","312,773,204.37","653,487,685.62","1,014,387,967.68","1,526,053,610.41","349,537,777.92","728,405,626.04","1,196,127,344.86","1,912,393,187.07","375,120,559.20","842,837,190.90","1,244,548,617.62","1,810,584,906.25","406,302,595.40","846,599,055.51","1,246,017,135.57","2,008,090,775.52","507,969,714.94","1,179,816,430.08","2,102,771,247.91","3,286,553,192.74","654,236,248.31","1,492,967,284.23","2,511,904,934.21","3,600,910,253.39","727,073,556.36","1,665,745,455.24"
投资活动产生的现金流量净额,"-88,771,507.11","-23,217,911.61","-12,637,183.68","-30,510,613.03","-25,426,421.49","-16,434,564.34","-21,289,198.84","-72,474,104.47","-76,310,058.68","-17,216,314.96","-32,864,579.62","-56,103,860.14","-90,463,262.49","-38,038,360.83","-171,119,878.92","-258,895,184.41","-323,346,247.25","-62,123,085.40","-49,619,316.62","-58,234,237.16","-76,380,913.33","-44,630,959.84","-67,739,815.68","-59,864,013.10","-140,307,399.36","-34,695,631.09","-204,953,736.05","-291,509,642.27","-337,607,900.54","-15,921,057.39","-208,865,421.42","-230,797,751.72","-185,580,280.62","-4,169,346.84","-209,031,699.46","-373,681,838.71","-150,562,902.19","-19,808,799.86","-273,260,940.77"
购买商品、接受劳务支付的现金,"440,994,839.19","561,151,031.35","229,330,990.99","389,452,558.74","530,403,410.16","141,014,508.41","300,228,668.18","483,350,713.69","705,017,855.38","235,509,811.67","429,933,977.33","666,262,223.80","989,105,139.67","309,651,452.30","550,122,051.50","822,953,269.81","1,199,016,428.81","337,008,428.21","640,910,322.53","1,078,684,734.15","1,650,671,752.79","354,031,246.03","800,389,897.95","1,132,939,357.76","1,452,058,259.10","412,519,700.89","754,175,800.23","1,161,922,761.62","1,744,220,406.48","431,164,527.92","796,028,858.65","1,644,163,418.34","2,529,866,453.72","786,136,546.98","1,392,162,839.78","2,383,704,688.43","3,208,707,394.36","795,019,248.88","1,625,985,376.88"
吸收投资收到的现金,"69,263,841.20",,,,"608,800,000.00",,,,,,,"39,036,500.00","39,036,500.00",,"650,000.00","4,327,200.00","4,327,200.00",,,,,,,,,,,"14,700,000.00","14,700,000.00",,,"3,000,000.00",,"1,081,499,995.30","1,081,499,995.30","1,081,499,995.30","1,081,499,995.30",,
