科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"19,036,160.58","35,844,903.20","59,701,220.05","73,969,749.13","72,469,680.37","383,428,622.37","352,328,806.08","375,410,675.92","355,836,413.33","358,599,507.01","357,745,210.19","354,843,494.83","370,741,450.52","343,562,800.76","338,754,772.04","354,083,136.70","366,597,423.09","390,313,299.78","199,135,614.97","235,637,265.49","261,845,836.36","194,224,416.21","208,326,638.88","301,065,969.43","257,180,419.69","279,310,164.85","507,179,091.26","554,792,657.11","187,279,566.14","116,119,514.52","105,433,639.54","171,115,827.62","138,217,431.32","171,623,847.02","143,506,580.77","105,783,924.72","109,149,449.88"
短期借款,"35,100,000.00","33,900,000.00","49,500,000.00","49,500,000.00","46,000,000.00","40,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00",,,,,,,,"245,000.00",,,,,,"68,000,000.00","165,600,000.00","298,600,000.00","416,100,000.00","447,300,000.00","447,300,000.00","447,300,000.00","459,600,000.00","370,100,000.00","374,100,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"615,000.00","436,954.00","920,000.00","200,000.00","200,000.00","309,740.00","500,000.00","100,000.00","200,000.00",,,,,,,,,,,,,,,,,,,,,"239,000.00","709,000.00","500,000.00","500,000.00","500,000.00","338,000.00","2,396,000.00","1,380,000.00"
应付票据,,,,,,,,,,,,,,,,,,,,,,,"15,376,500.00","31,931,400.00","23,379,800.00","11,696,200.00","10,726,800.00","12,467,000.00","17,777,754.00","18,393,601.30","19,503,027.30","27,727,780.00","29,810,000.00","15,325,800.00","6,668,550.00","10,787,770.00","7,212,320.00"
应收账款,"6,130,011.78","6,530,034.24","9,649,222.25","8,416,553.45","6,778,821.83","7,545,343.69","4,632,259.41","5,203,871.91","2,996,305.85","2,992,171.25","3,200,452.52","2,688,521.95","2,365,584.17","6,995,240.92","4,153,494.95","4,886,256.65","3,495,492.69","5,431,701.60","4,673,548.64","6,087,588.42","4,347,738.01","5,653,146.22","7,097,095.17","6,741,400.86","4,672,204.02","10,288,962.01","8,140,949.66","24,895,339.75","67,034,589.92","82,982,177.18","77,606,617.88","86,421,448.29","70,299,528.13","86,741,018.22","101,657,952.10","97,536,125.09","83,545,544.86"
应付账款,"2,596,968.83","1,642,165.48","1,522,681.84","1,435,466.81","712,762.06","597,828.59","162,079.65","91,008.36","16,914.02","15,499.22","112,784.27","35,334.05","773,444.77","115,800.38","13,277.67","90,189.70","33,583.28","52,035.76","1,276.88","2,165.60","85,462.34","19,881.16","57,328.90","143,033.47","32,227.72","5,334,147.04","3,531,605.16","9,059,088.81","73,523,343.07","57,257,999.75","45,769,605.77","48,822,983.71","62,728,466.41","57,977,249.36","50,344,866.10","51,316,610.53","41,097,295.26"
预付款项,"4,370,039.64","4,092,318.39","2,696,232.58","5,491,443.14","15,135,227.63","13,182,957.12","20,020,872.43","21,506,422.07","27,245,745.05","17,525,663.90","13,930,051.31","11,713,301.62","22,896,065.35","16,516,346.51","15,927,511.51","14,037,617.94","26,122,252.65","18,442,896.85","19,697,950.04","13,653,959.69","13,951,674.36","16,791,074.79","9,335,221.83","8,951,068.09","5,088,365.87","33,811,601.06","60,121,198.00","80,666,738.12","135,893,655.11","340,838,226.29","32,329,608.66","34,506,811.97","26,461,341.30","23,975,521.56","24,092,369.44","34,113,184.98","29,774,290.15"
预收款项,"6,892,177.03","8,083,947.19","13,394,435.05","26,418,610.12","30,471,841.53","32,258,579.16","40,743,997.56","60,542,594.83","60,438,716.59","51,847,532.09","57,376,633.81","63,073,524.56","73,845,399.50","112,243,831.40","117,023,032.46","131,595,837.58","135,415,849.04","149,493,074.57","153,049,536.53","160,144,634.64","164,641,582.73","157,361,323.34","143,026,505.28","129,985,169.73","115,665,735.32","24,634,073.27","15,984,698.05","17,056,199.53","26,498,425.02","27,534,324.90","24,676,904.59","19,314,120.61","19,585,888.90","21,618,871.14","20,886,481.56","23,214,895.72","19,357,522.26"
其他应收款,"57,791,189.11","15,080,875.88","9,335,890.89","12,342,349.63","13,811,351.14","9,256,734.08","9,901,588.23","10,216,096.36","6,484,584.73","9,689,573.02","12,429,170.66","49,351,071.53","8,823,935.40","23,474,434.48","16,278,294.98","19,486,137.19","12,435,697.57","22,506,181.24","21,523,184.23","24,075,030.49","17,544,064.32","15,889,012.76","20,195,327.78","17,324,811.08","13,063,312.90","15,862,193.76","17,162,234.03","23,282,952.16","52,114,358.98","36,555,751.47","34,256,007.56","36,987,190.42","28,572,151.49","36,266,036.26","24,434,467.66","23,784,394.58","17,745,661.53"
