科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月
销售商品、提供劳务收到的现金,"7,029,494,888.80","13,799,125,886.96","20,667,474,685.27","28,713,624,373.28","9,439,855,898.36","20,115,044,252.07","33,830,139,639.55","38,026,517,447.94","4,410,784,851.21","9,407,513,370.20","18,299,300,869.40"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,
收到其他与经营活动有关的现金,"6,119,825.15","19,869,315.90","51,020,843.76","22,765,254.78",,"5,334,736.09","5,334,736.09","20,329,962.45","14,461,289.96","10,991,944.92","6,518,005.85"
投资活动现金流出小计,"52,067,576.50","161,453,101.50","516,372,461.48","1,061,437,454.25","1,365,002,361.75","1,631,815,296.34","1,846,706,216.58","2,548,271,962.05","758,085,963.74","1,443,759,090.44","1,611,817,393.67"
经营活动现金流入小计,"7,035,614,713.95","13,818,995,202.86","20,718,495,529.03","28,736,389,628.06","9,439,855,898.36","20,120,378,988.16","33,835,474,375.64","38,046,847,410.39","4,425,246,141.17","9,418,505,315.12","18,305,818,875.25"
投资活动产生的现金流量净额,"-51,900,576.50","-160,344,877.50","-490,747,461.48","-884,103,882.85","-1,363,738,494.75","-1,628,859,710.74","-1,842,524,658.98","-2,512,282,766.45","-757,446,725.74","-1,437,339,447.64","-1,604,076,792.99"
购买商品、接受劳务支付的现金,"5,000,189,583.99","10,770,145,272.72","17,531,943,562.56","23,638,420,043.87","7,997,966,291.63","17,214,032,598.26","30,358,565,342.83","32,463,443,990.78","3,006,667,510.87","4,929,643,761.28","15,090,141,457.52"
吸收投资收到的现金,,,,,,,,,,,
支付给职工以及为职工支付的现金,"295,823,677.07","476,573,379.40","702,394,137.50","1,280,942,986.50","282,000,143.16","507,559,065.17","744,651,009.08","1,380,547,256.09","255,534,736.72","600,034,989.26","803,854,095.55"
取得借款收到的现金,,,,"400,000,000.00","566,013,400.00",,"1,195,659,061.91","2,350,000,000.00","900,000,000.00","1,300,000,000.00","2,100,000,000.00"
支付的各项税费,"456,192,336.41","1,049,634,728.92","1,521,154,631.23","2,148,980,263.06","278,130,369.71","779,175,464.07","1,143,190,052.18","1,228,238,822.33","354,198,365.99","635,751,392.58","1,005,730,305.96"
收到其他与筹资活动有关的现金,,,,,,,,,,,
支付其他与经营活动有关的现金,"169,644,166.36","44,728,271.71","403,366,550.20","394,467,117.14","51,360,006.55","340,538,719.99","536,018,503.36","387,114,386.64","38,113,244.01","318,471,186.38","70,102,244.50"
筹资活动现金流入小计,,,,"400,000,000.00","566,013,400.00",,"1,195,659,061.91","2,350,000,000.00","900,000,000.00","1,300,000,000.00","2,100,000,000.00"
经营活动现金流出小计,"5,921,849,763.83","12,341,081,652.75","20,158,858,881.49","27,462,810,410.57","8,609,456,811.05","18,841,305,847.49","32,782,424,907.45","35,459,344,455.84","3,654,513,857.59","6,483,901,329.50","16,969,828,103.53"
偿还债务支付的现金,"44,484,871.49","44,484,871.49","194,484,871.49","1,131,515,943.94","45,659,061.91","114,422,776.61","460,081,838.52","2,147,079,439.18","652,180,000.00","1,414,338,232.14","1,892,664,956.12"
经营活动产生的现金流量净额,"1,113,764,950.12","1,477,913,550.11","559,636,647.54","1,273,579,217.49","830,399,087.31","1,279,073,140.67","1,053,049,468.19","2,587,502,954.55","770,732,283.58","2,934,603,985.62","1,335,990,771.72"
