科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
预计负债,,"16,595,385.43",,"2,200,000.00","2,200,000.00","2,200,000.00","2,200,000.00","2,195,650.52",,,,,,,
固定资产,"346,454,696.22","335,360,608.63","294,755,177.13","279,609,186.40","271,721,969.33","266,616,460.26","256,898,074.42","248,147,307.31","239,613,135.94","467,247,791.74","459,293,348.17","459,739,096.77","449,502,670.23","550,687,755.89","638,674,054.74"
递延所得税负债,"3,692,716.21","3,209,436.84","2,726,157.53","2,484,517.87","2,363,698.05","2,242,878.22","2,122,058.38","2,001,238.54","1,880,418.70","1,759,598.91","1,638,779.08","1,517,959.25","1,397,139.42","1,813,992.14","1,776,075.35"
在建工程,"128,371,480.98","203,085,287.84","304,394,478.68","382,687,104.57","433,566,174.30","485,470,129.03","503,291,428.14","520,898,436.39","597,567,014.10","386,006,668.99","417,737,125.92","490,366,054.38","545,303,654.97","615,608,352.48","552,687,977.68"
其他非流动负债,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,
非流动负债合计,"469,847,886.79","413,078,063.70","371,773,563.30","428,141,943.81","462,381,204.39","456,561,243.89","446,428,295.05","459,410,957.31","420,099,186.63","363,218,312.83","623,935,317.46","676,684,210.23","585,988,557.98","529,630,266.36","453,889,654.65"
固定资产清理,,,,,,,,,,,,,,,
负债合计,"734,737,555.74","758,253,715.35","686,709,112.80","747,193,638.07","818,787,748.37","865,900,518.23","862,603,235.32","969,502,889.17","1,141,010,701.72","1,139,698,995.53","1,500,958,342.78","1,687,164,561.18","1,565,343,141.74","1,503,654,321.69","1,378,083,388.63"
生产性生物资产,,,,,,,,,,,,,,,
实收资本(或股本),"357,000,000.00","369,000,000.00","369,000,000.00","369,000,000.00","369,000,000.00","369,000,000.00","411,000,000.00","411,000,000.00","421,142,000.00","421,142,000.00","421,142,000.00","633,865,976.00","636,349,825.00","638,552,081.00","641,654,222.00"
油气资产,,,,,,,,,,,,,,,
资本公积,"26,642,171.31","195,125,450.68","195,608,729.99","195,850,369.65","195,971,189.47","197,276,100.73","266,516,420.57","266,637,240.41","412,859,682.93","431,368,598.74","540,275,653.05","382,433,928.16","477,777,735.62","623,983,751.60","732,531,626.32"
无形资产,"160,739,342.57","154,930,679.59","147,275,634.51","143,153,107.73","140,541,456.85","136,855,976.61","134,719,846.93","132,177,773.17","129,567,717.68","126,844,784.95","124,200,055.66","121,555,326.35","118,920,097.08","116,274,867.81","303,004,817.82"
盈余公积,,,,,,,,,,"9,071,694.36","9,071,694.36","9,071,694.36","9,071,694.36","42,968,441.51","42,968,441.51"
开发支出,"2,501,468.34","16,470,875.29","30,668,023.34","36,603,679.18","47,907,539.82","54,438,305.86","61,200,992.80","69,047,731.35","78,287,728.24","88,977,443.25","104,991,656.37","118,987,242.38","127,878,337.59","87,932,291.24","37,220,913.39"
减:库存股,,,,,,,,,"140,263,860.00","140,263,860.00","140,263,860.00","189,509,930.00","146,045,857.56","146,045,857.56","145,853,818.16"
商誉,,,,,,,,,,,,,,,
未分配利润,"-11,475,791.29","19,686,794.04","82,508,473.92","138,591,548.98","156,910,893.41","168,722,012.51","196,852,348.85","214,608,765.61","300,422,474.98","349,693,800.79","459,573,198.07","501,294,877.13","591,126,877.10","616,716,845.87","716,438,497.31"
长期待摊费用,"10,800,600.36","11,000,487.58","8,449,285.60","7,231,313.95","6,622,328.32","6,172,070.69","5,408,124.59","4,644,178.47","7,229,784.16","16,119,458.03","17,737,976.75","21,973,659.75","27,547,442.34","29,994,108.29","44,660,127.09"
少数股东权益,,,,,,,,,,,,,,,
递延所得税资产,"35,581,298.25","32,275,268.99","35,523,335.88","38,076,743.01","43,499,051.16","50,745,019.49","50,745,019.49","59,503,947.98","59,503,947.98","84,115,820.89","84,115,820.89","107,193,373.83","107,193,373.83","161,484,218.14","161,484,218.14"
外币报表折算价差,,,,,,,,,,,,,,,
其他非流动资产,"42,033,813.76","39,499,863.66","51,093,230.06","47,160,752.57","45,266,678.31","20,310,544.06","37,247,124.12","42,743,531.67","36,624,872.24","51,239,082.95","77,545,722.92","64,194,907.83","115,573,857.56","34,185,965.95","48,186,515.42"
非正常经营项目收益调整,,,,,,,,,,,,,,,
非流动资产合计,"727,101,551.31","793,179,757.61","872,653,686.43","935,002,497.32","989,605,808.00","1,021,089,115.91","1,049,991,220.40","1,077,643,516.25","1,148,874,810.25","1,221,031,660.71","1,286,102,316.59","1,384,490,271.20","1,492,400,043.51","1,596,213,684.02","1,785,964,748.50"
所有者权益(或股东权益)合计,"372,166,380.02","583,812,244.72","647,117,203.91","703,441,918.63","721,882,082.88","734,998,113.24","874,368,769.42","892,246,006.02","994,160,297.91","1,071,012,233.89","1,289,798,685.48","1,433,307,537.90","1,643,469,677.28","1,832,791,626.20","2,018,016,306.01"
资产总计,"1,106,903,935.76","1,342,065,960.07","1,333,826,316.71","1,450,635,556.70","1,540,669,831.25","1,600,898,631.47","1,736,972,004.74","1,861,748,895.19","2,135,170,999.63","2,210,711,229.42","2,790,757,028.26","3,120,472,099.08","3,208,812,819.02","3,336,445,947.89","3,396,099,694.64"
负债和所有者(或股东权益)合计,"1,106,903,935.76","1,342,065,960.07","1,333,826,316.71","1,450,635,556.70","1,540,669,831.25","1,600,898,631.47","1,736,972,004.74","1,861,748,895.19","2,135,170,999.63","2,210,711,229.42","2,790,757,028.26","3,120,472,099.08","3,208,812,819.02","3,336,445,947.89","3,396,099,694.64"
