科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"426,600,092.18","464,990,685.80","632,060,874.73",,"271,715,943.32","362,180,013.30","671,266,622.63","127,016,261.27","452,879,948.58","660,151,545.24","1,043,675,100.93","161,072,729.05","436,982,345.47","796,738,141.13","1,512,851,866.62","279,942,915.93","898,348,161.34"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,"145,301,928.64",,,,,,
收到的税费返还,"970,961.14","2,554,746.84","325,716.08",,"349,904.83","386,636.50","386,636.50","367,107.82","367,107.82","481,032.71","481,032.71",,,,,"1,320,832.99","1,726,011.57"
支付其他与投资活动有关的现金,,"1,900,000.00",,,,,,"9,187,729.52","17,038,629.52","25,616,000.00","73,971,840.00","12,225,500.00","11,081,667.39","2,161,200.00","7,048,055.71","3,409,952.82","11,758,659.62"
收到其他与经营活动有关的现金,"21,691,205.09","15,844,183.10","15,998,571.46",,"10,903,712.54","14,168,940.76","11,801,721.07","16,376,287.93","17,190,253.74","23,923,849.60","17,690,787.97","39,275,268.74","41,786,572.82","43,527,978.92","44,313,740.31","41,815,044.79","45,010,969.53"
投资活动现金流出小计,"64,252,165.57","59,597,291.91","40,341,445.97",,"3,960,434.78","24,590,810.26","44,843,616.69","27,968,026.83","52,215,790.10","284,728,846.54","353,508,565.24","50,178,626.23","162,753,002.48","208,504,467.83","260,743,556.19","61,446,694.12","133,105,383.21"
经营活动现金流入小计,"449,262,258.41","483,389,615.74","648,385,162.27",,"282,969,560.69","376,735,590.56","683,454,980.20","143,759,657.02","470,437,310.14","684,556,427.55","1,061,846,921.61","200,347,997.79","478,768,918.29","840,266,120.05","1,557,165,606.93","323,078,793.71","945,085,142.44"
投资活动产生的现金流量净额,"-55,928,392.35","-56,679,191.91","-16,433,060.97","-1,700,700.00","-3,960,434.78","-24,570,732.72","-44,747,427.96","-27,968,026.83","-52,215,790.10","-253,924,775.20","-292,917,200.16","-37,760,484.86","-148,534,861.11","-194,286,326.46","-195,682,734.82","-57,109,588.41","-128,762,162.50"
购买商品、接受劳务支付的现金,"339,857,318.77","395,248,588.38","534,226,672.61",,"258,347,278.18","411,521,844.51","661,733,254.23","122,034,711.59","417,050,136.97","612,437,556.77","881,663,573.56","201,373,817.38","451,812,078.73","776,606,118.36","1,208,541,209.61","394,193,597.88","957,110,234.62"
吸收投资收到的现金,,,,,"325,917,500.00","321,413,312.95","349,400,000.00",,,,"50,000,000.00",,,,"6,900,000.00","746,500,000.00","747,600,000.00"
支付给职工以及为职工支付的现金,"24,043,197.81","27,297,371.71","36,327,764.64",,"22,048,922.29","33,837,211.20","44,032,230.88","14,267,429.22","29,432,387.07","51,868,810.92","84,091,495.05","32,501,587.14","68,250,806.06","105,771,345.36","142,232,182.17","40,309,377.48","86,300,846.21"
取得借款收到的现金,"30,000,000.00","103,000,000.00","63,000,000.00",,"28,000,000.00","28,000,000.00","28,000,000.00","50,000,000.00","58,000,000.00","248,000,000.00","279,600,000.00","159,000,000.00","384,280,000.00","536,280,000.00","545,280,000.00","162,000,000.00","379,000,000.00"
