科目,2011-12-31,2012-12-31,2013-12-31,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"128,376,274.66","170,252,444.54","210,262,070.44","159,547,705.82","194,783,041.23","629,381,333.43","269,113,846.48","283,006,834.03","604,317,305.51","323,590,527.73","255,085,615.74","273,477,277.94","298,236,914.74","279,832,734.40","326,789,287.79","317,463,194.28"
短期借款,"99,641,020.94","70,953,058.60","61,353,689.67","82,156,782.64","74,068,755.32","59,144,626.56","47,379,663.90","34,701,098.58","33,356,038.62","27,011,027.61","26,316,123.96","34,264,678.44","38,195,407.44","63,562,918.97","82,842,879.05","68,527,987.42"
交易性金融资产,,,,,,,,,,,"1,644,181.74","4,006,680.00",,,,"6,592,244.59"
交易性金融负债,"349,608.00","110,194.84",,,,,,,,,,,,,,
应收票据,"89,895,166.90","80,096,100.92","97,209,822.59","110,773,468.41","104,352,057.91","106,518,258.08","97,999,579.28","93,786,851.17","85,993,834.05","79,765,084.52","93,808,222.69","90,176,425.94","100,554,766.19","139,710,042.04","164,127,828.41","169,849,890.16"
应付票据,"6,522,167.40","4,428,266.78","17,797,680.04","25,567,240.52","30,265,545.71","24,180,473.20","29,536,716.11","30,219,177.56","15,919,728.63","13,764,281.98","9,774,088.63","4,960,350.12","5,364,121.18","7,115,889.37","8,260,769.51","30,512,855.39"
应收账款,"71,606,951.84","77,602,476.76","106,187,615.82","135,812,149.60","122,784,062.61","140,176,017.42","163,089,993.13","145,272,333.81","130,589,838.75","155,351,704.26","188,223,226.23","183,025,061.81","214,690,323.32","230,356,431.17","242,646,544.24","257,154,521.55"
应付账款,"31,746,296.01","23,144,088.14","51,696,159.89","58,337,444.43","41,952,858.27","58,800,416.56","54,059,707.65","58,304,678.48","46,422,690.46","61,161,628.85","90,593,161.70","93,406,519.54","112,993,981.54","109,700,313.55","144,900,367.23","145,714,194.15"
预付款项,"1,789,380.46","5,047,808.68","4,738,582.32","9,783,388.82","10,834,293.34","12,044,935.57","8,578,048.38","9,152,897.82","6,969,193.63","10,547,271.37","14,636,966.80","19,005,889.14","7,457,221.41","10,466,680.17","11,749,031.20","16,855,088.38"
预收款项,"1,204,301.28","980,760.30","968,984.53","1,230,861.06","595,772.34","1,159,505.33","1,029,324.96","1,109,009.00","2,741,623.83","2,461,502.52","23,563,521.37","30,286,789.98","12,414,072.00","13,952,273.21","12,173,377.73","16,805,756.54"
