科目,2014年度,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"652,166,487.71","866,194,212.52","1,080,191,092.71","148,539,969.64","339,017,026.06","496,878,837.38","911,655,491.82","194,649,711.09","329,202,519.31","580,484,348.04","740,548,319.76","265,569,203.70"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,
收到其他与经营活动有关的现金,"2,719,928.39","19,651,511.82","909,306.16","3,076,757.98","9,878,866.95","13,713,150.19","9,922,752.06","1,855,827.90","298,719.46","1,817,141.30","7,615,573.05","2,313,274.83"
投资活动现金流出小计,"647,694.00","3,106,399.06","5,595,630.85","98,760.69","12,827,378.73","6,052,376.02","7,588,919.53","9,890,746.07","12,241,734.18","12,738,476.62","14,066,955.90","992,647.41"
经营活动现金流入小计,"654,886,416.10","885,845,724.34","1,081,100,398.87","151,616,727.62","348,895,893.01","510,591,987.57","921,578,243.88","196,505,538.99","329,501,238.77","582,301,489.34","748,163,892.81","267,882,478.53"
投资活动产生的现金流量净额,"-133,523.08","-2,838,982.90","-4,273,950.35","198,813.20","-11,889,396.91","-3,958,582.56","-2,449,157.34","-8,959,874.58","-10,592,367.27","-10,421,719.71","-10,773,511.16","-161,932.14"
购买商品、接受劳务支付的现金,"637,778,597.80","781,252,031.76","853,757,958.67","207,623,704.76","395,420,626.70","576,426,460.35","770,234,405.64","257,554,368.00","442,628,652.41","798,613,572.09","866,589,187.83","214,286,506.85"
吸收投资收到的现金,,,,"294,197,400.00","294,197,400.00","294,197,400.00","294,197,400.00",,,,,
支付给职工以及为职工支付的现金,"33,860,267.41","31,776,917.18","42,734,291.38","12,908,180.59","22,574,107.82","35,786,644.77","51,527,981.81","18,522,184.21","36,614,598.51","53,641,306.09","73,453,833.96","22,739,956.14"
取得借款收到的现金,"124,000,000.00","204,658,991.49","157,765,015.00","3,000,000.00","3,000,000.00","73,000,000.00","123,558,904.00","29,333,881.00","79,359,941.50","159,750,964.00","280,090,703.50",
支付的各项税费,"42,750,162.51","46,075,623.97","60,878,547.93","14,169,737.74","22,513,037.15","31,752,983.88","55,282,202.16","4,291,100.36","4,628,561.72","11,988,802.40","58,219,303.21","9,226,393.79"
收到其他与筹资活动有关的现金,,"1,572,855.65",,,,,,"2,763,677.14","2,942,917.43",,"1,880,396.55","5,701,135.09"
支付其他与经营活动有关的现金,"47,857,383.00","17,943,322.06","46,790,936.20","9,811,597.27","10,340,637.65","16,128,896.40","21,335,355.12","20,973,168.04","26,325,574.67","8,760,482.03","21,975,832.29","4,422,806.57"
筹资活动现金流入小计,"124,000,000.00","206,231,847.14","157,765,015.00","297,197,400.00","297,197,400.00","367,197,400.00","417,756,304.00","32,097,558.14","82,302,858.93","159,750,964.00","281,971,100.05","5,701,135.09"
