科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"1,517,663,169.33","1,934,112,862.53","1,284,668,429.93","463,291,988.33","667,734,934.81","910,715,011.85","173,285,977.77","415,246,231.06","580,407,860.07","1,072,931,377.70","212,660,912.69","465,836,875.44","639,084,774.90","1,006,885,112.18","152,788,904.05","450,122,804.66","641,162,997.31","1,103,811,205.24","188,219,711.64","608,178,188.67","958,578,440.46","1,551,162,886.37","261,661,691.42","817,292,972.43","1,241,086,766.20","1,953,879,792.55","354,908,355.67","884,523,393.29"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"4,508,231.82","24,708,263.66","1,126,676.35","1,264,270.43","1,425,679.64","3,283,209.00","26,389.58","242,110.03","506,348.31","1,910,836.00",,"788,260.21","968,375.90","1,155,981.10",,"238,618.50","1,378,041.16","1,391,547.73",,,,"851,295.60","417,211.16","814,808.26","2,509,887.91","3,056,921.48",,"31,406.16"
支付其他与投资活动有关的现金,"2,234,397,635.00","3,138,538,540.00","1,124,378,100.00",,,,,"400,000,000.00","400,000,000.00","1,670,000,000.00","670,000,000.00","1,170,000,000.00","1,370,000,000.00","1,370,000,000.00",,,"200,000,000.00","400,000,000.00",,,"200,000,000.00","620,000,000.00",,,,"21,112,924.23",,
收到其他与经营活动有关的现金,"17,135,407.09","34,927,530.07","77,153,901.43","56,226,014.74","75,417,409.11","75,060,867.96","15,676,756.43","55,224,921.13","69,323,767.93","91,159,066.54","53,939,635.49","70,669,431.59","75,431,174.34","106,346,886.10","16,508,831.81","52,610,577.41","73,649,368.24","154,547,787.55","30,991,557.81","58,886,413.44","130,120,887.88","143,348,086.85","13,049,503.25","48,809,562.23","145,103,313.70","130,098,623.13","23,700,116.68","51,775,716.82"
投资活动现金流出小计,"2,439,144,609.45","3,332,160,390.27","1,382,010,337.95","165,672,215.97","286,292,523.00","408,967,536.73","103,080,724.26","580,679,233.67","675,057,856.97","2,028,589,550.17","737,801,733.96","1,322,830,582.49","1,562,973,891.54","1,630,931,314.82","58,761,764.08","111,508,236.06","368,384,633.43","626,202,411.89","110,486,332.59","164,743,183.76","401,017,680.05","874,732,415.69","400,245,251.41","627,969,059.51","901,230,743.90","480,632,162.51","264,593,838.87","731,906,549.59"
经营活动现金流入小计,"1,539,306,808.24","1,993,748,656.26","1,362,949,007.71","520,782,273.50","744,578,023.56","989,059,088.81","188,989,123.78","470,713,262.22","650,237,976.31","1,166,001,280.24","266,600,548.18","537,294,567.24","715,484,325.14","1,114,387,979.38","169,297,735.86","502,972,000.57","716,190,406.71","1,259,750,540.52","219,211,269.45","667,064,602.11","1,088,699,328.34","1,695,362,268.82","275,128,405.83","866,917,342.92","1,388,699,967.81","2,087,035,337.16","378,608,472.35","936,330,516.27"
投资活动产生的现金流量净额,"-540,232,996.75","320,433,996.79","-218,500,399.04","-165,665,718.97","-286,286,026.00","-408,961,039.73","-103,069,827.30","-578,522,452.60","-672,149,918.35","-335,897,690.73","37,747,371.63","-376,071,687.32","-444,648,078.89","-445,298,024.65","495,173,447.85","442,422,925.87","185,549,880.14","-63,911,279.62","-106,163,832.59","-156,022,783.76","-177,773,094.88","-245,433,205.40","-97,674,778.12","-224,249,734.74","-192,447,373.70","-445,353,681.68","-163,273,325.31","-243,786,714.26"
购买商品、接受劳务支付的现金,"1,088,918,079.31","1,350,926,081.91","1,057,703,183.87","222,074,512.24","308,294,458.94","372,218,106.69","59,665,600.78","119,482,758.40","268,087,836.59","368,424,698.76","72,676,688.11","142,038,515.85","324,921,402.71","480,942,574.97","69,320,027.83","221,325,704.86","295,423,222.81","415,770,749.71","71,648,743.55","275,716,130.11","390,713,057.80","650,055,760.14","183,333,187.34","456,588,564.79","715,406,824.81","823,551,604.08","231,618,401.67","589,688,283.85"
吸收投资收到的现金,"2,000,000.00",,,"1,517,168,000.00","1,517,168,000.00","1,517,168,000.00",,,,,,,"8,000,000.00","8,000,000.00",,"4,824,470.12","4,824,470.12","4,824,470.12",,,,,,,"39,178,300.00","55,638,300.00","53,446,425.00","53,446,425.00"
