科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"374,457,045.99","449,393,127.56","705,788,145.77","114,385,937.02","250,928,089.30","403,779,743.38","588,051,379.42","174,011,364.35","324,418,842.66","489,599,150.25","543,615,088.58","168,857,296.78","359,052,243.85","594,205,703.43","645,494,238.88","269,745,108.15","462,933,559.11","725,833,160.92","703,799,877.58","184,773,519.62","305,076,996.35","453,616,503.84","623,810,860.22","203,735,051.88","363,133,093.28","568,753,775.93","826,842,633.92"
取得子公司及其他营业单位支付的现金净额,,,,,,,,"3,234,350.00","-550,761.58","-550,761.58","650,095.22",,,,,,,,,,,,,,"5,992,947.83","7,992,947.83","7,992,947.83"
收到的税费返还,"4,112,386.78","3,304,045.13","4,438,919.15","610,030.99","1,546,232.00","1,813,351.94","1,922,514.94","82,516.23","289,618.99","861,187.39","1,295,967.97","543,696.09","1,089,549.69","1,861,926.86","2,025,539.49","254,524.78","437,102.45","459,291.39","497,914.57","54,122.86","156,142.81","196,759.72","369,444.99","663,960.15","1,163,208.97","1,677,242.04","1,921,948.53"
支付其他与投资活动有关的现金,"751,103.80",,,,,,"1,386,150.00",,,,,,,,,,,,,,,,,"3,000,000.00",,,
收到其他与经营活动有关的现金,"658,981.29","2,557,236.28","1,480,019.56","2,410,045.18","7,655,834.86","12,061,952.34","5,669,355.73","3,897,025.82","5,315,238.12","6,236,537.85","3,898,149.22","6,310,879.76","9,543,808.00","10,145,139.09","6,653,921.87","1,739,748.09","5,895,786.09","6,800,971.84","5,178,286.44","2,458,713.83","4,212,047.98","9,848,573.94","3,018,708.09","3,974,966.35","1,744,614.06","12,864,968.33","3,607,580.84"
投资活动现金流出小计,"34,116,586.79","16,409,293.54","7,198,745.94","3,785,267.33","10,385,116.50","17,463,862.79","37,289,618.03","30,125,243.36","44,694,252.78","67,311,684.54","122,836,564.66","47,611,115.99","77,314,982.66","95,988,320.49","102,513,589.32","15,286,139.32","22,645,376.30","35,772,260.77","51,214,191.12","4,627,950.00","20,311,633.63","24,572,487.90","24,084,642.10","14,313,033.02","32,065,136.76","36,057,641.80","57,579,799.58"
经营活动现金流入小计,"379,228,414.06","455,254,408.97","711,707,084.48","117,406,013.19","260,130,156.16","417,655,047.66","595,643,250.09","177,990,906.40","330,023,699.77","496,696,875.49","548,809,205.77","175,711,872.63","369,685,601.54","606,212,769.38","654,173,700.24","271,739,381.02","469,266,447.65","733,093,424.15","709,476,078.59","187,286,356.31","309,445,187.14","463,661,837.50","627,199,013.30","208,373,978.38","366,040,916.31","583,295,986.30","832,372,163.29"
投资活动产生的现金流量净额,"-28,256,670.84","-10,688,842.54","-4,177,671.29","-3,785,267.33","-10,042,698.73","-17,051,445.02","-37,067,018.03","-30,125,243.36","-44,694,252.78","-67,304,684.54","-122,770,713.53","-47,611,115.99","-77,284,982.66","-95,951,320.49","-102,458,089.32","-15,249,139.32","-22,545,376.30","-35,665,260.77","-51,145,414.42","-4,627,950.00","-20,298,133.63","-24,551,187.90","-23,638,082.93","-14,313,033.02","-31,875,136.76","-35,859,241.80","-57,085,943.60"
购买商品、接受劳务支付的现金,"228,743,076.16","337,850,509.65","539,751,656.97","87,511,081.20","165,533,573.88","274,560,204.70","411,697,624.60","113,064,675.53","234,339,881.99","342,559,323.53","358,147,610.52","143,012,457.74","272,468,060.45","435,002,878.57","413,937,025.09","181,452,727.62","321,724,368.02","467,289,569.55","350,791,510.70","87,406,126.66","144,492,331.69","213,333,675.50","302,340,702.45","99,552,100.48","204,241,737.06","339,497,641.91","419,501,260.72"
吸收投资收到的现金,,,,,"306,466,000.00","306,466,000.00","293,975,177.30",,,,,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,,,,,,,,,"4,500,000.00","4,500,000.00","9,000,000.00"
