科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
收到其他与筹资活动有关的现金,,,,,,,,,,,,,"44,216.03","44,216.03","44,216.03",,"10,910.47",,,"278,879,906.67",,"1,240,000,000.00","1,240,000,000.00","842,396,465.40","15,645.36","1,173,573.50","8,280,846.50",,,,"4,265,942.44","393,545,800.00","98,139,714.87","550,000,000.00","509,000,000.00","1,496,889,807.39",,"327,544,010.00","327,544,010.00","165,578,000.00",,"180,000,000.00",
支付其他与经营活动有关的现金,"1,007,277.88","2,660,746.38","3,422,454.23","15,072,317.90","6,855,131.38","8,663,453.72","10,504,822.94","373,216,671.59","12,010,710.04","41,453,517.13","60,863,010.16","23,598,363.07","9,335,205.77","56,563,810.44","66,681,055.68","34,882,032.82","1,338,279.58","61,320,174.98","68,906,582.46","381,988,822.89","238,213,186.48","63,023,460.07","517,340,738.16","342,183,492.52","66,141,009.76","173,915,881.14","329,519,359.68","257,425,053.33","123,330,733.45","284,197,161.49","500,852,738.95","419,853,861.68","84,980,812.15","92,260,371.94","147,737,007.22","335,875,022.82","96,111,822.15","567,418,271.45","321,055,967.07","308,969,782.07","200,083,960.45","305,799,323.81","1,308,314,088.99"
筹资活动现金流入小计,,,"4,450,000.00","15,580,000.00","4,830,000.00","11,940,000.00","11,940,000.00","31,940,000.00","15,590,000.00","29,930,000.00","79,090,000.00","77,480,000.00","4,844,216.03","4,844,216.03","4,844,216.03","14,800,000.00","10,910.47",,,"3,319,380,406.67","1,202,700,000.00","2,062,600,000.00","2,976,750,000.00","3,099,146,465.40","114,073,738.16","615,231,666.30","1,851,338,939.30","3,649,534,892.80","1,483,600,000.00","3,046,400,000.00","3,800,265,942.44","5,966,195,596.50","518,239,714.87","1,318,000,000.00","3,093,900,000.00","4,833,989,807.39","900,000,000.00","1,787,544,010.00","2,097,044,010.00","2,236,078,000.00",,"1,515,000,000.00","4,707,220,000.00"
经营活动现金流出小计,"91,858,126.12","283,725,254.56","413,332,373.12","620,984,465.15","91,019,248.67","224,078,347.02","397,878,677.09","823,908,872.41","191,733,506.41","375,961,419.32","845,394,035.63","731,686,471.58","114,328,121.38","155,483,650.77","379,506,824.97","345,061,902.31","165,006,237.74","404,959,707.95","575,440,033.07","3,421,282,863.57","660,077,662.50","889,958,353.62","1,485,231,819.49","1,952,094,021.18","627,017,334.90","1,648,082,271.81","2,301,099,374.10","3,563,328,934.32","847,927,133.48","2,197,729,465.75","3,171,856,761.49","3,544,150,012.13","990,701,901.04","1,394,053,812.65","1,826,851,180.63","2,627,504,146.31","908,954,467.96","2,445,964,636.57","2,593,341,953.51","3,902,850,534.57","1,309,875,544.09","3,885,034,057.62","6,535,436,159.45"
偿还债务支付的现金,"32,000,000.00","32,000,000.00","62,000,000.00","30,000,000.00","4,450,000.00","8,320,000.00","27,520,000.00","35,520,000.00",,,"15,590,000.00","29,930,000.00","35,272,000.00","52,350,000.00","52,350,000.00","52,350,000.00",,,,"1,674,600,000.00",,"1,223,630,000.00","1,971,630,000.00","2,559,760,000.00","559,000,000.00","713,880,000.00","1,901,130,000.00","2,643,910,000.00","949,900,000.00","1,112,070,000.00","1,497,130,000.00","2,873,660,000.00","270,171,509.00","1,246,230,000.00","2,816,130,000.00","4,811,108,200.00","372,675,900.00","820,137,600.00","2,545,017,800.00","3,038,963,966.00",,"155,160,700.00","722,257,700.00"
经营活动产生的现金流量净额,"9,016,102.28","-16,508,731.73","18,520,663.23","34,106,699.80","65,360,519.10","92,417,324.02","74,297,654.11","118,765,494.79","-44,142,184.86","-31,092,832.54","84,278,493.94","12,893,300.27","-23,175,955.24","-57,139,237.77","-61,187,249.51","55,970,139.57","-23,530,784.92","-20,816,180.95","-33,265,253.04","-668,615,750.37","205,693,607.40","559,580,597.51","947,804,497.70","1,364,258,557.63","43,625,017.11","-331,340,243.82","-200,254,159.04","-677,638,672.69","-41,448,527.31","-865,054,464.28","-1,379,312,803.20","-970,116,807.11","-438,219,953.35","242,954,659.44","1,330,539,161.61","2,108,185,797.24","661,642,549.59","995,982,085.15","2,256,064,062.15","2,584,957,585.66","45,814,939.34","-1,163,636,465.40","-1,801,725,605.04"
分配股利、利润或偿还利息支付的现金,"481,950.00","974,610.00","1,504,755.00","1,618,150.35","388,104.50","649,795.42","876,913.30","1,690,568.31","74,810.64","357,019.79","878,431.72","1,568,196.04","230,720.39","493,728.12","280,092.21","535,399.29",,,,"388,988,563.81","100,540,990.15","291,730,135.83","462,223,235.99","508,480,530.30","71,214,290.29","180,169,818.71","332,839,701.27","415,940,744.88","80,573,397.07","285,445,804.01","352,141,683.81","572,350,923.72","130,694,927.94","291,774,797.19","487,659,868.79","616,520,841.56","129,676,796.28","249,228,961.80","323,799,763.33","353,753,333.30","47,995,673.89","108,580,094.52","201,240,854.62"
收回投资收到的现金,,,,,,,,,,,,,,"184,773,662.74","184,773,662.74","49,538,320.47",,,,,,,,"47,745,476.48",,,,"56,039,507.53",,,"20,000,000.00","21,164,363.22","1,098,977.83","8,160,973.64","8,572,825.13","4,810,829.32",,"3,000,000.00","3,000,000.00","150,000,000.00",,,
支付其他与筹资活动有关的现金,,,,,,,,,,,,,"122,519.75",,"122,519.75",,,,,"332,300,000.00",,"910,000,000.00","1,090,000,000.00","806,248,753.38","1,180,229.23","1,000,000.00","1,007,500.00","276,030,302.00","304,810,900.23","842,091,553.89","576,943,828.05","657,421,370.39","25,405,220.81","201,342,972.13","1,047,534,225.13","2,155,218,746.91","474,941,352.88","437,626,306.55","485,609,119.55","615,964,855.48","320,000,000.00","543,050,000.00","714,050,000.00"
取得投资收益收到的现金,,,,,,,,,,,,"1,123,108.91",,,,,,,,"496,417.60",,,,,,,,"262,662.52",,,,,,,,"7,061,995.81",,,,"12,299,398.84",,"26,932,800.00","26,932,800.00"
