科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"240,535,718.12","249,906,995.68","394,462,101.62","93,230,090.94","172,734,826.56","242,180,919.87","410,304,079.51","109,022,062.84","262,831,108.19","360,839,419.27","496,807,707.04","128,901,100.14","312,952,054.93","377,481,027.26","476,360,501.37","145,510,169.01","300,452,437.60","565,941,161.05","722,506,362.63","181,716,105.28","335,465,140.97","558,680,309.93","852,886,793.05","196,359,355.49","352,652,384.66","580,862,316.23","853,960,172.58","234,540,921.89","541,889,600.69","803,047,759.06","1,177,922,374.74","335,936,260.74","811,335,413.81","1,277,528,875.25","1,796,946,826.61"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"-15,562,068.38","10,123,281.62",,,,,,,"-9,265,109.98","41,862,762.30",,"51,761,584.69","-8,238,415.31","53,151,584.69",,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,"168,498.98","41,420.00","429,746.17","430,070.17","405,215.34",,210.50,,,,,,,"459,869.24","813,263.36","813,263.36",
支付其他与投资活动有关的现金,,,,,,,,,"1,730.16",,,"71,942.00",,"124,313.00",,,,,,,,,,,,,,,,,"740,000.00",,,,"3,478,270.97"
收到其他与经营活动有关的现金,"12,365,401.63","6,858,178.25","9,727,317.06","2,670,269.65","15,203,710.03","31,126,247.83","10,061,010.91","4,197,780.86","30,641,458.05","67,877,776.24","95,825,244.36","8,591,519.04","41,980,056.15","67,515,917.13","132,426,003.01","41,045,966.53","54,002,361.28","59,907,507.55","114,314,445.36","7,059,653.78","38,517,221.04","47,977,410.89","32,536,576.69","7,424,189.19","62,639,820.10","49,997,669.44","250,441,355.52","14,499,746.06","86,716,865.28","80,007,634.80","145,147,002.43","60,336,993.47","35,372,674.15","82,701,012.43","37,335,681.49"
投资活动现金流出小计,"9,941,791.35","21,385,222.11","38,878,353.65","821,155.39","9,415,005.20","14,326,853.28","24,028,629.96","1,815,800.39","136,909,472.66","147,424,912.91","281,676,499.41","30,698,624.61","86,029,575.37","92,016,648.89","100,691,628.00","1,332,343.92","13,212,743.32","55,939,383.07","1,359,944,158.55","393,348,808.00","674,072,854.78","1,148,585,604.01","1,357,790,142.06","409,451,934.70","710,549,818.08","1,127,572,881.14","2,193,030,559.68","707,238,498.70","1,708,605,296.48","2,653,653,825.45","1,532,502,599.97","1,380,938,992.33","2,756,780,961.68","4,823,849,713.28","2,895,953,627.95"
经营活动现金流入小计,"252,901,119.75","256,765,173.93","404,189,418.68","95,900,360.59","187,938,536.59","273,307,167.70","420,365,090.42","113,219,843.70","293,472,566.24","428,717,195.51","592,632,951.40","137,492,619.18","354,932,111.08","444,996,944.39","608,786,504.38","186,556,135.54","354,454,798.88","625,848,668.60","836,989,306.97","188,817,179.06","374,412,108.18","607,087,790.99","885,828,585.08","203,783,544.68","415,292,415.26","630,859,985.67","1,104,401,528.10","249,040,667.95","628,606,465.97","883,055,393.86","1,323,069,377.17","396,733,123.45","847,521,351.32","1,361,043,151.04","1,834,282,508.10"
投资活动产生的现金流量净额,"-8,381,846.62","-20,538,222.11","-36,485,084.90","-821,155.39","-9,415,005.20","-14,294,353.28","-23,898,193.17","-1,811,800.39","-136,880,972.66","-147,389,682.75","-281,642,999.41","-30,655,224.61","-85,888,175.37","-91,845,248.89","-100,520,228.00","-1,322,343.92","-11,527,658.06","-42,254,297.81","-838,527,764.48","261,244,137.53","180,705,352.70","163,961,028.15","159,837,067.05","-12,297,708.21","-69,075,035.42","-318,805,328.62","-46,285,690.95","-166,700,180.17","-238,828,970.69","-256,223,824.85","-247,240,086.91","-313,073,201.59","-159,432,756.53","-121,192,622.68","-181,277,744.01"
购买商品、接受劳务支付的现金,"128,499,309.16","186,027,265.69","192,986,224.75","52,762,883.09","166,218,593.95","202,689,588.17","280,448,104.13","78,725,241.45","239,963,011.12","326,018,382.82","429,668,391.13","77,330,252.91","155,003,354.51","191,838,277.52","262,616,235.79","43,783,965.75","110,427,164.76","268,997,896.24","264,072,231.52","87,964,997.83","196,585,943.52","324,981,551.19","408,493,433.52","125,394,087.11","228,795,488.86","364,491,841.50","562,817,670.36","192,598,140.79","427,927,586.76","630,281,920.33","769,010,618.51","158,081,011.50","464,702,093.57","854,566,510.06","1,255,547,658.76"
吸收投资收到的现金,"3,015,000.00",,"18,550,000.00",,"1,350,131,700.00","1,348,731,700.00","1,348,731,700.00",,,,,,,,,,,,,"2,370,200.00","2,370,200.00","2,370,200.00",,,,,,,,,,,,,
