科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"58,918,434.19","130,966,885.40","138,306,308.60","156,811,903.72","147,396,056.50","176,833,691.40","487,715,358.85","394,631,749.51","311,278,067.61"
短期借款,"101,000,000.00","78,000,000.00","108,000,000.00","106,400,000.00","133,150,000.00","129,900,000.00","110,000,000.00","30,000,000.00",
交易性金融资产,,,,,,,,,
交易性金融负债,,,,,,,,,
应收票据,,,,,,,,,
应付票据,"13,476,154.85",,,,,,,,
应收账款,"80,599,459.05","50,650,179.11","72,130,924.41","70,763,794.18","88,567,486.41","75,516,605.57","115,278,278.45","142,011,930.10","140,322,509.71"
应付账款,"112,737,670.88","36,741,742.94","61,649,011.59","69,937,061.32","80,374,702.79","111,781,431.51","92,135,084.80","64,732,967.69","125,587,600.85"
预付款项,"3,885,023.05","6,319,128.94","4,858,505.99","6,341,841.87","5,473,333.16","7,156,801.34","3,054,616.35","9,792,630.57","17,521,982.18"
预收款项,"154,339.62",,,,,,,,
其他应收款,"2,526,995.92","6,351,606.10","4,222,292.62","6,291,265.55","6,836,700.02","7,961,233.75","11,048,430.98","9,196,477.08","9,980,755.22"
应付职工薪酬,"2,838,787.65","3,539,634.68","4,337,767.05","2,227,459.38","2,036,525.32","10,408,364.82","6,338,114.53","5,298,715.97","5,634,332.23"
应收关联公司款,,,,,,,,,
应交税费,"2,129,881.90","2,118,968.64","3,463,729.67","3,271,531.05","3,609,599.81","5,031,561.94","7,536,271.26","8,034,711.60","7,530,403.99"
应收利息,,,,,,,,,
应付利息,"600,000.00","600,000.00","838,200.00","781,936.20","850,000.00","880,000.00","810,033.33","712,550.00","625,340.00"
应收股利,,,,,,,,,
应付股利,,,,,,,,,
存货,"2,940,418.44","282,751.31",,,,,,,
其他应付款,"12,634,187.06","4,643,580.62","4,643,242.96","1,903,979.28","1,913,699.88","2,115,431.52","1,634,670.47","7,208,514.62","6,335,069.39"
其中:消耗性生物资产,,,,,,,,,
应付关联公司款,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,
一年内到期的非流动负债,"65,000,000.00","21,000,000.00","124,500,000.00","74,000,000.00","94,000,000.00","98,000,000.00","58,000,000.00","58,000,000.00","78,000,000.00"
其他流动资产,"437,772.35","1,214,995.02",,,,,,,
其他流动负债,,,,,,,,,
流动资产合计,"149,308,103.00","195,785,545.88","219,518,031.62","240,208,805.32","248,273,576.09","267,468,332.06","617,096,684.63","555,632,787.26","479,103,314.72"
流动负债合计,"310,571,021.96","146,643,926.88","307,431,951.27","258,521,967.23","315,934,527.80","358,116,789.79","276,454,174.39","173,987,459.88","223,712,746.46"
可供出售金融资产,,,,,,,,,
长期借款,"165,500,000.00","214,500,000.00","260,789,239.14","378,522,974.08","343,680,619.16","373,066,659.69","396,626,659.81","433,558,806.64","370,037,806.72"
持有至到期投资,,,,,,,,,
应付债券,,,,,,,,,
长期应收款,,,,,,,,,
长期应付款,,,,,,,,,
长期股权投资,,,,,,,,,
专项应付款,,,,,,,,,
投资性房地产,,,,,,,,,
预计负债,,,,,,,,,
固定资产,"357,230,600.55","380,426,833.55","484,908,532.47","553,646,770.80","519,513,308.92","701,305,013.16","682,122,293.26","662,447,153.07","787,953,341.15"
递延所得税负债,,"264,986.74","806,093.17","1,076,655.95","1,211,962.27","1,325,469.32","1,325,469.32","1,325,469.32","1,325,469.32"
在建工程,"47,116,816.72","12,718,924.92","125,678,503.11","128,709,395.53","190,016,315.32","80,995,848.33","88,316,773.05","124,653,523.76","83,474,283.31"
其他非流动负债,,,,,,,"31,249,223.65",,
工程物资,,,,,,,,,
非流动负债合计,"194,015,000.00","245,359,986.74","292,927,348.31","410,906,646.03","376,199,597.43","405,661,028.07","429,201,352.78","470,034,824.20","406,344,148.87"
固定资产清理,,,,,,,,,
负债合计,"504,586,021.96","392,003,913.62","600,359,299.58","669,428,613.26","692,134,125.23","763,777,817.86","705,655,527.17","644,022,284.08","630,056,895.33"
生产性生物资产,,,,,,,,,
实收资本(或股本),"25,000,000.00","157,936,508.00","157,936,508.00","157,936,508.00","157,936,508.00","157,936,508.00","210,586,508.00","210,586,508.00","210,586,508.00"
油气资产,,,,,,,,,
资本公积,,"45,753,795.08","45,753,795.08","45,753,795.08","45,753,795.08","45,753,795.08","366,556,262.83","366,556,262.83","366,340,615.18"
无形资产,,,"416,000.00","5,150,584.06","5,654,812.53","5,518,423.70","5,494,350.29","7,549,977.97","7,515,005.56"
盈余公积,"3,545,860.28","2,548,083.96","6,103,713.46","6,103,713.46","6,103,713.46","9,928,827.65","9,928,827.65","9,928,827.65","9,928,827.65"
开发支出,,,,,,,,,
减:库存股,,,,,,,,,
商誉,,,,,,,,,
未分配利润,"52,541,498.88","58,935,713.80","127,521,698.12","165,712,805.45","184,435,414.53","201,925,351.22","225,923,958.01","249,870,984.53","275,658,033.91"
长期待摊费用,"3,943,912.96","19,430,447.40","34,694,886.18","30,530,593.20","30,174,803.88","28,621,282.19","26,845,056.90","24,494,149.02","22,118,497.97"
少数股东权益,"3,499,637.48","3,375,192.11",,,,,,,
递延所得税资产,,,"22,500.00","22,500.00","22,500.00",,,,
外币报表折算价差,,,,,,,,,
其他非流动资产,"31,573,585.37","52,191,454.82","72,436,560.86","86,666,786.34","92,708,239.56","95,413,400.37","98,775,925.53","106,187,276.01","112,406,437.36"
非正常经营项目收益调整,,,,,,,,,
非流动资产合计,"439,864,915.60","464,767,660.69","718,156,982.62","804,726,629.93","838,089,980.21","911,853,967.75","901,554,399.03","925,332,079.83","1,013,467,565.35"
所有者权益(或股东权益)合计,"84,586,996.64","268,549,292.95","337,315,714.66","375,506,821.99","394,229,431.07","415,544,481.95","812,995,556.49","836,942,583.01","862,513,984.74"
资产总计,"589,173,018.60","660,553,206.57","937,675,014.24","1,044,935,435.25","1,086,363,556.30","1,179,322,299.81","1,518,651,083.66","1,480,964,867.09","1,492,570,880.07"
负债和所有者(或股东权益)合计,"589,173,018.60","660,553,206.57","937,675,014.24","1,044,935,435.25","1,086,363,556.30","1,179,322,299.81","1,518,651,083.66","1,480,964,867.09","1,492,570,880.07"
