科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"669,671,909.80","886,047,292.66","782,753,901.11","1,078,283,270.15","804,839,959.73","670,931,904.54","886,556,467.01","1,079,430,727.05","754,548,347.97","571,950,725.84","434,417,712.02","642,628,495.52","665,033,932.89","555,361,842.00","514,644,389.00","885,303,108.90","617,711,487.32","669,780,594.72","591,814,644.00","815,227,599.80","750,079,626.91","529,824,858.26","412,414,986.72","692,744,843.34","389,863,118.49","470,850,376.74","336,849,566.62","772,102,125.92","551,940,779.05","485,732,432.05","455,774,478.96","778,882,460.08","397,545,934.87","491,748,475.61","709,782,096.28","932,605,570.20","407,209,646.37","537,952,416.57","731,200,909.52","932,580,087.84","560,717,357.43","556,630,277.56","1,352,784,270.75"
短期借款,"970,840,516.00","1,041,453,548.30","989,848,600.00","695,270,038.00","662,000,000.00","573,914,797.00","600,000,000.00","691,440,000.00","751,000,000.00","702,297,537.00","937,965,274.00","965,402,827.00","1,178,457,688.00","1,184,587,535.34","1,215,802,243.00","945,526,876.00","998,595,000.00","878,413,738.34","937,712,977.07","1,191,698,907.42","1,121,963,433.44","1,170,129,003.99","1,134,240,367.97","1,061,752,394.94","1,333,161,093.60","1,434,214,959.63","1,470,447,177.00","1,430,171,246.42","1,486,500,000.00","1,569,200,000.00","1,540,945,750.00","1,491,095,972.47","1,392,027,980.00","1,398,637,300.00","1,384,513,700.00","892,896,376.00","711,302,092.00","858,896,792.00","796,032,398.00","556,186,670.00","509,576,963.00","408,163,504.00","485,755,621.41"
交易性金融资产,"7,294,702.75","13,667,948.53","208,369.17","1,386,027.21","892,707.21","15,491,659.16","8,619,658.66","1,060,541.57","1,170,961.57","3,436,385.62","9,990,846.58","13,994,565.84","15,798,072.74","12,725,778.97","62,896,610.26","18,484,354.48","21,809,313.30","76,344,309.59","81,962,935.47","18,460,666.04","25,985,400.34","18,800,434.79","16,009,049.92","20,735,808.29","21,161,893.01","16,045,145.33","16,504,058.34","10,653,940.57","14,869,682.85","14,712,126.45","12,920,141.13","12,855,750.12","12,506,293.23","8,860,053.73","6,802,766.23","8,412,476.29","7,324,314.79","6,164,449.63","6,326,091.00","6,733,619.25","6,388,030.50","7,055,001.00","4,917,421.67"
交易性金融负债,,,,,,,,"864,876.03","399,542.16",,,,,,,"2,242,042.55","2,350,512.96","2,547,341.69",,"45,116.66","45,116.66","2,592.00","2,592.00",,,,"476,490.00",,,,,,"39,900,000.00",,,"403,627.63","690,322.37","2,718,610.00","1,839,450.00","185,301.00","111,151.00",,
应收票据,"18,063,632.81","38,991,924.11","31,390,918.74","23,461,709.56","25,699,357.04","43,016,854.04","32,835,998.90","19,178,287.84","8,959,529.50","13,627,112.20","7,186,067.00","57,189,026.07","48,865,223.49","30,000,309.38","37,623,416.62","59,202,014.67","89,795,169.58","65,234,939.24","75,128,639.69","75,875,062.32","70,301,945.65","33,980,283.08","51,670,226.81","111,216,929.88","42,231,639.39","34,077,417.79","30,963,347.09","120,506,190.66","74,881,427.03","58,713,968.32","49,907,044.39","87,417,748.72","36,130,416.93","152,957,224.77","47,126,297.01","16,749,348.19","14,512,843.40","15,121,924.48","7,992,708.28","17,111,861.20","20,459,569.71","15,291,826.22","9,619,881.37"
应付票据,"450,782,252.82","529,916,732.48","615,335,264.24","441,837,262.67","471,752,630.77","493,070,213.67","434,758,544.09","557,971,427.42","559,547,747.43","482,347,346.71","317,904,974.96","341,187,315.99","341,172,593.62","355,826,930.88","353,075,659.00","301,848,200.00","234,189,402.00","222,848,471.52","87,343,109.46","83,246,000.00","45,987,000.00","95,512,255.00","70,601,083.50","90,573,714.68","104,972,631.18","72,678,960.00","60,455,760.00","110,700,000.00","64,700,000.00","99,621,961.64","130,618,022.17","122,541,459.97","46,252,094.68","116,745,651.37","177,438,972.72","109,085,466.80","78,680,181.35","73,534,218.03","89,413,337.61","77,645,572.73","43,095,543.41","71,031,044.81","110,401,273.51"
应收账款,"739,729,123.81","842,157,856.52","864,437,912.07","935,608,709.36","985,543,531.25","1,158,287,369.72","1,211,905,130.45","1,083,628,422.28","1,150,517,280.49","773,999,706.31","697,740,185.22","704,702,659.90","748,739,726.46","890,120,445.05","806,321,715.35","792,754,222.04","817,027,448.46","965,218,568.63","860,037,005.37","831,063,868.14","874,454,003.79","936,146,000.16","942,033,146.83","1,017,007,793.64","932,756,595.64","960,156,815.56","1,170,860,872.08","1,098,870,451.94","942,556,683.12","980,757,968.55","983,213,559.38","891,570,653.07","917,068,734.76","1,062,241,892.24","1,137,456,455.34","535,772,386.64","693,123,151.01","805,530,331.89","694,629,612.24","734,847,227.08","674,331,804.23","772,427,195.31","1,056,311,028.27"
应付账款,"643,031,794.60","758,206,695.61","736,185,197.85","810,112,162.83","838,624,125.78","863,768,407.17","896,252,698.10","893,467,843.26","934,889,509.93","597,967,269.69","564,830,925.04","505,551,907.48","598,505,063.56","583,586,107.97","567,364,941.70","642,499,367.80","591,977,172.83","692,274,608.76","741,072,274.10","714,185,708.78","582,693,854.05","594,878,757.24","628,143,557.69","797,773,785.46","604,631,953.05","521,085,093.09","610,859,690.46","808,734,263.03","739,937,717.74","762,695,741.13","745,877,601.65","762,463,240.30","880,886,995.74","855,483,505.59","862,417,672.70","722,098,693.70","730,455,510.51","624,470,140.16","669,033,535.24","718,779,328.20","542,728,256.93","585,196,039.03","783,486,876.08"
预付款项,"667,700,775.61","628,490,522.50","722,852,912.05","419,348,422.89","526,843,332.85","445,002,805.74","592,464,255.51","542,214,527.09","775,202,435.45","487,711,726.87","646,592,318.54","162,791,427.15","351,396,530.99","289,230,272.93","341,515,922.10","197,084,472.86","314,043,791.59","273,415,203.84","322,578,837.01","249,159,903.41","335,174,394.83","465,382,339.72","417,239,038.39","213,230,880.07","380,422,614.82","253,498,173.38","263,474,903.45","197,499,437.81","451,972,469.30","545,357,560.07","674,747,349.42","275,595,685.36","485,669,591.28","332,281,843.65","373,932,632.55","261,407,089.59","361,843,580.42","338,847,657.24","289,191,660.57","30,147,117.62","107,659,837.18","105,089,738.37","132,359,338.86"
预收款项,"274,015,764.77","332,327,556.77","282,938,268.74","161,780,177.31","166,492,462.08","157,690,457.64","266,435,569.29","162,612,785.67","257,935,301.16","95,118,267.30","95,871,264.99","66,485,648.05","64,109,426.60","78,720,644.35","61,277,258.24","90,868,676.61","104,268,880.64","78,193,388.93","103,698,561.16","95,827,699.51","81,957,446.10","74,724,162.51","87,833,258.16","107,739,979.44","138,548,268.56","208,575,162.73","215,272,682.13","113,465,893.17","159,682,199.68","106,502,730.12","120,501,406.14","169,991,230.45","187,516,273.11","163,856,564.83","162,794,595.76","67,945,080.43","62,668,138.48","115,049,600.34","130,746,975.54","72,686,348.25","82,989,385.90","76,900,804.19","71,849,061.06"
