科目,2008-12-31,2009-12-31,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"32,318,245.56","35,646,348.04","50,271,568.77","1,690,893,538.21","801,304,671.80","700,118,415.57","762,322,947.45","584,249,703.94","829,395,347.11","551,079,198.34","461,792,389.02","270,766,087.29","336,943,640.00","278,388,280.35","246,398,070.97","168,383,463.11","118,235,171.72","334,563,454.96","321,572,163.07","654,632,428.29","179,370,778.78","329,307,071.48","104,467,468.80","74,352,160.37","125,214,094.57","431,212,804.18","158,242,995.56","392,573,121.69","244,422,746.58","949,089,825.83","808,231,938.54","749,042,923.46","919,158,181.55"
短期借款,"158,000,000.00","501,000,000.00","715,000,000.00","710,000,000.00","530,000,000.00","390,000,000.00","665,000,000.00","665,000,000.00","450,000,000.00","690,000,000.00","665,000,000.00","655,000,000.00","625,000,000.00","665,000,000.00","740,000,000.00","740,000,000.00","825,000,000.00","1,090,000,000.00","1,090,000,000.00","1,090,000,000.00","1,190,000,000.00","1,390,000,000.00","1,390,000,000.00","1,390,000,000.00","1,410,000,000.00","1,205,000,000.00","1,240,000,000.00","1,240,000,000.00","940,000,000.00","775,000,000.00","885,000,000.00","855,000,000.00","955,000,000.00"
交易性金融资产,,,,,,,,,,"89,000,000.00",,"85,000,000.00",,,,"50,000,000.00","40,000,000.00","30,000,000.00",,"850,000,000.00",,"50,000,000.00",,,,,,,,,,"10,000,000.00",
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"1,006,080.86","15,584,347.60","6,726,000.00","13,030,000.00","135,400,000.00","71,100,000.00","61,325,705.00","59,280,000.00","18,850,000.00","93,290,000.00","181,956,570.29","172,991,225.20","15,899,510.00","134,673,692.57","35,754,424.30","16,971,309.91","109,916,309.91","103,074,558.58","67,253,355.26","66,977,385.10","60,591,700.20","24,109,851.52","38,795,008.57","117,010,034.33","62,758,073.00","61,203,971.17","51,510,688.35","117,861,141.59","82,418,479.86","207,739,840.87","230,774,238.03","264,624,686.70","85,257,356.94"
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80,000,000.00","100,000,000.00","50,000,000.00","88,700,000.00","76,700,000.00"
应收账款,"35,585,632.09","24,311,377.67","28,801,661.81","56,654,187.59","97,920,874.94","106,835,102.30","53,218,243.04","64,609,134.22","86,923,169.63","132,426,145.30","68,392,010.71","135,192,193.60","205,848,229.70","140,406,188.78","150,240,035.83","229,583,992.68","209,818,644.09","239,103,630.50","205,529,430.72","251,892,333.92","282,007,630.28","277,572,767.36","307,755,309.22","290,619,355.98","271,352,020.03","285,488,544.21","173,996,478.52","148,804,471.37","149,193,380.18","151,157,288.66","96,054,695.85","69,711,280.03","78,569,529.67"
应付账款,"413,881,334.45","311,002,490.61","479,326,096.71","372,281,729.97","223,750,081.21","185,498,345.37","224,065,446.49","113,640,875.27","175,704,390.39","126,120,124.38","76,563,776.58","67,557,420.52","272,204,980.85","159,061,091.75","296,846,686.71","302,990,074.44","289,170,441.93","230,042,922.88","197,447,141.56","191,986,331.36","431,868,065.35","646,211,235.22","611,258,237.92","552,511,811.30","597,668,759.19","607,132,671.65","699,817,482.49","673,931,206.11","818,470,425.34","750,830,938.98","843,734,753.37","670,838,879.43","874,746,176.09"
预付款项,"56,098,049.63","63,870,188.13","78,591,314.14","94,425,958.42","182,554,525.55","279,575,002.60","101,861,936.02","121,987,050.63","75,607,892.34","74,649,046.90","66,158,581.19","77,787,475.25","82,742,172.29","96,959,067.05","39,812,845.18","58,728,137.65","63,669,956.11","94,122,540.02","83,253,994.06","75,727,911.07","275,880,706.23","287,555,154.63","67,525,287.13","61,506,849.09","94,476,799.63","127,847,112.04","156,708,090.34","125,538,017.09","205,822,892.49","226,401,258.72","175,446,698.91","171,043,863.39","126,478,460.25"
预收款项,"130,984,190.50","233,204,315.76","201,296,248.13","142,918,670.45","66,701,481.51","129,615,785.82","161,582,176.57","77,961,152.80","81,963,374.65","83,620,480.40","110,216,718.27","62,054,610.76","69,591,091.62","165,005,737.12","109,887,315.33","83,636,780.00","91,061,449.62","116,474,577.05","83,658,088.19","97,504,385.83","34,710,718.32","45,462,302.10","53,100,934.61","43,713,441.08","45,876,479.83","144,479,623.40","305,908,061.07","182,379,461.61","368,090,239.04","403,254,987.63","147,210,201.59","118,832,635.55","168,030,051.18"
其他应收款,"1,982,093.55","38,807,541.40","16,581,441.73","16,202,924.80","17,840,035.43","20,907,492.40","16,872,357.70","28,192,128.15","18,123,177.66","46,383,657.59","11,034,248.34","13,585,337.77","25,563,692.27","29,288,696.51","8,774,566.80","6,342,196.76","10,988,291.53","13,840,129.53","67,522,818.19","185,045,847.27","40,467,871.10","79,634,642.87","19,706,258.94","46,893,439.57","49,040,232.62","29,248,396.39","34,353,167.72","26,546,103.66","23,984,140.62","37,024,859.14","28,954,579.60","31,193,898.00","27,298,891.49"
应付职工薪酬,"4,509,226.29","7,698,008.14","8,097,952.92","13,197,277.88","8,997,787.53","10,716,688.15","17,957,235.73","19,428,587.91","22,483,506.80","21,421,323.13","18,163,678.87","14,599,157.68","28,850,658.77","21,602,449.40","19,295,586.33","20,282,834.97","22,436,121.98","24,258,503.83","22,574,139.15","21,860,247.74","22,729,074.81","23,773,164.05","18,090,249.05","16,651,129.12","19,002,913.28","16,811,855.85","24,524,014.50","20,219,759.52","21,615,895.44","22,230,666.18","34,691,861.39","26,324,926.63","30,591,443.27"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"9,041,537.04","-45,484,583.97","-27,629,530.47","14,773,360.33","9,616,288.84","31,790,283.98","4,049,442.53","15,633,993.78","10,270,181.62","11,823,448.72","-19,202,048.62","-16,893,721.29","-30,730,330.55","-6,929,337.54","-11,259,530.12","-15,030,073.41","-26,533,428.89","-1,233,765.46","8,990,600.29","-15,126,769.93","-21,007,360.68","-26,850,180.05","21,116,688.01","11,135,032.01","6,257,528.27","21,787,038.72","31,049,550.27","58,226,709.55","28,545,030.88","42,389,911.58","52,524,672.89","105,732,054.63","48,844,189.30"
应收利息,,,,,,,,,,,"7,000,000.00",,,,"720,500.00","720,500.00",,,"1,386,633.34","3,195,866.35",,,,,,,,,,,,,
应付利息,"1,806,905.00","1,616,588.70","1,873,277.11","1,836,707.50","1,413,325.00","1,175,966.66","1,795,066.67","1,657,366.65","17,356,256.94","35,995,540.28","54,297,975.15","72,283,984.73","17,029,861.11","35,372,027.78","54,252,583.33","72,252,583.33","17,336,666.66","36,315,833.37","54,725,000.03","72,816,666.70","6,248,268.10","11,373,108.25","16,791,837.31","21,860,972.64","7,317,000.93","12,884,259.86","19,012,760.80","26,723,956.87","12,525,933.71","18,868,018.40","25,747,693.35","1,763,910.76","7,011,992.96"
应收股利,,,,,,,"3,766,248.39","3,766,248.39","4,513,786.25","3,766,248.39","3,766,248.39","3,766,248.39","3,766,248.39","3,766,248.39","23,766,248.39","23,766,248.39","24,974,559.91","32,766,248.39","12,766,248.39","12,766,248.39","12,766,248.39","12,766,248.39","3,766,248.39","3,766,248.39","3,766,248.39",,,,,,,,
应付股利,,,,,,,"11,306,234.70",,"116,100,000.00",,,,"537,571.14",,,,,,,,"54,700,000.00",,,,,,,,,,,,
存货,"169,614,873.48","310,550,389.61","545,944,625.51","428,870,187.80","641,831,589.37","591,776,138.82","673,458,553.73","534,239,513.45","686,592,809.58","684,773,630.53","620,478,251.60","549,807,035.35","748,833,441.62","720,804,990.16","974,791,596.19","894,251,783.17","844,694,208.11","864,550,281.73","825,708,518.68","725,099,179.16","688,578,623.66","757,691,958.17","726,275,734.10","536,091,118.16","521,250,393.61","532,970,241.31","943,284,157.90","832,672,841.84","1,018,998,583.91","1,058,571,143.70","1,086,173,979.50","903,032,769.80","1,065,065,580.70"
其他应付款,"2,743,754.18","1,475,966.60","11,956,102.72","9,301,704.21","2,492,373.94","79,467,005.64","387,794,503.10","290,310,462.35","198,926,501.87","199,734,784.27","198,474,103.96","150,605,536.16","117,124,362.25","117,224,721.81","111,870,156.39","99,459,955.52","96,778,886.69","130,758,398.62","110,327,328.66","117,320,913.63","314,749,269.62","341,191,440.95","323,278,310.40","323,850,918.66","333,370,106.96","731,206,467.36","528,571,632.78","523,197,037.14","746,890,404.91","731,130,315.09","728,309,764.64","627,793,414.50","530,662,901.67"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,"136,615.73",,"983,158.78","539,392.26","569,011.68","305,269.44","1,429,666.83","545,404.89","605,797.00","2,798,032.50",,,
一年内到期的非流动负债,"35,000,000.00","105,000,000.00","125,000,000.00","125,000,000.00","110,000,000.00","110,000,000.00","120,000,000.00","120,000,000.00","115,000,000.00","115,000,000.00","50,000,000.00","50,000,000.00","25,000,000.00","25,000,000.00",,,,,,,,,,,,,"427,733,021.77","419,472,021.77","140,389,000.00",,,"71,672,000.00","71,672,000.00"
