科目,2008年度,2009年度,2010年度,2011年1-6月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"1,295,405,068.18","1,057,963,155.75","1,439,028,633.05","833,840,741.63","1,646,380,298.08","351,329,559.28","702,634,543.65","1,064,039,106.07","1,496,331,140.48","315,627,031.78","667,305,707.15","1,123,911,015.79","1,547,852,145.09","352,117,133.15","785,270,698.97","1,149,869,991.01","1,522,469,562.68","314,052,704.33","769,575,589.34","977,653,701.68","1,601,044,972.90","352,186,238.76","799,892,611.18","1,418,957,299.65","2,206,008,174.48","1,583,314,787.24","1,183,195,691.55","2,673,262,443.07","2,587,953,579.54","653,485,272.34"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,"1,700,012.60",,,,,"31,785,984.52","174,336,422.04","241,836,422.04","295,617,595.13",,,,,,,,,
收到的税费返还,,,,"1,052,769.14","6,334,168.08","1,486,237.37","2,457,147.85","5,533,235.71","6,864,600.42","245,833.09","378,883.09","978,098.60","986,985.15",,"68,871.83","756,459.12","2,375,705.30","741,663.63","741,663.63","921,779.97","8,142,288.51","145,137.88","2,695,942.02","6,199,854.96","6,199,854.96",,"999,844.51","999,844.51","2,851,868.69","2,564,174.87"
支付其他与投资活动有关的现金,,,192.31,,,,,,,,,,,,,,"1,986,207.94",,,,"7,300,000.00",,,,,,,,,
收到其他与经营活动有关的现金,"23,831,999.78","24,138,363.10","8,881,457.73","6,038,381.07","7,854,670.71","1,128,896.66","3,991,512.33","4,284,413.57","4,540,355.13","1,853,941.40","2,247,218.16","2,612,200.77","2,844,221.81","843,740.04","671,998.90","1,038,498.71","1,727,107.70","543,972.37","7,611,978.11","26,826,562.18","2,329,333.13","2,563,674.50","22,112,470.18","57,846,301.44","21,647,689.39","21,868,192.92","5,151,943.48","7,213,336.25","13,492,435.85","49,836,964.79"
投资活动现金流出小计,"17,580,841.00","599,401.76","9,711,233.72","4,337,793.73","7,750,188.15","520,500.00","8,308,224.00","18,911,345.00","24,613,178.75","6,110,993.35","8,844,443.15","36,049,353.36","77,150,957.76","25,526,214.70","48,979,046.48","56,272,228.13","64,234,636.03","46,661,692.79","198,402,133.20","334,825,403.59","506,702,781.88","49,855,257.48","79,189,475.85","82,828,382.21","395,587,844.30","20,136,554.89","35,104,243.43","57,569,669.72","158,170,510.75","14,671,469.02"
经营活动现金流入小计,"1,319,237,067.96","1,082,101,518.85","1,447,910,090.78","840,931,891.84","1,660,569,136.87","353,944,693.31","709,083,203.83","1,073,856,755.35","1,507,736,096.03","317,726,806.27","669,931,808.40","1,127,501,315.16","1,551,683,352.05","352,960,873.19","786,011,569.70","1,151,664,948.84","1,526,572,375.68","315,338,340.33","777,929,231.08","1,005,402,043.83","1,611,516,594.54","354,895,051.14","824,701,023.38","1,483,003,456.05","2,233,855,718.83","1,605,182,980.16","1,189,347,479.54","2,681,475,623.83","2,604,297,884.08","705,886,412.00"
投资活动产生的现金流量净额,"-17,580,841.00","-599,401.76","-9,711,233.72","-4,337,793.73","-7,750,188.15","-520,500.00","-8,308,224.00","-18,911,345.00","-24,610,728.75","-6,110,993.35","-8,825,414.02","-36,030,324.23","-77,131,928.63","-25,526,214.70","-48,979,046.48","-56,272,228.13","-64,234,636.03","-46,661,692.79","-194,304,643.01","-328,825,403.59","-497,184,781.88","-49,855,257.48","-79,189,475.85","-82,828,382.21","-287,866,646.96","-20,136,554.89","-4,529,612.07","-29,116,289.40","-132,340,819.19","-14,671,469.02"
购买商品、接受劳务支付的现金,"1,191,873,035.92","869,750,020.16","1,350,739,063.10","788,636,583.20","1,580,429,731.89","566,371,955.38","896,347,729.45","1,219,069,453.28","1,648,507,109.26","265,135,173.54","663,465,319.17","1,115,778,452.34","1,520,017,945.01","335,492,720.98","734,069,919.61","1,037,612,996.07","1,318,869,843.93","243,005,919.12","716,356,205.18","956,308,876.16","1,387,085,753.28","255,009,485.57","748,372,640.55","1,131,737,668.80","1,924,276,206.13","1,537,030,285.93","1,252,184,364.94","2,536,017,713.27","2,209,342,238.87","526,134,574.26"
吸收投资收到的现金,,,,,,"245,123,197.09","245,123,197.09","245,123,197.09","250,868,000.00",,,,"2,800,000.00",,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"10,617,433.63","10,127,153.88","17,565,309.48","9,303,874.58","18,690,295.37","6,986,387.53","12,023,622.57","17,120,579.58","22,663,088.97","7,398,797.95","13,262,012.33","19,178,224.35","25,304,327.93","8,553,855.91","16,508,950.99","25,512,137.35","33,942,248.96","10,921,509.03","21,514,002.49","29,016,449.29","53,546,927.43","13,087,700.67","25,009,493.29","38,649,172.76","53,089,187.39","18,071,756.75","34,719,856.90","58,138,100.96","83,210,064.85","26,411,044.83"
