科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"11,886,000,000.00","25,210,000,000.00","41,712,000,000.00","55,873,000,000.00","14,307,000,000.00","27,452,000,000.00","42,046,000,000.00","56,427,000,000.00","12,932,000,000.00","24,882,000,000.00","40,830,000,000.00","56,043,000,000.00","16,877,000,000.00","34,681,000,000.00","57,836,000,000.00","77,788,000,000.00","20,512,000,000.00","42,414,000,000.00","69,685,000,000.00","92,707,000,000.00","23,685,000,000.00","48,028,000,000.00","77,872,000,000.00","101,483,000,000.00","23,586,000,000.00","46,004,000,000.00","74,424,000,000.00","98,130,000,000.00","25,951,000,000.00","50,212,000,000.00","81,827,000,000.00","108,313,000,000.00","27,718,000,000.00","53,327,000,000.00","85,328,000,000.00","111,467,000,000.00","27,993,000,000.00","54,054,000,000.00","86,652,000,000.00","114,792,000,000.00","30,969,000,000.00","60,319,000,000.00","96,123,000,000.00","127,489,000,000.00","34,101,000,000.00"
二、营业利润,"-276,000,000.00","373,000,000.00","2,825,000,000.00","2,138,000,000.00","872,000,000.00","342,000,000.00","-1,044,000,000.00","-5,908,000,000.00","-692,000,000.00","-1,407,000,000.00","-1,181,000,000.00","-1,849,000,000.00","1,483,000,000.00","2,314,000,000.00","6,609,000,000.00","6,869,000,000.00","1,628,000,000.00","2,714,000,000.00","6,827,000,000.00","5,546,000,000.00","324,000,000.00","222,000,000.00","3,402,000,000.00","2,785,000,000.00","-44,000,000.00","194,000,000.00","2,928,000,000.00","1,415,000,000.00","-483,000,000.00","-2,159,000,000.00","772,000,000.00","405,000,000.00","2,526,000,000.00","4,000,000,000.00","5,271,000,000.00","2,624,000,000.00","3,533,000,000.00","3,046,000,000.00","6,955,000,000.00","3,473,000,000.00","1,843,000,000.00","3,388,000,000.00","9,251,000,000.00","8,081,000,000.00","3,491,000,000.00"
减:营业成本,"10,577,000,000.00","21,971,000,000.00","34,298,000,000.00","47,384,000,000.00","12,624,000,000.00","25,469,000,000.00","39,543,000,000.00","54,248,000,000.00","11,548,000,000.00","22,265,000,000.00","35,639,000,000.00","49,197,000,000.00","14,163,000,000.00","28,943,000,000.00","45,517,000,000.00","62,567,000,000.00","16,725,000,000.00","35,302,000,000.00","55,910,000,000.00","76,954,000,000.00","20,299,000,000.00","41,292,000,000.00","63,938,000,000.00","85,932,000,000.00","21,152,000,000.00","41,571,000,000.00","64,610,000,000.00","87,061,000,000.00","22,678,000,000.00","45,446,000,000.00","71,160,000,000.00","95,151,000,000.00","21,701,000,000.00","43,563,000,000.00","67,503,000,000.00","91,382,000,000.00","21,826,000,000.00","44,268,000,000.00","69,716,000,000.00","96,359,000,000.00","26,402,000,000.00","52,976,000,000.00","81,044,000,000.00","111,687,000,000.00","29,168,000,000.00"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"329,000,000.00","699,000,000.00","1,158,000,000.00","1,574,000,000.00","404,000,000.00","762,000,000.00","1,167,000,000.00","1,386,000,000.00","358,000,000.00","702,000,000.00","1,163,000,000.00","1,591,000,000.00","451,000,000.00","846,000,000.00","1,459,000,000.00","1,957,000,000.00","557,000,000.00","1,169,000,000.00","1,942,000,000.00","2,621,000,000.00","652,000,000.00","1,322,000,000.00","2,165,000,000.00","2,464,000,000.00","65,000,000.00","129,000,000.00","202,000,000.00","267,000,000.00","53,000,000.00","102,000,000.00","158,000,000.00","188,000,000.00","58,000,000.00","131,000,000.00","208,000,000.00","274,000,000.00","62,000,000.00","113,000,000.00","152,000,000.00","245,000,000.00","40,000,000.00","100,000,000.00","147,000,000.00","217,000,000.00","56,000,000.00"
营业外收入,"62,000,000.00","263,000,000.00","368,000,000.00","801,000,000.00","159,000,000.00","616,000,000.00","961,000,000.00","1,257,000,000.00","1,072,000,000.00","1,664,000,000.00","1,794,000,000.00","2,336,000,000.00","221,000,000.00","347,000,000.00","430,000,000.00","1,300,000,000.00","176,000,000.00","849,000,000.00","1,170,000,000.00","1,502,000,000.00","346,000,000.00","968,000,000.00","1,166,000,000.00","2,027,000,000.00","282,000,000.00","654,000,000.00","1,148,000,000.00","2,070,000,000.00","228,000,000.00","1,112,000,000.00","1,530,000,000.00","2,822,000,000.00","325,000,000.00","1,337,000,000.00","2,137,000,000.00","3,814,000,000.00","419,000,000.00","1,737,000,000.00","2,858,000,000.00","4,262,000,000.00","526,000,000.00","829,000,000.00","1,442,000,000.00","886,000,000.00","255,000,000.00"
销售费用,"695,000,000.00","1,605,000,000.00","2,529,000,000.00","3,586,000,000.00","821,000,000.00","1,657,000,000.00","2,549,000,000.00","3,576,000,000.00","976,000,000.00","1,924,000,000.00","3,083,000,000.00","4,256,000,000.00","1,148,000,000.00","2,441,000,000.00","3,991,000,000.00","5,694,000,000.00","1,378,000,000.00","2,943,000,000.00","4,808,000,000.00","6,640,000,000.00","1,577,000,000.00","3,231,000,000.00","5,285,000,000.00","7,204,000,000.00","1,840,000,000.00","3,710,000,000.00","5,791,000,000.00","7,855,000,000.00","1,801,000,000.00","3,678,000,000.00","5,797,000,000.00","7,947,000,000.00","1,905,000,000.00","3,572,000,000.00","5,100,000,000.00","7,081,000,000.00","1,401,000,000.00","2,935,000,000.00","4,633,000,000.00","6,402,000,000.00","1,592,000,000.00","3,170,000,000.00","4,918,000,000.00","6,967,000,000.00","1,637,000,000.00"
减:营业外支出,"2,000,000.00","13,000,000.00","35,000,000.00","46,000,000.00","9,000,000.00","37,000,000.00","44,000,000.00","97,000,000.00","2,000,000.00","17,000,000.00","18,000,000.00","30,000,000.00","3,000,000.00","16,000,000.00","21,000,000.00","71,000,000.00","36,000,000.00","53,000,000.00","84,000,000.00","180,000,000.00","31,000,000.00","58,000,000.00","59,000,000.00","64,000,000.00","5,000,000.00","21,000,000.00","38,000,000.00","135,000,000.00","6,000,000.00","18,000,000.00","29,000,000.00","132,000,000.00","13,000,000.00","29,000,000.00","50,000,000.00","97,000,000.00","6,000,000.00","21,000,000.00","35,000,000.00","88,000,000.00","11,000,000.00","59,000,000.00","81,000,000.00","169,000,000.00","18,000,000.00"
管理费用,"446,000,000.00","818,000,000.00","1,352,000,000.00","1,831,000,000.00","436,000,000.00","863,000,000.00","1,339,000,000.00","1,873,000,000.00","416,000,000.00","818,000,000.00","1,322,000,000.00","1,814,000,000.00","451,000,000.00","962,000,000.00","1,524,000,000.00","2,182,000,000.00","551,000,000.00","1,184,000,000.00","1,903,000,000.00","2,574,000,000.00","648,000,000.00","1,238,000,000.00","2,115,000,000.00","2,603,000,000.00","618,000,000.00","1,261,000,000.00","1,946,000,000.00","2,689,000,000.00","574,000,000.00","1,222,000,000.00","1,892,000,000.00","2,582,000,000.00","690,000,000.00","1,299,000,000.00","2,060,000,000.00","2,754,000,000.00","688,000,000.00","1,358,000,000.00","2,201,000,000.00","3,064,000,000.00","741,000,000.00","1,508,000,000.00","2,328,000,000.00","3,599,000,000.00","766,000,000.00"
其中:非流动资产处置净损失,,"3,000,000.00",,"17,000,000.00",,"24,000,000.00","24,000,000.00","69,000,000.00",,"3,000,000.00","3,000,000.00","7,000,000.00",,"1,000,000.00","2,000,000.00","17,000,000.00",,"39,000,000.00","68,000,000.00","145,000,000.00","1,000,000.00","11,000,000.00","12,000,000.00","12,000,000.00","2,000,000.00","9,000,000.00","11,000,000.00","101,000,000.00","1,000,000.00","1,000,000.00","5,000,000.00","98,000,000.00","8,000,000.00","18,000,000.00","29,000,000.00","65,000,000.00","1,000,000.00","8,000,000.00","12,000,000.00","40,000,000.00","1,000,000.00","16,000,000.00","21,000,000.00",,
