科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"265,861,000.37","730,109,825.89","1,408,391,762.29","427,931,726.59","1,076,752,905.84","1,503,583,089.83","2,103,477,186.99","488,741,392.85","902,453,468.50","1,571,099,755.98","2,579,563,251.92","688,167,925.41","1,757,011,915.60","3,346,999,410.90","5,233,718,155.05","1,955,827,583.07","4,418,740,291.06","7,421,481,332.29","9,932,545,047.97","2,090,778,205.46","4,306,010,035.55","7,432,078,197.83","11,433,290,673.17","2,797,705,345.69","5,935,084,439.13","9,148,647,984.13","12,781,430,652.75","2,896,367,577.51","6,658,622,870.67","11,010,616,796.11","16,347,806,636.44","3,560,826,731.86","7,223,004,140.20","11,049,376,848.55","14,918,626,790.46","3,689,453,528.32","8,355,628,578.27","12,726,838,295.94","17,744,986,536.59","5,503,421,343.35","11,475,909,821.13","18,405,874,299.92","20,756,956,786.14","5,296,463,219.66","11,324,384,246.52","16,279,742,889.92","23,441,317,201.42","5,980,670,427.52"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,565,000.00",,,,,,,
收到的税费返还,,,,,,,,,,,,,,,"296,392.04",,,,,,,,,,,,"2,017,988.27",,,,,,,,"612,519.87",,,,,,,,,"53,186.47","53,186.47","53,186.47",,
支付其他与投资活动有关的现金,,,,,,,,,,,"9,134,446.64",,,,,,,,,,,,,,,,,,,,,,,,"10,338,439.68","10,338,439.68",,,"142,995,890.10",,,,"4,133,815.03",,,,"24,671,392.33",
收到其他与经营活动有关的现金,,"48,882.31","568,694.28",,"291,483.50","1,193,753.16","6,370,751.85",,"19,820,126.78",,"17,119,603.90",,"4,370,101.29","4,639,494.51","6,504,048.78","2,829,888.72","5,134,338.51","5,264,614.09","193,265,238.90","1,766,725.06","275,596,397.24","332,903,331.15","34,212,063.93","15,740,434.52","999,697,897.69","1,002,301,842.41","42,714,421.99","11,415,967.95","37,968,838.61","67,584,673.87","97,679,179.12","14,096,371.04","38,244,406.37","56,316,899.00","64,345,663.13",,"18,677,499.66","37,709,024.35","105,846,151.47","12,511,527.53","24,849,934.38","66,346,774.96","108,506,336.00","7,879,206.37","43,630,461.87","92,662,415.82","500,164,361.73","20,570,309.17"
投资活动现金流出小计,"5,012,418.54","91,719,841.24","149,924,861.21","8,084,284.05","22,603,266.83","107,472,882.22","297,527,317.33","128,859,917.36","230,471,873.58","477,412,203.45","718,292,119.27","99,017,757.58","234,319,950.75","357,130,459.57","613,143,725.73","38,784,531.13","191,621,455.37","418,324,156.97","915,270,688.22","78,353,210.96","146,895,811.35","234,640,018.07","617,610,116.48","122,259,032.19","293,296,000.82","372,102,366.40","772,957,102.80","85,574,816.55","185,607,495.43","244,490,379.71","351,218,912.47","112,910,869.65","281,083,935.66","374,074,585.16","630,969,562.27","100,303,464.19","309,397,082.27","525,629,699.27","784,984,649.34","54,983,961.01","142,516,212.73","293,078,931.06","472,410,109.48","319,794,226.73","398,412,521.20","582,167,032.15","927,706,088.63","115,309,644.24"
经营活动现金流入小计,"265,861,000.37","730,158,708.20","1,408,960,456.57","427,931,726.59","1,077,044,389.34","1,504,776,842.99","2,109,847,938.84","488,741,392.85","922,273,595.28","1,571,099,755.98","2,596,682,855.82","688,167,925.41","1,761,382,016.89","3,351,638,905.41","5,240,518,595.87","1,958,657,471.79","4,423,874,629.57","7,426,745,946.38","10,125,810,286.87","2,092,544,930.52","4,581,606,432.79","7,764,981,528.98","11,467,502,737.10","2,813,445,780.21","6,934,782,336.82","10,150,949,826.54","12,826,163,063.01","2,907,783,545.46","6,696,591,709.28","11,078,201,469.98","16,445,485,815.56","3,574,923,102.90","7,261,248,546.57","11,105,693,747.55","14,983,584,973.46","3,689,453,528.32","8,374,306,077.93","12,764,547,320.29","17,850,832,688.06","5,515,932,870.88","11,500,759,755.51","18,472,221,074.88","20,865,463,122.14","5,304,395,612.50","11,368,067,894.86","16,372,458,492.21","23,941,481,563.15","6,001,240,736.69"
投资活动产生的现金流量净额,"-5,012,418.54","-85,863,633.24","-144,865,028.74","-8,084,284.05","-22,603,266.83","-107,472,882.22","-297,517,817.33","-128,859,917.36","-230,471,873.58","-477,412,203.45","-718,292,119.27","-98,865,603.23","-234,159,222.92","-356,969,731.74","-602,984,556.64","-38,784,531.13","-191,621,455.37","-418,324,156.97","-915,270,688.22","-77,633,210.96","-141,095,811.35","-218,840,018.07","-588,137,192.77","-122,259,032.19","-293,296,000.82","-372,102,366.40","-738,905,953.15","-85,574,816.55","-185,607,495.43","-244,490,379.71","-245,042,012.12","-112,910,869.65","-280,669,148.84","-373,659,798.34","-486,625,301.44","-100,106,319.15","-309,199,937.23","-508,138,422.20","-770,387,052.53","-54,983,961.01","-142,195,991.36","-292,126,676.47","-453,382,703.30","-319,748,053.12","-398,366,347.59","-582,118,017.99","-867,973,516.58","-115,295,808.25"
购买商品、接受劳务支付的现金,"141,353,442.65","524,375,797.23","1,036,245,356.70","389,051,179.18","1,088,134,859.28","1,458,389,365.75","1,765,971,303.45","503,231,246.63","1,205,424,112.03","1,901,063,654.05","2,968,261,578.19","918,846,637.31","2,323,755,995.82","4,088,210,699.58","6,083,412,852.48","2,123,532,862.08","4,724,352,739.20","8,029,478,520.29","9,891,163,186.79","2,041,659,971.61","3,837,383,540.91","6,638,930,884.03","11,578,884,120.45","2,534,580,134.01","5,663,004,433.42","8,702,968,896.25","12,394,099,129.28","2,909,835,391.41","5,978,323,185.38","9,848,021,410.03","14,127,942,177.15","3,089,036,789.62","6,493,299,193.03","10,330,915,451.38","13,328,152,837.82","3,263,699,094.10","7,241,496,885.55","11,674,275,407.50","16,805,684,904.68","5,117,245,873.32","11,203,471,661.20","18,103,434,139.76","18,975,173,001.91","4,636,686,048.38","10,231,784,732.70","14,965,119,293.82","21,387,249,150.60","5,387,755,497.00"
吸收投资收到的现金,,"50,400,000.00","50,400,000.00",,"623,520,000.00","623,520,000.00","613,520,000.00",,,,,,,,,,,"1,258,277,328.00","1,253,127,328.00",,,,"17,953,400.00",,,,,,,,"1,200,000.00",,,,"1,990.23",,,,,,,,,,,,,
