科目,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"1,316,386,846.95","1,681,531,322.76","1,749,123,195.32","1,453,246,820.31","1,274,505,277.06","2,154,529,827.15","1,614,212,726.56","1,507,819,420.24","1,092,578,120.60","1,418,666,736.49","1,901,945,091.47","2,089,853,057.72","2,224,707,273.80","2,612,625,801.38","2,720,369,249.41","2,529,424,082.37","4,219,295,483.55","4,376,569,005.48","3,802,331,721.90","3,572,657,515.04","4,049,205,188.78","4,003,138,455.33","3,799,509,201.45","4,763,875,947.62","4,755,883,326.50","4,752,229,173.48","4,714,331,680.57","4,723,606,994.10"
短期借款,"846,054,339.99","844,343,998.31","1,306,900,827.56","1,325,228,043.85","896,864,196.61","917,801,764.86","1,077,867,800.43","958,086,303.82","1,127,841,547.42","845,986,463.67","808,700,584.41","1,104,795,236.65","1,181,302,881.91","923,013,928.36","1,450,224,692.03","1,534,931,519.85","1,381,468,354.39","1,809,823,098.33","2,038,231,973.61","1,923,597,940.48","873,263,796.25","893,621,605.80","712,530,277.23","1,836,817,672.63","1,373,386,094.53","657,068,211.85","623,445,929.63","673,471,958.20"
交易性金融资产,,,"1,171,549.87","100,141.20","646,954.11","96,753.40","356,582.81",,"283,474.42","56,844.00","213,217.36","2,195,755.99","49,700.00",,"381,942.53","1,460,532.87",,"1,831,177.94","164,532.38",,,"3,340,915.22",,,"391,305,650.45","425,426,132.41","452,913,304.59","496,718,336.52"
交易性金融负债,,,"11,026.79","135,049.35",,"66,307.94","276,313.62",,"410,681.51","974,157.85","1,579,646.44",,"344,166.47","4,735,940.40","1,174,602.37","55,866.48","2,366,425.74",,,"240,211.37","3,145,481.52",,"4,333,925.30","267,886.69","237,899.98","573,166.39",,
应收票据,,,"503,464.40",,,"8,717,955.74","5,149,998.90","15,592,462.54","14,962,053.87","16,580,000.00","19,678,000.88","3,633,275.00","38,123,110.27","2,863,388.59","21,462,105.61","12,433,517.66","39,060,575.23","10,986,489.83","37,063,161.10","17,221,280.14","21,393,985.60","25,621,206.08","21,387,145.91","14,822,045.85","27,494,194.40","22,357,743.74","26,362,906.71","32,819,965.85"
应付票据,,,,,,,,,,,,,,,,,,,,,,,,"71,771.46",,,,
应收账款,"2,299,264,670.38","3,012,903,722.99","3,039,033,248.59","2,730,991,736.71","2,495,717,281.98","2,260,477,843.93","2,307,072,979.05","2,541,284,749.18","3,684,052,754.15","2,633,985,014.42","2,497,694,200.15","2,908,163,457.16","3,192,234,372.39","2,745,417,358.77","2,740,796,996.85","3,271,755,648.29","3,521,476,954.10","3,141,688,666.08","4,183,216,903.67","4,667,910,491.01","3,472,667,754.46","3,193,856,344.63","3,638,180,428.41","4,916,810,450.31","4,753,856,863.59","4,100,740,565.99","4,316,734,385.97","5,054,181,917.51"
应付账款,"2,047,994,221.09","2,759,125,857.91","3,046,232,275.76","2,570,278,738.01","2,413,540,247.61","2,193,169,796.10","2,332,150,221.08","2,781,783,364.58","3,089,964,822.72","2,469,631,607.82","2,391,006,288.96","2,949,233,294.02","3,020,512,761.35","2,963,497,856.79","3,038,055,329.08","3,860,912,373.74","4,064,410,269.49","3,986,386,473.57","4,276,092,939.15","4,911,938,153.93","4,597,611,856.91","3,937,953,124.48","4,212,182,982.70","5,791,579,315.09","5,497,731,403.37","4,788,607,111.25","4,903,930,135.83","6,605,516,922.42"
预付款项,"7,534,219.67","9,051,481.75","17,706,575.95","15,426,442.66","14,189,568.83","45,291,422.59","15,184,006.06","36,519,120.97","3,977,334.49","8,324,316.25","5,789,308.47","4,068,025.10","4,678,528.53","4,175,648.38","9,639,533.96","19,124,344.98","16,201,973.82","14,419,186.57","15,214,276.36","10,742,940.26","5,757,019.13","4,702,293.66","15,952,180.41","10,306,765.19","11,860,394.95","6,619,568.44","33,119,915.70","36,471,809.16"
预收款项,"10,945,947.83","3,001,971.26","4,414,762.94","8,502,267.75","5,095,874.21","6,531,772.89","2,931,435.19","467,384.21","7,884,312.37","7,403,277.78","7,392,967.03","9,446,404.51","6,577,563.99","8,165,812.70","7,785,098.35","10,648,175.11","9,361,203.83","20,867,878.03","48,521,374.69","20,290,516.45","14,993,631.46","24,400,238.77","22,578,137.93","18,630,903.54","34,720,014.86","49,906,143.95","70,161,353.76","57,854,281.64"
