科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"34,925,143.60","375,664,391.82","476,737,221.15","41,656,962.10","115,437,556.25","167,817,711.00","267,005,560.41","28,880,069.89","150,215,458.70","251,651,832.96","349,172,709.59","68,430,935.55","199,123,483.10","327,131,773.79","580,921,634.51","110,070,899.38","357,206,100.43","532,152,063.13","771,990,269.46","127,167,169.34","332,909,186.53","569,250,865.30","1,029,153,051.40","393,435,221.13","887,814,110.75","1,389,033,471.19","1,971,283,226.26","319,416,529.74","738,121,108.22","1,201,486,115.22","1,684,669,309.88","391,968,420.10","1,038,603,547.81","1,527,164,240.60","2,071,246,441.53","280,026,624.46","642,559,218.82","1,093,802,676.15","1,324,280,444.81","156,170,303.27"
二、营业利润,"4,008,556.30","51,167,984.11","98,791,319.65","9,459,419.05","28,605,562.34","50,310,372.70","72,187,855.59","11,346,297.81","34,654,512.21","58,130,723.93","90,576,128.03","18,198,117.30","48,725,951.46","74,269,844.15","114,073,755.91","23,617,247.43","77,290,709.38","120,903,422.75","165,967,252.75","23,212,139.02","67,850,060.69","127,156,193.09","225,312,795.61","110,383,882.06","192,943,759.83","278,724,004.93","331,868,289.28","75,082,493.94","155,821,626.76","220,085,559.94","286,343,334.16","111,715,114.54","236,704,699.98","352,602,139.81","378,017,175.88","101,982,604.34","179,510,112.86","278,748,084.80","-45,933,127.21","71,480,905.68"
减:营业成本,"25,179,489.88","309,819,091.55","352,352,768.41","28,401,116.73","75,150,602.86","101,524,357.45","182,820,337.91","15,289,012.71","112,968,545.35","191,819,894.02","255,730,368.49","50,452,720.78","145,071,551.63","243,310,225.49","447,074,526.86","81,741,879.12","261,996,377.91","391,839,148.16","565,204,259.68","97,823,385.58","245,696,374.34","403,358,316.88","721,169,751.28","253,563,204.06","622,407,968.78","982,983,384.95","1,414,479,636.91","217,179,921.90","494,241,261.28","822,091,944.19","1,222,894,259.57","276,710,354.25","757,979,771.82","1,097,153,217.81","1,479,054,211.10","175,694,742.45","445,948,147.62","766,558,819.82","974,580,748.80","97,264,973.71"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"986,274.85","9,449,233.78","11,755,524.93","1,548,694.16","4,461,215.02","5,821,615.19","5,080,193.22","679,903.25","2,127,192.35","3,892,250.71","3,372,602.34","1,547,778.39","3,782,146.07","5,675,955.12","8,876,556.28","1,173,830.57","7,259,887.75","7,163,534.34","11,111,583.77","367,860.14","773,121.03","556,045.17","707,786.44","1,262,917.36","5,714,348.54","6,810,346.72","9,770,181.70","703,207.99","2,874,989.79","4,089,471.93","12,626,971.07","2,351,659.57","5,634,833.05","9,799,497.22","18,211,879.16","3,389,590.86","6,487,235.18","9,392,597.28","14,770,322.91","2,350,622.95"
营业外收入,"38,704.50","705,000.00","483,852.23","169,009.40","184,009.40","404,109.40","2,722,109.40",,"140,846.17","140,846.17","643,346.17",,"69,045.50","65,178.86","216,366.41","10,090.00","279,516.98","279,516.98","279,516.98","356,653.68","1,529,834.68","1,529,834.68","1,396,187.96","1,149,352.10","1,624,575.36","2,316,090.29","6,514,326.80","4,011,949.25","10,575,607.76","14,545,005.40","20,532,076.02","4,891,546.03","1,860,671.51","4,052,799.38","845,977.82","2,373,263.00","2,863,722.10","4,047,405.88","1,785,327.70","439,994.31"
销售费用,,,,,,,,"376,483.65","1,387,382.25","2,022,826.64","3,524,664.39","673,001.07","2,583,626.75","3,581,794.03","5,057,521.21","1,832,433.55","4,038,775.13","5,834,643.20","8,324,819.71","1,947,123.52","4,892,929.47","10,437,230.90","22,208,202.86","2,958,768.93","9,041,043.23","18,327,613.33","30,478,085.21","4,279,975.14","10,758,743.78","21,544,683.87","30,950,235.98","3,929,665.79","10,932,814.84","14,936,214.98","25,208,259.81","4,659,662.75","10,836,038.15","25,954,955.79","42,137,958.43","4,291,411.62"
减:营业外支出,"119,301.22",,"3,803,799.87",,"131,265.60","1,831,777.27","2,289,661.28","48,331.53","48,731.53","139,934.77","159,421.95",,,"502,983.37","503,557.10",16.73,"60,253.44","60,253.44","60,253.44",,"37,625.72","37,625.72","577,781.58",,"60,000.00","60,327.02","1,253,355.45","7,400.00","102,887.79","285,066.69","955,193.44","108,114.67","423,090.17","520,995.56","2,212,406.38","120,833.68","807,974.56","1,214,134.67","9,057,888.83","550,050.00"
管理费用,"2,605,711.73","5,000,351.50","8,688,594.18","4,022,813.75","10,010,162.23","13,824,823.18","26,325,230.26","3,113,913.77","8,105,848.67","13,193,538.44","20,660,074.22","7,064,562.15","15,269,191.27","23,075,727.07","34,981,418.40","9,985,021.42","21,303,550.26","30,674,650.19","44,649,702.29","12,567,905.31","26,629,559.42","45,033,049.05","76,022,214.76","21,495,515.39","50,382,022.45","81,966,250.48","117,845,957.67","24,160,526.71","49,810,885.88","79,724,711.99","109,490,070.79","25,970,302.92","58,702,728.36","76,932,645.73","144,620,427.46","34,427,197.75","64,979,668.42","100,098,813.01","111,507,645.01","22,947,680.44"
其中:非流动资产处置净损失,"107,937.46",,"98,799.87",,,,"178,153.78","46,331.53","46,331.53",,"50,866.27",,,"2,971.41","3,545.14",,,,,"1,005.78",-907.78,-907.78,"10,131.12",,,,,,,,"501,412.27","2,289.00","4,800.01","4,864.39",,,,,,
