科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"94,617,388.42","84,578,741.20","159,353,519.46","355,687,424.99","174,239,122.71","356,550,096.29","455,792,202.82","342,787,041.61","264,185,940.01","225,725,734.18"
短期借款,"320,000,000.00","270,000,000.00","417,000,000.00","520,340,200.00","422,000,000.00","422,000,000.00","125,000,000.00","21,659,800.00",,
交易性金融资产,,,,,,,,"12,716,825.00","1,802,080.00","6,030,675.00"
交易性金融负债,,,,,,,,,,
应收票据,,,,,,,,,,
应付票据,,"30,000,000.00","54,000,000.00","24,000,000.00",,,,,,
应收账款,"34,517,302.21","68,311,313.76","83,578,196.69","100,695,964.14","83,480,017.93","130,145,930.22","55,575,826.71","74,887,637.56","80,421,931.95","91,679,193.77"
应付账款,"197,132,133.52","107,187,932.18","120,845,367.87","81,877,632.91","63,509,554.64","52,485,428.23","67,308,705.24","38,499,308.00","49,009,836.85","60,594,125.81"
预付款项,"36,064,658.42","26,665,702.93","30,507,461.73","60,707,956.91","85,343,620.88","151,836,734.60","16,344,822.37","68,582,365.11","87,732,092.40","95,666,995.42"
预收款项,"10,213,292.81","36,299,154.42","14,897,001.72","15,492,212.63","8,268,867.38","16,702,133.42","6,906,417.58","1,042,512.59","7,042,512.59","40,140,374.68"
其他应收款,"22,039,765.59","16,780,974.28","25,499,215.71","90,279,043.84","29,472,127.56","29,750,061.93","58,452,456.90","46,300,643.14","45,463,702.26","31,520,557.48"
应付职工薪酬,"15,245,609.41","12,270,327.28","16,128,998.98","4,352,430.11","4,496,616.03","5,569,270.56","15,367,086.61","4,912,209.99","5,437,723.04","5,534,309.17"
应收关联公司款,,,,,,,,,,
应交税费,"23,201,317.80","46,897,456.38","29,681,511.98","10,565,863.35","36,788,732.18","25,518,902.41","40,129,228.13","4,596,913.41","28,104,944.33","36,140,170.83"
应收利息,,,,,,,,,,
应付利息,,,,,,,,,,
应收股利,,,,,,,,,,
应付股利,,,,,,,,,"681,192.00",
存货,"47,906,092.23","57,970,905.39","37,084,813.63","40,965,665.95","28,343,966.45","42,933,275.34","34,515,075.43","55,444,907.31","67,905,878.59","66,239,295.00"
其他应付款,"12,660,860.30","21,748,952.81","33,689,572.75","25,517,966.68","27,280,215.63","24,108,133.67","96,494,568.06","90,116,997.10","79,955,999.19","84,280,371.40"
其中:消耗性生物资产,,,,,,,,,,
应付关联公司款,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,
一年内到期的非流动负债,"150,000,000.00","89,500,000.00","178,500,000.00","178,500,000.00","98,500,000.00","103,500,000.00","61,000,000.00","61,000,000.00","108,000,000.00","83,000,000.00"
其他流动资产,,"842,235.89","868,504.62","809,043.42","2,304,469.54","5,030,032.00","6,473,159.07","9,718,504.24","225,521,579.63","42,606,244.51"
其他流动负债,,,,,,,,,,
流动资产合计,"235,145,206.87","255,149,873.45","336,891,711.84","649,145,099.25","403,183,325.07","716,246,130.38","627,153,543.30","610,437,923.97","773,033,204.84","559,468,695.36"
流动负债合计,"728,453,213.84","613,903,823.07","864,742,453.30","860,646,305.68","660,843,985.86","649,883,868.29","412,206,005.62","221,827,741.09","278,232,208.00","309,689,351.89"
可供出售金融资产,,,,,,,,"120,000,000.00",,"300,000,000.00"
长期借款,"222,000,000.00","350,500,000.00","172,000,000.00","172,000,000.00","149,000,000.00","397,000,000.00","489,000,000.00","811,000,000.00","736,000,000.00","736,000,000.00"
持有至到期投资,,,,,,,,,,
应付债券,,,,,,,,,,
长期应收款,,,,,,,,,,
长期应付款,,,,,,,,,,
长期股权投资,,,,,,,,,,
专项应付款,,,,,,,,,,
投资性房地产,,,,,,,,,,
预计负债,"1,172,706.32","1,233,939.40","1,233,939.40","1,233,939.40","1,233,939.40","1,233,939.40","1,233,939.40","1,233,939.40","1,233,939.40","1,233,939.40"
固定资产,"586,383,777.80","733,240,655.38","709,126,347.44","692,483,774.15","680,895,494.97","665,425,151.34","739,464,974.37","722,337,378.02","706,400,118.96","689,178,378.21"
递延所得税负债,,,,,,,,,,
在建工程,"116,940,316.79","142,784,574.06","244,462,236.76","256,415,969.97","278,558,561.72","306,482,419.00","281,334,937.00","293,128,025.62","336,445,612.89","386,608,203.91"
其他非流动负债,,,,,,,,,,
工程物资,,,,,,,,,,
非流动负债合计,"226,161,992.03","354,280,368.14","175,337,511.02","175,226,796.74","152,116,082.46","400,005,368.18","491,894,653.90","813,783,939.62","738,673,225.34","738,562,511.06"
固定资产清理,,,,,,,,,,
负债合计,"954,615,205.87","968,184,191.21","1,040,079,964.32","1,035,873,102.42","812,960,068.32","1,049,889,236.47","904,100,659.52","1,035,611,680.71","1,016,905,433.34","1,048,251,862.95"
生产性生物资产,,,,,,,,,,
实收资本(或股本),"468,000,000.00","468,000,000.00","468,000,000.00","520,000,000.00","520,000,000.00","525,676,600.00","525,676,600.00","525,676,600.00","525,982,600.00","525,923,800.00"
油气资产,,,,,,,,,,
资本公积,"9,829,980.08","9,829,980.08","9,829,980.08","291,420,843.76","291,420,843.76","356,304,381.76","361,627,893.38","361,627,893.38","367,649,243.79","366,977,159.79"
无形资产,"712,247,455.18","747,639,078.11","773,233,181.33","772,604,296.71","772,350,936.65","770,865,751.83","786,582,678.54","785,624,436.48","784,605,451.46","783,847,061.44"
盈余公积,"88,090,512.55","108,625,177.22","125,395,984.63","125,395,984.63","125,395,984.63","125,395,984.63","144,351,658.98","144,351,658.98","144,351,658.98","144,351,658.98"
开发支出,,,,,,,,,"1,767,028.30","1,767,028.30"
减:库存股,,,,,,,"70,560,138.00","70,560,138.00","56,798,618.50","56,067,734.50"
商誉,"5,013,332.54","5,013,332.54","5,013,332.54","5,013,332.54","5,013,332.54","5,013,332.54","5,013,332.54","5,013,332.54","5,013,332.54","5,013,332.54"
未分配利润,"200,903,554.00","358,262,519.57","457,225,422.72","451,241,511.55","453,392,191.41","511,053,540.71","567,448,284.84","588,287,145.83","628,589,652.13","710,841,655.65"
长期待摊费用,"28,549,017.18","46,362,320.48","49,636,542.76","49,349,882.41","61,397,920.53","64,359,076.76","33,538,421.01","33,498,608.52","34,871,221.26","35,410,939.35"
少数股东权益,"41,006,999.63","40,404,633.80","79,172,104.90","78,256,019.59","76,862,964.41","75,782,324.52","73,628,910.91","73,052,203.71","75,627,408.88","74,497,946.87"
递延所得税资产,"5,846,479.55","8,489,910.55","11,050,468.16","11,117,635.91","10,887,196.28","11,257,880.27","12,255,383.47","12,195,256.52","11,339,195.02","11,994,329.19"
外币报表折算价差,,,,,,,,,,
其他非流动资产,"78,023,359.51","24,084,563.63","63,038,619.27","78,887,700.73","76,037,576.46","113,594,986.77","29,092,216.35","84,087,480.17","56,804,834.63","51,508,964.64"
非正常经营项目收益调整,,,,,,,,,,
非流动资产合计,"1,533,003,738.55","1,707,614,434.75","1,855,560,728.26","1,865,872,592.42","1,885,141,019.15","1,936,998,598.51","1,887,281,943.28","2,055,884,517.87","1,937,246,795.06","2,265,328,237.58"
