科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"598,429.46","875,728.62","1,493,718.94","1,802,714.10","308,995.16","772,487.90","1,235,980.64","1,699,473.38","463,492.74","926,985.48","1,390,478.22","1,853,970.96",,,,"1,480,358.31","109,006.80","109,006.80","109,006.80","109,006.80",,,,,"1,102,839,271.66","2,542,927,020.28","3,805,104,565.10","5,227,802,390.42","1,242,641,390.27","2,630,678,096.87","3,813,927,206.66","5,010,012,325.87","1,169,795,695.95","2,298,116,779.41","3,148,230,055.67","4,331,513,542.49","1,290,668,834.46","2,765,163,090.20","4,147,891,853.27","5,856,937,609.16","1,718,361,033.62","3,422,141,280.22","5,094,837,984.96"
二、营业利润,"-7,381,455.95","-17,583,119.72","-26,561,959.43","-22,125,257.13","-9,577,986.61","-18,929,678.65","-27,857,817.78","-32,210,336.36","-6,663,209.91","-13,469,451.31","-26,453,981.13","-33,702,117.27","-6,503,292.62","-13,503,598.70","-19,995,419.50","-18,234,423.23","-625,232.73","-7,913,843.43","-8,678,471.52","-6,692,369.13","-816,708.76","-1,602,457.38","-2,205,885.79","-3,689,015.61","157,326,300.87","320,406,930.98","458,113,943.19","613,703,113.00","171,412,215.95","363,422,219.86","525,374,397.15","659,232,127.58","177,504,298.13","320,775,666.95","394,096,174.83","522,774,486.34","155,314,301.42","373,193,446.90","506,209,785.82","649,343,102.80","230,121,662.81","483,762,434.66","694,453,318.20"
减:营业成本,,,,,,,,,,,,,,,,,,,"8,949,808.32",,,,,,"899,124,180.88","2,078,906,522.69","3,106,877,887.29","4,271,341,996.11","1,017,507,271.02","2,128,518,486.28","3,099,005,640.70","4,076,191,653.31","949,297,700.98","1,879,889,071.38","2,572,807,723.51","3,534,515,992.49","1,057,141,110.80","2,279,496,547.91","3,429,866,087.88","4,767,023,080.82","1,411,054,557.39","2,791,183,076.09","4,128,494,708.24"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,,,,,,,,,,,,,,,,,,"61,312.74","61,312.74",,,,,,"7,157,079.79","15,645,742.47","23,363,527.01","29,416,466.62","8,344,077.63","16,305,362.97","23,462,556.06","29,436,043.76","7,673,884.70","15,090,275.94","19,755,749.36","27,178,343.30","7,924,024.21","16,857,607.66","26,055,567.52","54,249,270.95","13,926,533.92","28,492,947.84","48,640,458.36"
营业外收入,,"1,290,040.00","1,340,040.00","50,040.00",,"6,479,352.00","6,529,352.00","6,529,352.00",,,"43,871,336.88","41,804,852.74","463,492.74","1,096,697.82","1,413,300.36","34,523,320.96","9,166,000.00","1,465,219,962.34","1,465,219,962.34","1,462,788,548.58","140,000.00","140,000.00","140,000.00",,"1,554,962.83","5,371,212.82","10,633,552.04","24,945,957.51","4,067,353.91","13,483,899.66","18,079,167.00","83,999,244.05","3,535,200.55","7,084,759.03","12,298,596.13","20,713,210.47","8,481,992.01","21,967,843.91","60,275,470.45","103,540,829.22","7,566,911.44","51,734,903.12","62,545,315.16"
销售费用,,,,,,,,,,,,,,,,,,,,,,,,,"48,285,958.24","125,905,843.37","179,245,547.79","258,349,334.55","46,971,880.73","107,066,931.09","149,550,633.39","188,545,874.32","47,863,275.20","88,552,187.65","129,020,693.66","169,623,907.15","64,670,038.58","101,881,976.92","155,507,187.46","241,743,909.54","64,025,035.66","127,605,328.30","199,522,154.27"
减:营业外支出,,,,,,,,"59,467,834.68",,,,,,,,"405,064,777.73",,"31,966.04","31,966.04","31,966.04",,,,,"364,290.95","905,448.18","1,196,041.24","16,613,427.23","1,172,485.68","616,674.51","3,296,779.09","40,721,441.49","260,004.16","797,245.82","1,016,310.36","7,332,763.94","82,026.04","641,578.48","20,713,324.53","47,052,725.82","288,913.84","44,609,403.53","46,408,825.28"
管理费用,"729,872.03","2,306,147.04","3,184,059.30","3,555,210.04","969,360.72","1,866,139.45","2,339,433.18","3,897,771.71","1,000,367.62","2,143,618.66","2,677,035.85","3,832,126.06","562,516.33","1,615,302.00","2,162,895.99","16,596,851.74","813,503.57","8,122,000.00","8,922,000.00","7,151,527.48","848,325.86","1,664,849.37","2,287,888.13","3,900,885.75","95,006,590.28","213,415,063.03","335,116,775.72","466,731,786.78","95,654,096.69","241,694,913.43","353,798,557.69","498,048,641.34","107,825,035.45","205,033,099.18","304,869,838.06","497,189,906.04","128,445,783.82","264,456,303.09","412,460,119.14","571,121,436.24","149,456,109.28","278,051,312.11","434,540,941.45"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,,"28,797.49",,"31,966.04",,"31,966.04",,,,,"91,265.55","214,008.04","253,177.84","12,036,760.64","10,057.31","47,153.74","2,640,525.85","38,559,615.95",,"398,450.04","398,450.04","416,633.09","82,026.04","335,666.63","20,233,363.07","35,455,220.47",,"17,756,009.61","18,458,064.20"
