科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"214,627,288.55","164,322,515.55","229,438,601.24","57,570,063.22","471,473,315.50","93,338,688.23","273,057,276.59","223,016,667.39","127,040,907.36","66,650,377.37","176,282,669.93","456,104,957.94","118,235,737.21"
短期借款,"81,500,000.00","81,400,000.00","80,000,000.00","30,000,000.00","80,000,000.00","80,000,000.00","2,000,000.00","2,000,000.00","102,000,000.00","152,000,000.00","231,850,000.00","514,708,057.40","496,900,000.00"
交易性金融资产,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,
应收票据,"3,566,381.80","1,545,387.22","1,720,200.00","900,000.00","2,189,700.00",,"7,351,768.65","11,137,000.00","1,455,031.00","5,690,172.48","26,156,422.69","7,679,614.75","6,489,949.00"
应付票据,"2,263,984.90","62,435,175.83","199,414,919.85","14,553,940.00","14,553,940.00","5,500,000.00","5,500,000.00",,,,,,"3,715,250.47"
应收账款,"4,762,365.67","16,408,237.95","24,120,105.51","36,868,274.59","36,266,254.11","73,887,174.15","30,990,877.65","46,959,392.48","23,892,590.73","88,788,605.78","53,392,115.22","32,793,299.40","33,075,847.42"
应付账款,"512,519,228.65","662,761,609.70","493,314,427.49","531,622,258.21","425,994,475.05","345,116,146.58","439,902,734.14","404,770,952.18","401,097,603.22","351,007,387.73","600,898,949.96","661,163,421.67","498,644,790.79"
预付款项,"70,198,160.93","40,534,857.83","51,083,229.96","76,215,719.08","59,641,602.28","138,065,704.22","22,725,553.45","31,540,850.50","34,101,300.26","42,899,075.39","15,482,285.02","52,952,829.46","18,488,801.61"
预收款项,"243,513,321.00","171,310,800.11","151,490,252.22","149,490,979.84","115,722,166.10","162,652,292.36","131,533,711.83","179,254,450.74","154,532,717.54","217,930,745.04","158,715,572.61","141,748,008.16","160,295,729.66"
其他应收款,"22,059,523.87","22,001,636.93","26,459,035.87","20,682,784.44","21,053,639.88","36,613,014.32","94,339,590.40","104,048,023.83","121,246,273.09","168,684,306.35","175,596,873.90","260,834,991.18","198,796,677.99"
应付职工薪酬,"5,812,000.47","7,341,065.32","7,597,921.13","7,308,962.18","7,045,243.77","4,204,237.92","7,445,380.84","7,788,744.02","7,860,415.43","4,351,325.19","9,648,928.40","9,686,252.14","9,302,314.65"
应收关联公司款,,,,,,,,,,,,,
应交税费,"-25,378,557.78","-22,554,574.24","-21,378,998.90","-28,532,210.67","-28,828,926.65","-26,601,134.04","18,023,229.80","11,117,163.88","7,173,643.19","11,928,285.77","19,726,711.03","16,182,900.91","13,290,063.68"
应收利息,,,,,,,,,,,,,"4,056,268.33"
