科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2015-12-31
货币资金,"5,367,259.85","3,966,290.86","5,136,043.96","3,604,542.06","7,138,937.58","880,153.74","2,225,167.99","3,085,934.98","4,481,515.28","1,691,649.84","8,427,026.40","4,083,456.39","3,561,535.96","3,609,937.23","1,653,631.99","1,338,733.13","4,979,184.72","4,921,834.34","3,629,849.07","3,830,860.26","4,030,785.97","3,312,200.37","3,450,360.54","4,125,310.04","3,842,888.29","3,598,982.18","3,461,664.03","3,238,359.35","2,587,381.62"
短期借款,"585,828,973.11","585,828,973.11","585,828,973.11","585,528,973.11","585,428,973.11","559,278,973.10","585,228,973.11","585,228,973.11","585,028,973.11","584,228,973.11",,"584,228,973.11","584,228,973.11","584,228,973.11","584,228,973.11","584,228,973.11","584,228,973.11","584,228,973.11","559,278,973.11","559,278,973.11","559,278,973.11","559,278,973.11","559,278,973.11","559,278,973.11","559,278,973.11","559,278,973.11","559,278,973.11","559,278,973.11","559,278,973.11"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付票据,,"1,000,000.00","1,000,000.00",,"4,800,000.00",,,,,,,"1,300,000.00",,,,,,,,,,,,,,,,,
应收账款,"34,236,627.36","34,081,304.29","28,840,619.40","29,993,122.93","28,221,685.23","69,566.14","24,712,005.74","26,792,029.18","23,367,765.36","22,589,568.45","27,359,201.36","26,039,285.45","25,325,219.42","24,963,093.76","24,562,992.62","24,226,894.30","24,097,833.21","23,722,249.33","22,949,078.78","22,924,078.78","22,844,078.78","22,844,078.78","22,949,078.78","22,396,037.24","22,396,037.24","23,342,467.97","22,520,480.46","22,520,480.46","22,520,480.46"
应付账款,"21,000,493.33","19,468,512.21","19,785,786.46","16,796,872.58","18,774,281.65","13,287,539.20","18,598,499.72","19,573,700.87","19,406,620.87","21,746,324.35",,"18,214,124.94","18,117,791.07","18,057,791.07","17,831,929.81","17,813,740.68","17,813,740.68","17,813,740.68","17,988,179.51","17,988,179.51","17,969,990.38","17,969,990.38","17,948,179.51","17,948,179.51","17,948,179.51","19,117,323.80","18,098,931.55","18,098,931.55","18,078,931.55"
预付款项,"1,284,947.98","961,320.39","747,129.79","561,476.49","544,073.33","274,006.13","2,275,826.63","1,012,929.67","762,929.67","762,929.67","469,984.67","469,984.67","519,984.67","519,984.67","6,469,984.67","6,496,795.54","6,541,795.54","6,561,795.54","469,984.67","469,984.67","451,795.54","451,795.54","469,984.67","469,984.67","469,984.67","469,984.67","466,592.42","466,592.42","466,592.42"
预收款项,"243,222,085.62","256,633,066.60","269,865,479.82","12,024,529.74","10,793,891.46","620,856.99","11,668,910.16","13,064,438.58","14,041,753.80","13,177,687.19",,"12,010,637.86","12,144,387.36","12,191,664.76","17,963,017.92","17,702,108.92","17,483,953.92","17,483,953.92","11,704,099.23","11,689,099.23","11,689,099.23","11,689,099.23","12,108,599.23","12,108,599.23","12,108,599.23","12,108,599.23","11,139,553.92","11,139,553.92","11,139,553.92"
