科目,2012-12-31,2013-12-31,2014-12-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"124,143,228.74","173,119,225.75","192,596,382.13","162,429,147.23",,"202,764,293.53","474,538,541.56","510,550,051.00","514,328,435.42","516,721,700.89","417,319,051.12","256,928,624.95","387,280,701.08"
短期借款,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,
应收票据,"1,000,000.00","100,000.00","2,576,074.89","3,102,000.00",,"3,640,000.00","2,090,000.00","2,240,000.00","3,100,000.00","8,242,955.00","7,450,195.00","4,321,740.00","3,091,740.00"
应付票据,,,,,,,,,,,,,
应收账款,"41,249,752.64","40,413,281.20","61,605,296.71","74,497,084.45",,"95,868,124.15","93,764,386.03","120,305,804.41","123,430,170.21","123,783,297.65","139,241,102.51","174,367,651.75","184,044,814.03"
应付账款,"2,975,782.20","2,583,839.81","2,647,998.93","1,352,643.50",,"5,697,290.50","2,828,690.49","2,744,127.08","2,043,930.85","16,967,458.49","2,008,040.77","1,346,197.65","3,137,345.83"
预付款项,"1,212,923.00","611,440.00","808,472.78","8,331,050.26",,"1,721,241.68","2,453,526.17","1,659,794.41","3,073,201.55","3,317,401.93","1,495,790.62","1,504,366.27","1,605,888.58"
预收款项,"40,641,058.57","45,267,855.95","41,492,063.95","28,790,834.50",,"47,952,184.92","48,929,075.92","50,997,060.13","52,829,824.13","54,888,036.75","54,225,909.11","56,111,109.93","69,015,522.29"
其他应收款,"3,500,613.17","3,737,774.78","3,927,032.70","4,574,773.21",,"4,506,100.89","6,327,660.64","4,161,200.62","5,383,200.44","7,112,860.00","16,453,156.15","11,068,373.12","8,957,746.12"
应付职工薪酬,"23,819,416.13","24,554,963.74","24,838,966.15","12,358,559.08",,"22,887,498.75","8,997,080.79","15,054,524.31","18,840,067.22","34,789,701.30","9,043,470.76","17,640,766.03","24,060,378.74"
应收关联公司款,,,,,,,,,,,,,
应交税费,"5,536,862.12","7,286,986.59","10,879,233.53","8,685,727.31",,"8,242,830.08","6,543,929.04","10,214,342.54","9,821,457.59","30,656,704.86","25,647,381.01","24,752,555.22","22,409,338.39"
应收利息,,,,,,,,,,"185,538.90","185,538.90","341,246.56",
应付利息,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,
应付股利,,,,,,,"400,000.00",,,,,,"2,940,000.00"
存货,,,,,,,,,,,,,"2,655.60"
其他应付款,"32,970.87","245,742.87","765,226.55","2,188,689.74",,"2,140,572.42","3,514,964.45","49,828,674.29","455,016.48","79,101,142.59","82,505,979.20","78,289,866.47","65,314,115.78"
其中:消耗性生物资产,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,
其他流动资产,,,,,,,,,,,"47,075,000.00","164,600,000.00","60,600,000.00"
其他流动负债,,,,,,,,,,,,,
流动资产合计,"171,106,517.55","217,981,721.73","261,513,259.21","252,934,055.15","266,691,600.00","308,499,760.25","579,174,114.40","638,916,850.44","649,315,007.62","659,363,754.37","629,219,834.30","613,132,002.65","645,583,545.41"
