科目,2007-12-31,2008-12-31,2009-12-31,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"368,702,802.86","575,727,991.37","632,743,769.51","785,409,574.56","594,335,567.99","1,708,997,964.24","1,168,781,819.22","1,034,206,689.38","796,850,142.26","941,467,212.39","742,830,820.19","618,293,555.52","904,479,361.61","804,979,500.65","598,473,235.11","410,112,646.55","651,223,885.33","436,138,663.80","456,450,704.88","570,899,277.18","576,313,943.08","713,751,637.52","967,868,803.26","700,905,123.01","1,079,054,091.94","947,770,195.44","1,092,748,060.72","806,056,758.13","986,366,853.41","1,275,033,856.81","1,217,895,833.56","998,896,893.47"
短期借款,"799,486,334.88","1,053,000,000.00","668,377,999.89","848,152,201.97","1,283,774,819.90","1,577,033,523.70","1,334,947,066.67","1,707,820,310.11","2,047,758,794.01","2,269,863,993.06","2,012,672,167.40","1,813,899,096.77","2,031,683,177.27","2,451,804,927.53","2,192,074,878.32","1,592,822,174.76","1,734,530,998.38","2,023,023,636.17","2,003,252,020.36","1,807,846,404.47","2,026,605,571.09","2,170,018,191.70","1,533,255,584.42","1,206,905,743.08","1,577,211,906.63","1,405,807,083.00","1,593,465,797.00","1,638,079,036.00","1,911,101,776.75","2,277,031,980.90","2,031,764,348.45","1,854,836,040.42"
交易性金融资产,,,,,,,,,,,,,"4,722,510.00","7,168,564.85","5,301,872.45","4,020,378.20","2,123,389.20","1,615,923.90","1,955,992.80","6,613,265.90","4,751,795.38","795,376.00","795,376.00","795,376.00","2,687,863.20","1,897,362.00",,,"4,897,610.00","242,864.00",,"468,202.00"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"19,242,457.81","16,938,698.54","25,091,966.52","19,334,568.80","20,267,955.22","52,342,430.17","144,700,730.78","215,430,784.32","140,901,662.20","337,643,281.59","195,979,519.30","126,516,367.60","266,662,309.23","274,280,479.48","147,790,701.06","227,666,998.31","333,789,766.24","218,101,692.97","228,618,405.93","238,779,130.41","171,018,250.77","131,172,471.96","155,821,057.73","185,086,741.90","138,319,382.73","59,310,194.61","83,129,254.28","101,548,803.05","73,635,245.48","110,493,480.25","126,585,416.20","166,416,702.62"
应付票据,"433,711,217.60","487,960,786.85","858,059,836.50","1,036,960,346.82","587,967,558.65","468,451,082.73","504,291,474.83","326,993,952.23","422,521,200.00","487,400,852.00","386,495,812.00","565,954,776.60","927,786,050.60","928,588,668.40","587,795,748.00","427,115,523.00","517,334,942.76","366,322,523.50","391,953,590.74","1,011,664,350.00","911,724,620.00","1,051,288,685.00","1,429,774,868.50","1,033,219,860.83","1,462,418,765.10","1,432,278,302.02","1,139,699,015.35","916,381,565.57","1,428,961,068.81","1,893,466,743.34","1,677,485,744.00","1,881,783,856.10"
应收账款,"116,167,449.61","15,352.00","10,045,412.37","50,761,255.12","55,930,886.50","71,249,919.81","55,570,880.82","143,005,761.24","160,115,926.62","111,179,623.70","94,610,710.51","137,889,432.34","188,059,363.05","249,375,221.24","220,376,327.38","219,283,931.16","145,632,955.17","298,440,753.96","172,945,167.41","316,950,103.56","250,081,517.74","371,210,894.48","295,289,269.75","532,475,353.04","214,409,373.68","374,877,097.88","360,785,703.81","352,734,828.29","169,394,377.96","385,553,749.86","531,546,388.53","465,961,640.92"
应付账款,"85,121,491.86","185,238,917.69","44,696,062.35","31,986,955.17","91,886,694.88","13,428,363.02","8,587,323.53","39,995,282.29","110,681,579.06","194,669,270.56","271,345,871.40","371,126,926.25","106,657,779.94","427,675,731.11","467,394,031.06","318,247,077.23","97,504,538.56","180,534,602.83","268,253,411.18","147,301,101.82","98,645,172.07","171,127,479.31","196,750,362.87","263,648,038.46","98,636,805.54","81,637,498.44","228,300,465.11","167,728,666.41","133,431,824.82","205,660,153.50","385,157,648.71","228,942,956.82"
预付款项,"585,068,986.89","376,251,741.27","661,749,081.30","978,877,777.83","895,524,313.70","791,024,754.35","1,291,678,615.62","1,501,194,832.40","1,750,676,843.36","1,575,610,044.48","1,500,130,850.43","1,778,271,334.22","1,484,670,884.17","1,858,328,873.82","2,002,955,628.65","1,481,590,632.69","1,253,859,829.70","1,211,432,990.98","976,516,703.51","1,519,388,296.25","1,552,080,094.13","1,690,303,674.12","1,412,250,017.23","705,335,782.27","1,166,959,549.49","1,190,542,466.87","991,893,025.79","994,042,379.74","1,736,416,514.46","2,078,204,423.54","1,276,742,438.43","1,465,034,196.45"
预收款项,"223,081,502.95","403,356,329.25","511,072,498.39","439,112,185.23","438,705,618.20","470,365,577.58","509,064,487.30","629,695,531.60","654,462,431.98","1,339,222,790.61","771,791,073.52","781,807,689.95","730,403,328.87","885,271,321.96","677,516,006.50","766,345,746.96","632,322,022.58","666,542,891.30","340,940,747.01","831,637,571.49","476,910,459.70","582,242,893.45","641,246,277.95","308,079,466.20","274,698,988.11","411,279,977.98","478,931,422.73","490,351,580.47","842,858,135.61","1,062,303,404.85","468,916,560.56","658,057,533.73"
其他应收款,"97,301,835.71","146,848,520.54","22,451,011.54","4,652,764.46","7,678,928.70","12,047,420.68","4,908,053.33","12,977,141.37","6,565,324.00","20,167,696.06","23,388,337.71","20,272,857.56","18,456,761.68","36,389,377.09","19,593,268.28","72,397,218.06","10,505,437.65","19,915,437.97","22,062,291.24","37,370,105.50","13,488,734.20","9,509,839.16","63,360,644.35","44,915,547.28","68,939,887.96","71,720,656.49","62,385,859.50","54,654,913.66","47,671,631.69","60,974,843.38","60,692,477.19","96,402,866.44"
应付职工薪酬,"597,572.46","1,522,693.35","1,226,043.87","188,141.07","1,280,255.32","1,179,070.50","2,299,175.64","2,426,690.83","3,339,146.66","2,189,477.91","1,963,501.44","2,116,192.20","3,889,848.60","1,476,375.73","1,510,114.19","1,807,906.55","6,898,569.75","4,212,155.41","2,737,159.34","4,692,454.76","13,176,687.23","2,980,125.79","4,028,927.89","10,901,104.80","27,765,823.86","8,922,582.74","9,060,668.99","8,070,487.82","27,986,421.96","10,807,217.18","14,085,454.31","16,379,511.60"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"17,863,929.93","17,708,493.52","20,094,449.21","28,975,311.02","24,264,080.77","15,380,932.15","25,284,372.97","27,876,936.67","19,361,524.28","14,510,704.64","16,542,274.27","21,970,277.81","37,581,404.14","30,805,218.20","19,520,877.68","43,363,173.97","54,427,114.96","53,182,944.88","40,140,958.86","49,438,892.37","51,227,077.32","52,740,432.52","49,039,169.72","62,160,193.49","65,314,713.29","84,707,296.88","41,238,664.77","46,700,866.90","51,696,583.71","62,212,463.52","58,356,467.99","72,801,958.83"
应收利息,,,,,,,,,"2,121,180.32","2,121,180.32","3,922,044.56","4,133,856.10","2,969,476.44","842,231.98","176,000.00","176,000.00","2,536,944.42",,,,"2,955,674.82",,,,"1,481,920.00","794,420.00",,,"9,475,523.93","8,763,011.15","143,100.00","1,000,000.00"
应付利息,"1,736,876.63","1,885,609.82","1,626,127.53","968,311.66","1,913,244.61","2,124,089.93","1,889,372.44","2,553,555.01","3,819,716.98","1,429,675.47","2,973,807.07","1,245,948.29","3,576,237.83","4,331,336.57","2,834,913.16","1,860,790.57","3,217,908.78","6,280,972.47","2,823,200.04","4,078,674.25","4,221,939.32","1,191,270.99","3,532,945.41","4,464,189.42","2,642,923.26","2,165,263.50","2,020,676.11","2,451,020.96","2,657,857.87","5,184,697.70","3,807,258.78","2,745,795.90"
应收股利,,,,"2,000,000.00","2,000,000.00","2,053,114.47","2,053,114.47",,,"12,909,007.40","5,515,148.79","1,350,000.00",,,"8,355,423.46","1,541,600.00",,"3,000,000.00","3,000,000.00","3,000,000.00",,,,"500,000.00",,,,,,,"6,100,000.00","6,100,000.00"
应付股利,"62,260.00","32,000.00",,,,,"20,916.00","20,916.00","20,916.00","20,916.00","18,475,892.00","20,916.00","20,916.00","20,916.00","755,916.00","14,210,892.00","735,000.00","735,000.00",,"18,454,976.01",,,,"1,811,189.00",,,,,,,,
存货,"559,326,822.23","1,115,829,326.54","826,974,687.05","653,205,944.02","974,224,157.84","1,336,021,269.70","1,140,160,314.74","1,401,755,743.60","1,896,900,733.74","2,758,498,743.16","2,265,020,278.20","2,010,411,933.85","1,821,656,823.59","2,437,217,179.86","1,973,513,516.72","1,705,317,224.87","1,262,159,222.25","1,604,578,545.20","1,470,381,507.32","1,443,602,814.28","1,029,353,828.88","1,105,865,068.18","1,165,589,221.16","1,064,694,148.62","1,126,400,457.81","1,105,237,394.41","1,352,672,231.88","1,202,181,815.13","1,497,983,715.41","1,861,603,795.77","1,968,333,583.76","1,977,874,376.89"
