科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"53,745,888.72","63,701,758.23","82,192,801.09","113,482,646.85","112,011,116.70","349,960,656.32","252,149,032.31","148,647,587.25","146,672,674.33","133,407,069.92","158,569,611.62","96,222,165.31","120,806,448.07","85,720,836.61","105,083,182.36","391,701,773.71","184,341,322.63","164,650,277.49","173,071,770.03","196,498,644.48","194,981,466.38","196,608,848.11","126,864,578.95"
短期借款,"10,000,000.00","26,067,295.00","10,056,800.00",,"48,775,200.00",,,,,,,"15,000,000.00","35,000,000.00","35,246,555.59","53,781,568.13","53,623,105.81","633,132.39","40,033,367.23","35,536.57","20,050,491.50","32,553,560.37","61,613,758.58","216,980,905.23"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"1,500,000.00","7,462,000.00","42,955,000.00","3,972,477.98","47,855,710.04","33,055,710.04","4,020,000.00","5,307,166.46","2,900,000.00","1,500,000.00","4,155,140.00","4,488,028.00","631,910.00","977,200.00","620,000.00","1,616,144.07",,"12,825,291.50","8,507,253.67","15,832,281.78","4,075,000.00","6,681,441.96","2,764,795.94"
应付票据,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"8,088,734.72","22,455,997.83","13,598,161.71","38,458,949.16","48,022,712.48","48,665,240.33","46,072,936.82","38,118,358.88","63,203,769.22","89,980,136.82","90,347,316.30","113,615,017.42","122,505,306.20","132,810,316.25","168,497,563.50","153,544,391.42","202,427,065.96","191,567,267.61","234,800,391.51","256,488,645.55","344,516,522.29","321,813,448.46","379,453,218.81"
应付账款,"10,279,816.49","11,128,453.01","16,718,222.51","11,724,617.16","13,606,959.23","10,515,292.25","43,170,343.94","44,792,823.57","42,336,356.06","34,123,945.03","31,377,810.82","48,109,831.46","38,045,140.54","48,183,582.36","44,495,641.18","43,046,549.98","54,953,772.98","64,437,973.64","59,497,821.33","106,044,850.37","96,772,995.61","95,496,043.90","128,125,860.85"
预付款项,"33,271,719.85","44,895,325.05","102,754,768.57","48,603,276.74","32,680,796.95","33,199,620.25","43,279,356.29","42,038,390.22","39,344,090.16","48,200,848.31","44,432,086.84","52,211,961.76","42,501,663.42","47,545,732.41","53,023,188.24","65,143,183.37","84,526,748.12","62,366,683.40","80,604,210.24","136,005,455.33","106,745,312.14","122,856,725.26","143,342,030.05"
预收款项,"59,082,013.20","88,264,395.63","215,575,875.24","183,216,588.36","167,515,915.59","192,989,979.08","138,494,409.71","145,798,508.04","108,744,932.93","107,901,732.94","86,424,905.47","136,541,495.91","60,146,600.08","74,114,729.72","90,980,185.45","89,490,768.77","55,379,922.52","52,676,419.24","139,755,897.67","164,407,732.18","103,571,947.04","144,587,978.09","140,273,804.11"
其他应收款,"564,374.98","295,083.60","339,195.19","774,642.32","530,003.19","2,394,523.80","1,289,738.90","1,212,448.63","3,996,583.05","3,492,322.34","5,265,374.22","8,575,839.72","7,850,196.02","13,406,415.35","7,993,844.77","6,850,811.04","8,319,715.45","5,082,742.66","8,922,269.07","7,782,280.09","10,682,365.51","13,825,382.48","10,460,781.63"
应付职工薪酬,"2,130,162.93","3,199,235.49","6,219,256.30","5,137,827.82","8,223,707.28","3,954,530.83","6,496,559.86","6,760,672.72","9,165,929.25","5,614,629.31","5,653,583.94","6,748,073.05","11,364,844.81","7,498,143.27","7,562,889.47","7,859,898.10","14,084,791.06","8,672,130.95","8,908,183.22","8,995,439.75","19,078,560.12","11,120,783.23","11,749,298.99"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"4,748,959.32","-1,101,259.77","12,520,431.09","12,502,050.15","5,493,254.05","3,316,266.78","8,694,897.21","2,433,258.25","9,451,986.21","4,958,129.82","5,653,427.98","2,944,621.81","10,373,924.48","3,677,992.43","8,603,526.45","2,685,198.62","24,855,320.55","1,330,578.28","6,711,759.05","2,966,804.31","43,159,907.41","6,928,989.90","8,990,854.51"
应收利息,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,"86,958.90","58,166.67","58,166.67","122,954.86","122,954.86",,,,,"36,250.00","60,970.00","85,690.00"
应收股利,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,"24,763,521.05",,,,,,,,"38,640,574.50",,,,,,,,"52,284,938.50"
存货,"49,102,036.50","74,634,423.00","182,292,018.20","220,494,807.25","257,473,134.42","245,483,512.96","225,501,610.49","248,320,305.60","210,344,276.72","227,915,498.70","231,222,177.20","288,401,089.06","232,384,075.81","269,183,554.61","264,986,582.10","278,746,288.74","236,491,734.13","293,652,961.19","293,702,125.64","367,135,298.12","339,712,686.82","419,126,192.63","476,076,884.02"
其他应付款,"4,833.50",269.10,"16,992.00",,"124,000.00","50,652.06","37,628.91","521,068.75","175,716.40","353,654.43","209,610.63","5,419,601.34","3,515,329.23","2,040,787.35","2,743,235.48","2,722,024.02","4,250,766.20","4,981,504.00","3,195,246.49","1,776,338.40","4,559,742.96","3,326,314.97","4,423,925.26"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,"1,146,579.77","1,156,826.61","1,216,063.74","1,227,628.72","896,023.78","888,616.54","878,705.76"
其他流动资产,,,,,"6,262,486.35","3,727,191.29","130,362,741.48","200,000,000.00","200,000,000.02","144,520,350.64","33,832,442.13","60,960,162.01","9,060,643.53","8,970,499.29","12,744,604.03","12,314,737.74","173,884,093.65","142,533,424.16","152,817,189.62","11,281,891.02","52,441,583.34","16,454,536.94","12,507,997.64"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,"510,716.83",
流动资产合计,"146,272,754.77","213,444,587.71","424,131,944.76","425,786,800.30","504,835,960.13","716,486,454.99","702,675,416.29","683,644,257.04","666,461,393.50","649,016,226.73","567,824,148.31","624,474,263.28","535,740,243.05","558,614,554.52","612,948,965.00","909,917,330.09","889,990,679.94","872,678,648.01","952,425,209.78","991,024,496.37","1,053,154,936.48","1,097,366,575.84","1,151,470,287.04"
流动负债合计,"86,245,785.44","127,558,388.46","261,107,577.14","212,581,083.49","243,739,036.15","210,826,721.00","221,657,360.68","200,306,331.33","169,874,920.85","152,952,091.53","129,319,338.84","214,850,582.47","158,504,005.81","170,819,957.39","246,930,575.52","199,550,500.16","155,304,285.47","173,288,799.95","219,320,508.07","305,469,285.23","300,628,987.29","324,534,172.04","563,793,983.21"
可供出售金融资产,,,,,,,,"1,542,375.00","1,542,375.00","1,542,375.00","1,542,375.00","1,542,375.00","1,542,375.00","1,542,375.00","1,542,375.00","1,542,375.00","1,542,375.00","1,542,375.00","1,542,375.00","4,102,375.00","4,102,375.00","4,102,375.00","22,102,375.00"
长期借款,,,,,,,,,,,,,,"4,245,717.86","15,500,000.00","15,500,000.00","1,722,876.95","1,292,625.78","1,055,446.23","1,157,908.77","943,681.16","6,521,242.73","7,973,365.98"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,"1,542,375.00",,,,,,,,,,,,,,,,
专项应付款,,,,,,"1,330,000.00",,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,"2,307,185.16","2,265,151.41","2,223,117.66","2,181,083.91","5,018,059.56","4,934,436.39","4,850,813.22","4,767,190.05","4,699,799.20","4,620,234.10","4,540,669.00","4,461,103.90","2,546,460.75","2,546,460.75","2,476,068.47"
预计负债,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"18,673,567.46","24,725,782.69","31,521,673.10","30,305,040.24","29,422,375.47","33,446,412.54","78,857,746.13","81,230,257.01","94,587,152.33","107,982,419.31","110,490,606.78","137,590,315.85","135,929,588.02","135,750,667.04","132,626,429.82","233,473,006.41","253,360,441.06","235,995,129.23","242,152,597.90","238,953,609.73","237,269,021.67","257,204,866.41","260,498,962.53"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,
在建工程,,"13,369,802.47","17,379,012.27","18,058,912.27","18,506,163.07","18,506,163.07",,"442,270.00","1,510,192.70","2,236,130.70","2,236,130.70","33,573,755.64","102,406,427.13","106,968,896.48","111,833,689.42","13,711,046.71","8,733,994.25","10,676,876.86","4,049,669.64","5,511,509.99","24,497,711.90","10,647,657.99","9,428,858.14"
其他非流动负债,"5,710,000.00","3,350,000.00","1,540,000.00","1,435,000.00","1,330,000.00",,"1,225,000.00","1,172,500.00",,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"5,710,000.00","3,350,000.00","1,540,000.00","1,435,000.00","1,330,000.00","1,330,000.00","1,225,000.00","1,172,500.00","1,120,000.00","1,067,500.00","1,015,000.00","6,249,000.12","8,393,000.13","12,582,114.63","23,427,482.67","23,018,568.56","8,832,531.41","7,993,366.14","7,347,272.49","7,208,476.93","6,417,679.22","11,586,326.69","12,629,535.84"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"91,955,785.44","130,908,388.46","262,647,577.14","214,016,083.49","245,069,036.15","212,156,721.00","222,882,360.68","201,478,831.33","170,994,920.85","154,019,591.53","130,334,338.84","221,099,582.59","166,897,005.94","183,402,072.02","270,358,058.19","222,569,068.72","164,136,816.88","181,282,166.09","226,667,780.56","312,677,762.16","307,046,666.51","336,120,498.73","576,423,519.05"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"46,000,000.00","46,000,000.00","46,000,000.00","46,000,000.00","46,000,000.00","53,236,988.00","53,236,988.00","53,236,988.00","53,236,988.00","53,236,988.00","117,121,373.00","117,121,373.00","117,121,373.00","117,121,373.00","117,121,373.00","125,090,014.00","125,163,588.00","125,173,490.00","125,176,490.00","312,941,225.00","313,231,454.00","313,418,807.00","564,153,852.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"2,320,102.49","2,320,102.49","2,320,102.49","2,320,102.49","2,320,102.49","226,190,932.79","237,294,852.48","237,294,852.48","237,294,852.48","237,294,852.48","173,410,467.48","173,410,467.48","173,410,467.48","173,410,467.48","175,690,663.48","504,871,866.88","507,546,906.72","508,301,599.04","510,199,692.31","323,701,944.48","329,040,197.59","332,589,469.19","85,190,714.05"
无形资产,"8,666,805.52","8,487,805.72","8,408,213.45","8,307,354.17","8,363,167.32","8,304,191.91","23,158,602.04","23,002,541.80","22,882,874.48","33,946,620.11","33,713,640.98","38,247,502.60","38,146,577.01","38,734,187.28","38,627,668.26","39,588,766.95","38,584,916.99","27,662,543.20","27,504,072.55","27,303,773.14","27,258,201.81","26,995,209.30","26,983,636.16"
