科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
其他应收款,"341,390,835.00","431,281,927.00","375,456,909.00","186,992,162.00","213,257,050.00","207,184,376.00","233,669,168.00","200,183,574.00","213,986,781.00","196,427,157.00","223,080,604.00","319,028,324.00","394,982,204.00","243,694,948.00","374,754,121.00","352,345,215.00","440,176,970.00","4,373,548,289.00","4,898,452,344.00","1,180,293,808.00","1,245,098,805.00","609,232,481.00","750,683,373.00","654,635,959.00","652,873,491.00","417,132,861.00","496,657,010.00","407,559,591.00","522,477,861.00","605,253,396.00","500,030,718.00","517,938,896.00","625,882,256.00","988,272,284.00","1,099,513,253.00","763,104,522.00","818,425,507.00","774,478,423.00","856,060,834.00","738,835,434.00","3,267,038,107.00","747,463,114.00","2,893,961,467.00","2,932,018,832.00","3,059,060,394.00","3,348,604,005.00"
应付职工薪酬,"74,515,522.00","91,448,246.00","81,981,664.00","134,272,534.00","95,718,169.00","45,111,511.00","48,095,813.00","129,806,082.00","35,519,211.00","37,795,487.00","42,444,566.00","195,765,047.00","24,895,589.00","34,709,378.00","38,381,101.00","278,387,413.00","29,055,790.00","41,008,050.00","53,372,726.00","430,788,549.00","34,635,689.00","51,300,415.00","94,270,723.00","505,092,962.00","115,905,612.00","95,785,846.00","135,604,264.00","562,940,597.00","72,315,838.00","75,382,913.00","87,827,962.00","523,593,185.00","77,687,196.00","87,051,961.00","66,395,869.00","582,762,431.00","64,129,242.00","77,992,969.00","97,900,605.00","724,510,019.00","95,073,795.00","105,272,868.00","370,758,097.00","1,030,652,032.00","199,650,321.00","354,588,540.00"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"391,999,330.00","365,277,513.00","488,653,330.00","594,617,350.00","368,720,683.00","314,523,541.00","332,275,719.00","445,305,480.00","363,754,395.00","315,063,239.00","401,345,099.00","499,965,426.00","474,395,545.00","479,406,585.00","622,574,499.00","1,141,481,444.00","1,124,407,782.00","1,402,466,909.00","1,711,384,960.00","2,021,231,099.00","1,262,390,527.00","721,603,997.00","1,143,233,714.00","903,666,674.00","729,943,237.00","706,339,347.00","1,121,047,566.00","1,322,953,128.00","1,060,647,950.00","1,082,586,504.00","854,764,733.00","984,172,185.00","701,196,172.00","988,247,361.00","674,762,462.00","972,212,186.00","867,593,568.00","1,180,811,777.00","1,341,696,214.00","1,513,089,962.00","1,502,195,139.00","2,083,383,981.00","1,865,254,083.00","3,515,082,900.00","2,627,296,587.00","3,252,874,803.00"
应收利息,,,,,,"3,534,584.00",,,,,,,,,,,,"7,770,719.00","32,401,199.00","34,756,849.00","50,650,749.00","1,683,733.00","4,346,605.00","1,652,145.00","2,065,180.00","3,274,011.00","20,227,061.00","52,403,133.00","62,532,762.00","88,912,289.00","68,773,963.00","53,542,491.00","81,578,985.00","138,692,124.00","101,394,085.00","46,606,434.00","90,310,712.00","48,094,908.00","52,147,802.00","114,888,462.00","91,495,886.00","135,965,137.00","199,962,705.00","158,913,131.00","223,414,511.00",
应付利息,"21,764,113.00","32,117,360.00","9,159,020.00","24,631,385.00","35,151,638.00","40,979,483.00","18,964,409.00","24,580,408.00","32,853,245.00","40,492,201.00","8,813,037.00","17,241,105.00","61,506,094.00","119,844,683.00","147,895,379.00","26,975,946.00","87,278,434.00","211,498,033.00","343,882,985.00","321,262,926.00","505,232,006.00","220,319,432.00","373,081,784.00","373,905,161.00","599,563,558.00","326,275,856.00","527,340,295.00","372,567,729.00","593,102,628.00","289,727,733.00","459,490,352.00","350,511,633.00","557,185,552.00","276,286,844.00","461,734,740.00","346,408,998.00","543,057,801.00","226,948,328.00","330,014,038.00","131,609,050.00","238,411,197.00","218,451,565.00","322,546,071.00","118,391,286.00","190,698,538.00",
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,"43,460,887.00","20,707,808.00","20,707,808.00",,"20,707,808.00",,,,,,,,,,,,,,,,
应付股利,,"124,496,000.00",,,,,,"50,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,"200,000,000.00","200,000,000.00","200,000,000.00","401,207,600.00","153,765,500.00","153,765,500.00",,,"100,000,000.00","100,000,000.00","50,039,249.00","258,065,295.00","258,065,295.00",,
存货,"1,470,290,488.00","1,540,935,595.00","1,573,950,335.00","1,562,551,885.00","1,847,846,421.00","2,132,342,723.00","2,799,650,720.00","1,870,366,227.00","2,064,039,843.00","2,238,799,733.00","2,032,230,957.00","2,172,190,986.00","2,807,900,793.00","3,124,062,705.00","3,066,393,927.00","2,493,128,042.00","3,768,703,227.00","3,819,456,890.00","4,065,865,839.00","4,378,423,731.00","5,029,141,127.00","4,822,318,439.00","4,341,507,364.00","4,038,537,613.00","4,109,933,522.00","4,053,920,848.00","3,679,685,456.00","3,692,689,510.00","4,991,350,495.00","4,783,904,103.00","4,586,126,988.00","4,375,976,175.00","5,206,864,161.00","5,098,755,013.00","4,416,612,557.00","4,238,039,415.00","4,000,721,985.00","4,181,176,707.00","3,992,924,750.00","4,548,533,840.00","4,551,709,197.00","5,449,227,060.00","5,020,041,482.00","4,705,200,427.00","5,610,527,819.00","5,527,849,905.00"
其他应付款,"625,749,197.00","1,438,941,268.00","1,585,232,915.00","1,555,244,246.00","1,507,692,750.00","1,462,444,704.00","1,504,968,994.00","1,704,029,537.00","1,604,607,985.00","1,654,165,192.00","1,782,079,319.00","2,329,226,871.00","2,326,683,815.00","2,603,092,360.00","2,688,839,289.00","3,611,393,654.00","3,310,674,719.00","3,859,066,941.00","4,061,126,487.00","4,913,395,369.00","4,054,303,807.00","4,119,534,261.00","4,118,831,616.00","3,831,116,154.00","3,413,943,473.00","3,572,789,110.00","3,871,744,993.00","4,187,384,813.00","4,417,854,166.00","4,665,866,806.00","4,330,735,777.00","4,890,371,259.00","4,671,652,419.00","6,592,886,300.00","5,444,890,639.00","4,636,217,812.00","4,375,456,540.00","4,567,208,322.00","4,242,392,454.00","4,112,963,051.00","3,683,851,054.00","3,579,616,894.00","3,362,731,419.00","3,441,931,233.00","3,264,203,394.00","3,397,393,741.00"
