科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"318,044,007.16","432,764,801.89","640,962,980.46","256,815,588.37","391,538,036.82","688,274,096.14","142,332,111.06","340,784,605.04","530,609,191.37","913,327,776.11","158,175,220.14","389,962,158.22","612,021,734.49","1,047,307,724.83","176,712,146.72","435,477,213.88","706,247,040.75","1,301,563,512.24","221,227,505.47","535,461,969.69","871,767,642.29","1,778,667,133.75","260,268,107.65","560,356,866.24","1,000,232,739.33","1,929,837,174.55","419,960,292.66","825,752,711.43","1,494,484,187.75","2,562,354,386.33","576,680,364.47"
取得子公司及其他营业单位支付的现金净额,"12,610,768.65","2,165,958.51",,,,"77,645,429.42","28,856,000.00","28,856,000.00","58,074,957.88","29,096,626.74",,,,,"40,297,906.68","60,892,375.31","63,892,375.31","129,086,365.93","25,000,000.00","48,797,702.57","125,989,459.46","66,996,215.11","46,585,441.92","201,646,685.25","274,400,255.47","308,551,101.39","6,000,000.00","86,917,416.90","93,252,615.20","93,947,343.76","5,950,388.10"
收到的税费返还,"27,252,449.62","29,777,744.39","29,934,603.42","5,777,289.22","15,893,315.20","29,071,107.07","7,302,158.03","17,928,421.46","25,329,567.51","42,451,836.25","11,242,480.95","27,155,923.07","42,136,421.06","47,812,027.02","3,020,611.04","11,419,910.10","29,711,650.59","42,975,950.42","17,662,090.29","29,526,928.30","45,839,035.63","69,903,708.07","19,305,951.56","33,257,675.03","53,363,936.16","93,805,755.77","21,984,821.81","43,059,639.18","58,224,878.64","84,375,714.35","50,771,074.63"
支付其他与投资活动有关的现金,,,,"9,700,000.00",,,,,,,,,,,,,,"43,000,000.00",,,,"30,000,000.00",,,,"1,251,500.00","18,000,000.00","89,000,000.00","99,000,000.00","32,388,720.85","250,285,900.00"
收到其他与经营活动有关的现金,"26,303,652.83","34,783,129.44","39,727,692.24","21,178,619.62","23,948,595.91","82,626,812.90","16,510,899.11","37,023,657.43","59,903,465.35","104,744,345.38","15,208,838.34","38,586,349.52","55,944,792.46","77,001,183.35","19,114,899.60","43,001,562.00","76,127,007.70","87,345,691.40","31,701,495.08","72,750,415.89","98,626,766.91","80,297,585.46","47,341,311.41","93,823,374.58","130,837,086.66","99,927,279.86","53,119,681.63","99,383,676.25","247,140,760.76","134,466,645.25","115,543,871.97"
投资活动现金流出小计,"62,924,563.17","26,737,817.47","19,037,675.45","15,607,977.95","33,521,240.23","136,987,231.34","48,186,003.24","69,759,804.23","106,992,185.85","162,393,760.33","4,079,058.53","81,052,665.42","110,623,572.26","195,294,822.83","53,277,586.30","165,770,554.94","192,672,718.02","285,621,453.86","64,460,112.66","125,749,660.00","231,688,214.95","392,303,789.74","94,196,830.14","410,692,961.96","439,703,248.33","536,112,896.40","52,697,680.23","241,965,511.35","362,013,959.97","367,576,556.82","348,088,829.25"
经营活动现金流入小计,"371,600,109.61","497,325,675.72","710,625,276.12","283,771,497.21","431,379,947.93","799,972,016.11","166,145,168.20","395,736,683.93","615,842,224.23","1,060,523,957.74","184,626,539.43","455,704,430.81","710,102,948.01","1,172,120,935.20","198,847,657.36","489,898,685.98","812,085,699.04","1,431,885,154.06","270,591,090.84","637,739,313.88","1,016,233,444.83","1,928,868,427.28","326,915,370.62","687,437,915.85","1,184,433,762.15","2,123,570,210.18","495,064,796.10","968,196,026.86","1,799,849,827.15","2,781,196,745.93","742,995,311.07"
投资活动产生的现金流量净额,"-62,590,509.90","-26,017,070.83","-18,539,472.40","-14,682,092.19","-21,977,169.18","-132,384,583.18","-47,228,699.31","-57,175,946.31","-92,983,545.73","-161,756,538.74","-3,487,108.39","-81,038,921.50","-110,609,328.34","-194,109,349.92","-37,669,702.70","-139,969,969.04","-166,751,162.12","-204,933,867.54","-64,456,432.40","-125,167,141.50","-226,634,277.74","-390,208,578.29","-64,158,230.14","-380,433,739.02","-408,419,533.91","-497,338,383.92","3,647,554.61","-174,497,592.91","-274,022,579.75","-298,222,762.04","-261,011,787.54"
购买商品、接受劳务支付的现金,"230,513,130.42","273,803,321.60","384,497,246.58","198,019,988.58","302,786,760.62","477,300,418.11","89,492,544.45","186,045,022.67","286,138,381.34","465,092,783.13","103,525,458.89","213,888,808.27","345,063,635.13","578,314,193.92","124,409,080.33","261,702,102.24","406,858,452.58","705,142,344.47","141,201,524.77","286,526,284.09","481,357,415.54","899,105,804.96","241,168,218.26","410,915,169.58","649,573,024.92","1,022,941,956.57","342,921,971.89","569,884,422.43","889,652,364.28","1,402,520,316.72","307,596,984.85"
吸收投资收到的现金,,"160,000,000.00",,"850,000,000.00","852,250,000.00","852,250,000.00",,,,,,,"2,625,000.00","2,625,000.00",,"875,000.00","30,991,300.00","57,235,050.00",,,"11,364,280.00","11,364,280.00",,,"1,000,000.00","7,231,645.00","78,710,000.00","4,575,000.00","4,575,000.00","6,175,095.00",
