科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"113,896,223.55","171,146,461.96","48,505,938.28","259,394,352.50","61,219,133.19","170,674,464.35","269,060,682.14","363,076,196.87","139,178,346.99","268,435,375.50","398,163,267.38","820,980,693.54","295,161,145.13","989,451,698.97","1,873,515,042.88","3,215,137,346.36","1,594,925,285.72","2,674,949,603.35","5,341,558,885.61","8,410,429,475.88","2,724,262,566.00","7,992,027,893.64","13,641,252,418.92","19,211,166,073.21","4,544,232,183.55","9,158,954,714.20","13,881,458,269.23","19,078,564,965.00","5,420,853,574.91","11,141,067,304.05","19,348,178,771.28","22,838,081,460.95","6,574,668,437.34","13,510,514,639.01","23,196,660,067.81"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,"8,422,412.28","8,422,412.28","8,422,412.28","8,422,412.28",,,,,,,,"434,639,808.06",,,"165,154,588.43","188,172,113.59",,"1,325,970,643.90","1,456,713,481.53"
收到的税费返还,"500,000.00","408,470.43","100,042.63","481,858.64","2,144,132.53","571,936.22","571,936.22","580,495.02","545,756.70","1,462,160.94","6,865,358.67","8,837,178.93","4,433,683.39","11,658,411.76","12,705,231.64","12,982,697.98","334,988.63","2,180,374.31","3,450,595.86","13,026,519.75","21,029,106.52","73,265,924.35","146,847,217.01","148,203,926.79","51,689,499.47","117,586,870.61","280,682,933.44","341,763,109.83","125,907,606.40","215,003,598.50","391,699,941.91","607,095,614.24","280,014,024.56","489,302,114.92","717,846,033.68"
支付其他与投资活动有关的现金,"2,765,454.42",,,,,,,,,,,,,,,,,,"185,106,000.00",,,,,,,,,,,"550,000.00","1,190,219.90",,48.20,48.20,48.20
收到其他与经营活动有关的现金,"2,008,750.33","7,266,119.56","466,364.83","3,240,043.51","263,179.53","1,846,661.93","2,375,003.63","14,614,629.99","10,516,134.55","4,361,251.18","6,400,638.73","32,816,725.82","9,369,844.91","2,684,421.41","6,752,796.45","110,491,129.67","5,727,979.07","14,989,056.46","39,539,132.50","59,771,818.88","31,239,275.89","78,511,454.61","156,611,529.24","201,644,882.85","23,296,618.08","99,600,224.71","146,069,743.53","150,708,959.36","60,307,824.10","99,447,815.45","135,345,471.02","179,031,313.21","48,131,808.66","90,096,472.78","150,313,488.04"
投资活动现金流出小计,"107,620,245.18","71,983,806.60","5,086,237.72","47,758,978.01","15,860,096.12","51,834,530.81","178,110,070.93","419,884,692.96","110,374,705.37","252,158,526.38","325,276,747.38","427,488,839.26","52,220,256.71","349,789,037.88","370,038,673.07","862,624,054.87","228,750,825.73","1,024,178,625.21","1,524,171,908.94","2,738,154,408.98","383,006,186.72","795,716,049.44","1,733,070,239.37","4,251,337,379.11","1,015,992,356.12","2,590,412,358.82","4,297,946,468.47","5,187,228,281.20","1,691,996,521.78","3,241,096,502.72","5,678,542,872.48","8,001,054,046.90","3,522,062,331.68","6,679,900,174.87","8,014,929,609.34"
经营活动现金流入小计,"116,404,973.88","178,821,051.95","49,072,345.74","263,116,254.65","63,626,445.25","173,093,062.50","272,007,621.99","378,271,321.88","150,240,238.24","274,258,787.62","411,429,264.78","862,634,598.29","308,964,673.43","1,003,794,532.14","1,892,973,070.97","3,338,611,174.01","1,600,988,253.42","2,692,119,034.12","5,384,548,613.97","8,483,227,814.51","2,776,530,948.41","8,143,805,272.60","13,944,711,165.17","19,561,014,882.85","4,619,218,301.10","9,376,141,809.52","14,308,210,946.20","19,571,037,034.19","5,607,069,005.41","11,455,518,718.00","19,875,224,184.21","23,624,208,388.40","6,902,814,270.56","14,089,913,226.71","24,064,819,589.53"
投资活动产生的现金流量净额,"-107,620,245.18","-71,983,806.60","-5,086,237.72","-47,758,978.01","-15,860,096.12","-51,824,530.81","-178,098,970.93","-419,873,592.96","-110,374,205.37","-252,158,026.38","-325,266,247.38","-427,478,339.26","-52,068,256.71","-349,447,756.49","-369,244,638.57","-861,799,820.37","-228,750,825.73","-1,024,174,427.69","-1,524,120,119.20","-1,831,829,532.01","-222,582,927.86","-494,286,025.09","-1,431,592,615.02","-1,395,658,186.13","-92,853,018.77","-356,057,794.56","-1,112,320,123.55","-1,271,626,725.53","-605,860,247.80","-1,587,421,696.36","-2,703,575,564.93","-3,414,314,176.37","-628,986,014.37","-2,665,625,550.78","-3,472,034,520.51"
购买商品、接受劳务支付的现金,"33,676,061.98","75,832,114.27","36,506,369.26","139,687,514.34","53,588,561.38","97,761,474.17","176,332,895.15","299,030,745.59","171,999,510.40","308,420,462.46","447,258,206.50","706,372,441.05","299,452,783.94","659,153,449.89","1,328,360,748.72","2,248,866,817.56","953,997,957.36","2,155,320,133.21","4,027,242,208.91","6,079,868,367.70","2,546,141,827.47","7,754,432,533.58","12,627,717,588.72","16,918,967,382.08","3,880,825,361.44","8,010,798,150.83","11,871,031,180.05","16,010,106,268.63","4,302,091,549.40","9,620,069,043.96","17,234,993,807.61","19,671,728,137.97","6,448,836,397.12","13,033,693,402.07","21,733,553,132.92"
吸收投资收到的现金,"4,500,000.00",,,,,,"678,000,000.00","678,000,000.00",,,,,,,,,"1,454,980,600.00","1,454,980,600.00","1,454,980,600.00","1,454,980,600.00",,,"1,961,985,840.00","1,961,985,840.00",,,,,"250,000,000.00",,"271,177,500.00","1,619,556,880.50","2,000,000.00","-1,063,750.00","-2,689,850.00"
