科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"153,924,653.34","327,801,041.96","460,784,517.28","285,787,033.30","430,577,407.05","592,681,154.38","306,903,700.93","533,831,445.22","859,796,050.40","1,234,959,847.47","261,536,518.24","514,340,810.25","741,675,296.38","1,056,219,564.64","344,460,962.79","645,593,733.01","890,235,429.65","1,263,305,203.33","331,070,006.08","658,652,193.72","984,267,028.92","1,365,135,531.31","330,154,924.12","677,585,561.74","968,695,642.28","1,459,471,108.63","487,220,616.50","1,082,503,291.05","1,562,921,775.30","2,295,604,231.96","648,690,865.39","1,543,474,795.04","2,401,820,699.91","3,141,996,008.23","707,464,982.24"
取得子公司及其他营业单位支付的现金净额,"573,128.58","6,381,000.00","575,613.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"3,517,493.82","4,589,175.58","41,469,661.49","10,252,235.73","18,322,919.20","19,228,235.57","9,203,966.05","19,050,560.35","25,774,232.86","25,713,272.86","21,725,699.46","41,701,299.24","52,162,150.88","57,017,940.35","4,369,188.90","16,253,557.49","32,995,020.24","39,918,748.47","9,638,471.23","12,802,242.25","17,101,073.00","26,695,998.48","10,388,379.81","16,119,994.90","21,274,392.64","33,785,444.24","11,962,578.77","14,032,357.01","19,019,843.26","30,249,077.20","23,769,439.17","34,961,751.33","41,887,477.37","53,777,802.78","44,428,289.78"
支付其他与投资活动有关的现金,,,,,"1,635.00",,,,,,,,,,,,,,,,,,,"1,000,000.00",,,,"200,000,000.00","204,948,637.27",,,,,,
收到其他与经营活动有关的现金,"7,661,802.32","16,889,099.66","35,560,395.80","5,396,269.28","11,157,588.67","21,591,814.48","4,999,362.60","8,828,647.27","33,545,181.16","30,915,320.03","15,684,026.85","23,986,509.67","33,297,361.08","43,266,565.20","3,843,775.90","10,088,259.54","29,500,329.16","44,494,499.61","1,837,942.36","9,849,705.77","18,159,372.80","26,182,336.39","4,666,598.70","20,379,247.50","30,281,090.02","25,710,361.44","6,628,294.41","25,222,467.38","43,680,227.35","54,884,462.95","12,736,490.44","15,092,594.63","63,656,240.17","162,597,065.65","7,363,770.06"
投资活动现金流出小计,"13,781,487.60","37,154,038.37","73,345,408.22","46,161,946.76","74,514,747.89","102,674,622.94","57,891,960.61","86,150,603.54","162,287,729.93","181,718,739.42","48,632,125.81","80,236,935.16","109,419,651.92","134,546,223.93","16,466,798.82","34,619,072.76","63,578,800.68","76,612,916.94","9,796,312.30","21,080,866.80","29,673,311.85","36,623,455.37","4,298,590.62","16,916,878.46","39,614,454.30","76,094,039.45","18,778,750.88","253,958,334.08","280,618,329.71","336,550,604.38","20,665,077.36","152,894,699.64","276,229,665.34","341,036,312.16","23,748,693.94"
经营活动现金流入小计,"165,103,949.48","349,279,317.20","537,814,574.57","301,435,538.31","460,057,914.92","633,501,204.43","321,107,029.58","561,710,652.84","919,115,464.42","1,291,588,440.36","298,946,244.55","580,028,619.16","827,134,808.34","1,156,504,070.19","352,673,927.59","671,935,550.04","952,730,779.05","1,347,718,451.41","342,546,419.67","681,304,141.74","1,019,527,474.72","1,418,013,866.18","345,209,902.63","714,084,804.14","1,020,251,124.94","1,518,966,914.31","505,811,489.68","1,121,758,115.44","1,625,621,845.91","2,380,737,772.11","685,196,795.00","1,593,529,141.00","2,507,364,417.45","3,358,370,876.66","759,257,042.08"
投资活动产生的现金流量净额,"-13,726,704.40","-35,654,038.37","-73,001,313.32","-46,149,446.76","-74,502,247.89","-102,663,757.94","-57,891,960.61","-86,140,963.54","-162,265,089.93","-181,510,732.02","-48,632,125.81","-80,347,272.89","-109,335,423.65","-134,429,437.93","-16,466,798.82","-34,618,072.76","-63,564,057.88","-76,590,484.14","-9,713,579.10","-20,946,787.60","-29,158,516.40","-36,038,794.92","-4,255,590.62","-16,841,458.46","-38,500,374.22","-74,960,759.37","-18,770,770.88","-253,050,778.74","-124,981,786.78","-98,358,544.67","-20,645,077.36","-147,590,742.65","-208,506,339.99","-158,914,685.72","-23,662,982.18"
购买商品、接受劳务支付的现金,"158,817,128.51","288,187,862.80","432,709,969.27","224,973,570.18","323,492,515.35","748,403,266.87","262,508,156.64","433,592,583.59","603,511,735.36","1,104,485,489.38","276,503,339.18","560,462,472.33","795,530,991.05","1,120,891,026.76","331,150,696.32","595,087,578.33","769,518,562.89","1,241,921,709.23","250,985,956.22","468,371,732.74","556,343,440.27","1,015,702,610.02","310,998,300.43","590,875,430.14","733,720,048.00","1,420,889,203.63","336,422,330.40","740,630,808.10","1,132,753,322.19","2,435,142,940.73","532,441,742.19","1,158,599,732.82","1,686,945,131.04","3,212,958,334.22","566,311,006.01"
吸收投资收到的现金,"23,163,623.35",,"62,704,255.82",,,"654,400,000.00",,"2,450,000.00","2,450,000.00",,,,,,,,,,,,,,,"5,500,000.00","10,000,000.00","354,149,400.00",,"21,429,215.28","22,029,215.28","25,429,215.28","400,000.00","400,000.00","400,000.00","400,000.00",
