科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"1,495,497,429.83","1,721,506,648.46","1,703,381,160.07","1,375,393,806.20","1,945,858,725.25","384,075,116.13","935,911,275.16","1,614,089,481.87","2,337,278,837.16","573,527,042.36","1,371,670,408.89","2,053,164,120.42","2,787,594,774.08","542,723,198.71","1,220,911,578.55","2,038,308,172.65","3,016,019,967.44","539,799,553.27","1,382,073,821.23","2,215,843,489.67","3,189,183,407.30","581,247,360.65","1,675,244,435.16","2,566,029,855.03","3,470,950,251.50","628,319,411.69","1,417,433,377.92","2,329,736,223.70","3,364,068,493.35","623,237,006.32","1,549,171,467.09","2,553,031,985.93","3,957,861,367.71"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,"10,000,000.00","6,862,029.10","6,862,029.10","70,933,029.10","71,071,000.00","5,950,520.95","6,355,189.78","11,800,889.78",
收到的税费返还,"4,086,000.00","7,089,291.22","6,898,083.72",,,,,,"5,314,000.00",,,,"4,024,000.00",,,,"3,106,000.00",,,,"3,900,000.00",,,,"3,419,890.14",,,,"5,335,323.63",,"65,050.35","203,049.06",
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,"20,000,000.00",,"238,020,000.00",,"19,000,000.00",,"324,600,000.00",,,,"394,760,000.00","594,760,000.00","27,224.40",,,,
收到其他与经营活动有关的现金,"2,262,909.73","18,622,364.63","21,259,352.36","35,216,638.88","38,726,737.02","18,221,157.95","11,983,602.75","6,260,173.10","15,887,916.55","7,670,952.47","10,296,344.11","18,413,073.26","24,736,440.46","17,289,979.30","20,752,673.16","28,505,969.92","47,683,336.52","33,730,223.78","37,156,233.67","38,622,985.64","67,846,655.20","4,896,612.10","11,555,397.66","46,365,367.67","54,827,573.54","10,726,680.59","18,939,065.21","38,221,346.20","52,167,165.99","17,567,648.12","33,095,586.05","50,685,572.58","67,755,887.92"
投资活动现金流出小计,"48,576,978.86","80,216,595.85","118,761,859.99","60,833,052.91","78,636,700.40","41,428,556.63","51,073,386.15","66,346,182.30","87,223,777.42","21,706,650.62","39,434,993.07","79,748,410.47","73,427,376.03","13,670,602.88","31,988,327.67","50,519,217.88","157,210,437.76","8,306,626.17","262,063,314.79","36,328,122.81","62,055,517.40","16,576,921.19","354,524,359.58","55,924,541.28","70,646,623.61","23,981,280.64","457,698,208.06","745,830,999.52","193,935,029.14","42,361,193.08","122,094,402.29","199,370,210.62","256,844,799.16"
经营活动现金流入小计,"1,501,846,339.56","1,747,218,304.31","1,731,538,596.15","1,410,610,445.08","1,984,585,462.27","402,296,274.08","947,894,877.91","1,620,349,654.97","2,358,480,753.71","581,197,994.83","1,381,966,753.00","2,071,577,193.68","2,816,355,214.54","560,013,178.01","1,241,664,251.71","2,066,814,142.57","3,066,809,303.96","573,529,777.05","1,419,230,054.90","2,254,466,475.31","3,260,930,062.50","586,143,972.75","1,686,799,832.82","2,612,395,222.70","3,529,197,715.18","639,046,092.28","1,436,372,443.13","2,367,957,569.90","3,421,570,982.97","640,804,654.44","1,582,332,103.49","2,603,920,607.57","4,025,617,255.63"
投资活动产生的现金流量净额,"-45,805,247.71","-76,335,308.75","-104,030,706.48","-60,250,178.31","-77,313,621.29","-40,682,294.63","-50,014,189.15","-64,880,079.70","-85,431,588.32","-21,360,423.82","-39,332,304.02","-79,716,622.52","-73,211,208.08","-13,659,178.28","-32,337,523.07","-51,106,336.88","-158,056,262.66","11,291,161.03","-241,815,703.04","-15,965,359.26","-41,803,834.85","2,509,924.26","-335,243,212.62","-37,325,127.68","-52,264,276.81","-23,932,360.59","-457,439,786.01","-350,858,695.77","-193,230,976.44","-37,347,393.08","-116,993,902.29","-193,600,571.62","-247,072,176.07"
购买商品、接受劳务支付的现金,"1,338,034,977.62","1,475,155,668.12","1,378,599,915.92","1,356,023,673.00","1,874,180,641.24","614,771,847.75","1,137,408,849.66","1,923,139,438.46","2,601,662,453.77","510,779,298.31","1,125,926,622.75","1,741,903,238.91","2,319,818,637.37","575,086,524.91","1,218,107,955.00","1,925,854,165.43","2,614,402,879.09","645,617,103.05","1,320,147,947.78","2,136,153,914.00","2,790,120,539.73","689,376,946.25","1,417,836,768.77","2,152,733,539.69","2,848,740,486.61","451,865,809.80","1,135,755,241.67","1,813,581,320.97","2,554,873,936.76","703,500,035.61","1,517,897,655.27","2,581,703,454.11","3,635,528,747.66"
吸收投资收到的现金,"39,800,000.00","35,200,000.00","1,900,000.00","4,060,000.00","1,109,580,000.00","27,600,000.00","50,600,000.00","50,600,000.00","50,600,000.00","32,200,000.00","42,200,000.00","97,400,000.00","92,400,000.00",,,"7,301,385.11","7,301,385.11",,,,"36,926,976.00",,,,"12,250,000.00",,,"34,944,986.00","59,014,986.00",,"7,102,386.00","7,852,386.00","8,682,386.00"
支付给职工以及为职工支付的现金,"23,694,667.29","34,249,314.91","45,953,136.36","31,433,949.51","45,340,386.97","16,890,503.30","34,231,412.99","51,166,464.92","70,036,483.45","23,137,316.63","41,538,438.04","61,208,415.24","87,276,739.69","31,250,820.22","54,198,239.70","77,774,910.15","103,333,264.04","32,031,705.83","58,332,117.37","85,592,812.30","114,258,046.87","38,190,286.37","68,130,482.25","101,609,572.77","132,825,769.95","44,966,908.22","80,470,920.43","119,251,375.12","156,564,866.03","51,065,585.15","93,841,186.08","137,604,844.86","197,775,073.39"
取得借款收到的现金,"150,000,000.00","300,000,000.00","130,000,000.00","250,000,000.00","270,000,000.00",,"20,000,000.00","79,590,000.00","157,120,000.00",,,,,,,,"10,000,000.00","30,000,000.00","20,000,000.00","61,920,000.00","81,920,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00",,,,,,,,
支付的各项税费,"42,916,746.82","60,311,332.89","59,891,880.08","35,135,735.96","46,690,144.63","19,537,676.79","39,689,927.06","55,274,664.06","75,341,783.13","18,008,361.45","39,940,533.58","55,170,219.95","68,413,732.46","19,412,503.54","36,294,906.56","55,454,521.40","84,323,768.13","19,269,920.64","45,669,589.65","65,434,518.27","100,477,474.04","37,486,703.54","57,680,795.62","82,531,463.66","128,676,929.88","56,461,325.19","80,219,567.54","126,000,565.78","178,078,274.66","36,686,850.00","66,103,371.38","103,701,056.19","142,175,463.27"
收到其他与筹资活动有关的现金,"8,200,000.00","500,000.00","76,153,465.00",,"4,734,500.00",,,,,,,,,,,,,,,"36,926,976.00",,,,,,,,,,,,,
支付其他与经营活动有关的现金,"48,658,852.73","66,471,319.50","75,288,193.29","52,160,912.42","71,798,525.33","42,632,515.48","55,379,497.73","85,021,686.14","110,286,221.26","27,297,900.69","48,118,513.64","76,962,761.02","112,611,285.64","29,608,852.61","56,838,867.32","84,988,128.30","129,442,823.40","38,551,209.48","55,766,323.66","96,111,024.70","144,804,443.07","37,894,468.02","81,551,411.22","160,344,964.17","212,135,248.63","50,896,371.51","80,782,752.04","128,084,954.74","160,377,578.84","23,487,673.84","102,656,365.48","173,157,654.32","228,461,773.72"
筹资活动现金流入小计,"198,000,000.00","335,700,000.00","208,053,465.00","254,060,000.00","1,384,314,500.00","27,600,000.00","70,600,000.00","130,190,000.00","207,720,000.00","32,200,000.00","42,200,000.00","97,400,000.00","92,400,000.00",,,"7,301,385.11","17,301,385.11","30,000,000.00","20,000,000.00","98,846,976.00","118,846,976.00","10,000,000.00","10,000,000.00","10,000,000.00","22,250,000.00",,,"34,944,986.00","59,014,986.00",,"7,102,386.00","7,852,386.00","8,682,386.00"
经营活动现金流出小计,"1,453,305,244.46","1,636,187,635.42","1,559,733,125.65","1,474,754,270.89","2,038,009,698.17","693,832,543.32","1,266,709,687.44","2,114,602,253.58","2,857,326,941.61","579,222,877.08","1,255,524,108.01","1,935,244,635.12","2,588,120,395.16","655,358,701.28","1,365,439,968.58","2,144,071,725.28","2,931,502,734.66","735,469,939.00","1,479,915,978.46","2,383,292,269.27","3,149,660,503.71","802,948,404.18","1,625,199,457.86","2,497,219,540.29","3,322,378,435.07","604,190,414.72","1,377,228,481.68","2,186,918,216.61","3,049,894,656.29","814,740,144.60","1,780,498,578.21","2,996,167,009.48","4,203,941,058.04"
偿还债务支付的现金,"102,000,000.00","314,000,000.00","190,000,000.00","110,000,000.00","230,000,000.00","150,000,000.00","150,000,000.00","152,000,000.00","162,000,000.00","80,870,000.00","147,120,000.00","147,120,000.00","147,120,000.00",,,,,"10,000,000.00",,"33,000,000.00","61,920,000.00",,"40,000,000.00","40,000,000.00","40,000,000.00",,,,,,,,
经营活动产生的现金流量净额,"48,541,095.10","111,030,668.89","171,805,470.50","-64,143,825.81","-53,424,235.90","-291,536,269.24","-318,814,809.53","-494,252,598.61","-498,846,187.90","1,975,117.75","126,442,644.99","136,332,558.56","228,234,819.38","-95,345,523.27","-123,775,716.87","-77,257,582.71","135,306,569.30","-161,940,161.95","-60,685,923.56","-128,825,793.96","111,269,558.79","-216,804,431.43","61,600,374.96","115,175,682.41","206,819,280.11","34,855,677.56","59,143,961.45","181,039,353.29","371,676,326.68","-173,935,490.16","-198,166,474.72","-392,246,401.91","-178,323,802.41"
分配股利、利润或偿还利息支付的现金,"32,522,673.60","17,751,933.33","35,373,346.25","37,368,258.30","41,269,618.17","592,443.04","28,683,587.48","29,007,920.80","30,832,839.98","2,146,529.00","29,134,805.89","29,134,805.89","29,032,454.70",,"38,798,654.28","40,320,000.00","40,346,250.00","242,055.56","39,739,878.13","40,095,134.79","41,743,166.68","627,188.89","54,880,599.63","54,880,599.63","55,414,371.74",,"54,587,373.27","54,532,110.77","56,535,906.68","874,612.30","83,668,900.30","83,709,880.30","83,894,709.65"
收回投资收到的现金,"205,000.00","60,463.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00"
支付其他与筹资活动有关的现金,,"8,200,000.00","500,000.00",,"3,570,000.00","4,734,500.00","15,358,650.45","20,178,650.45","24,698,650.45","4,670,000.00","9,340,000.00","14,010,000.00","18,782,351.19","4,670,000.00","9,409,943.66","14,090,943.66","14,090,943.66",,"262,804.26","278,721.06","278,721.06","30,557.18","122,950.79","430,504.43","1,026,706.82",,"102,146.89","102,146.89","134,968.64",,"152,944.72","152,944.72","152,944.72"
