科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"116,480,729.62","156,275,207.03","208,842,245.08","109,419,119.83","196,848,121.43","274,533,336.17","72,634,507.01","139,569,603.06","260,956,163.31","373,834,668.71","99,755,365.09","201,159,176.02","377,079,293.74","511,222,608.64","137,956,297.47"
取得子公司及其他营业单位支付的现金净额,"245,507.24",,,,,,,,,,"1,989,103.84","1,614,788.03",,"2,788,540.91","2,250,397.06"
收到的税费返还,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,"1,428,880.22",,,"474,655.18","1,440,000.00",,,,
收到其他与经营活动有关的现金,"2,656,843.39","4,771,957.45","5,936,774.26","4,366,941.36","4,371,162.25","9,209,004.54","2,181,400.65","3,996,269.56","8,689,713.09","6,081,054.47","2,579,683.51","4,674,484.67","8,563,698.24","7,632,473.38","3,808,016.01"
投资活动现金流出小计,"392,013,446.43","610,628,813.02","1,340,215,039.55","801,661,078.86","1,398,552,175.57","1,656,040,968.93","469,207,477.98","1,094,231,479.98","1,524,241,446.64","2,101,829,983.23","557,536,615.09","1,214,613,469.56","1,796,998,443.78","2,277,972,606.06","485,868,000.06"
经营活动现金流入小计,"119,137,573.01","161,047,164.48","214,779,019.34","113,786,061.19","201,219,283.68","283,742,340.71","74,815,907.66","143,565,872.62","269,645,876.40","379,915,723.18","102,335,048.60","205,833,660.69","385,642,991.98","518,855,082.02","141,764,313.48"
投资活动产生的现金流量净额,"13,765,561.45","22,054,118.21","-10,425,537.51","-9,515,265.61","-272,470,850.63","-27,099,475.68","-288,542,715.68","-529,859,251.18","-574,132,335.39","-592,320,360.00","-44,015,251.05","-58,434,011.01","-95,683,596.24","-140,214,809.49","24,735,285.33"
购买商品、接受劳务支付的现金,"21,121,442.12","33,882,656.22","52,056,145.57","30,420,815.22","53,107,756.05","77,439,723.52","22,790,439.84","43,215,026.82","78,073,165.57","101,588,945.21","30,241,611.68","61,897,941.90","119,403,807.50","149,082,553.01","32,851,863.51"
吸收投资收到的现金,"10,450,000.00","2,260,000.00",,"588,000.00","588,000.00","3,523,000.00","373,070,000.00","362,810,000.00","363,060,000.00","420,553,770.00","600,000.00","3,999,550.00","10,059,884.00","22,957,749.01","5,500,000.00"
支付给职工以及为职工支付的现金,"12,655,799.14","17,466,498.55","23,130,501.02","13,828,946.63","20,315,767.39","28,490,936.44","7,069,582.24","14,744,317.26","20,425,485.31","37,168,427.88","9,124,768.10","24,501,840.37","40,462,261.17","63,864,976.47","20,550,761.33"
取得借款收到的现金,,,,,,,,,,,,,,,
支付的各项税费,"20,821,556.17","32,139,635.34","40,885,986.93","21,492,461.10","32,058,182.53","50,430,256.37","11,936,011.35","19,182,689.66","40,583,806.14","64,576,972.24","18,040,149.68","31,971,932.16","56,868,169.96","88,996,556.17","20,641,555.23"
收到其他与筹资活动有关的现金,,,,"496,000.00","496,000.00","496,000.00",,,,,,,"2,623,508.00","6,660,000.00","300,000.00"
支付其他与经营活动有关的现金,"11,163,957.49","15,649,311.74","18,473,954.84","9,753,243.24","14,045,924.97","18,579,112.27","5,770,662.06","10,691,900.03","19,937,730.09","31,871,899.64","7,310,656.70","16,431,700.65","29,186,045.49","68,388,865.25","23,649,313.87"
筹资活动现金流入小计,"10,450,000.00","2,260,000.00",,"1,084,000.00","1,084,000.00","4,019,000.00","373,070,000.00","362,810,000.00","363,060,000.00","420,553,770.00","600,000.00","3,999,550.00","12,683,392.00","29,617,749.01","5,800,000.00"
经营活动现金流出小计,"65,762,754.92","99,138,101.85","134,546,588.36","75,495,466.19","119,527,630.93","174,940,028.60","47,566,695.49","87,833,933.77","159,020,187.11","235,206,244.97","64,717,186.16","134,803,415.08","245,920,284.12","370,332,950.90","97,693,493.94"
偿还债务支付的现金,,,,,,,,,,,,,,,
经营活动产生的现金流量净额,"53,374,818.09","61,909,062.63","80,232,430.98","38,290,595.00","81,691,652.75","108,802,312.11","27,249,212.17","55,731,938.85","110,625,689.29","144,709,478.21","37,617,862.44","71,030,245.61","139,722,707.86","148,522,131.12","44,070,819.54"
分配股利、利润或偿还利息支付的现金,"14,000,000.00","18,972,100.00","8,113,000.00","29,540.61","29,540.61","73,794,540.61",,"19,307,284.59","22,574,141.92","23,848,470.57",,"23,781,074.94","24,049,211.89","25,225,774.04","443,869.91"
收回投资收到的现金,"405,667,210.23","632,682,931.23","1,329,722,822.43","792,130,001.28","1,126,063,163.28","1,628,519,396.39","179,700,000.00","560,550,000.00","941,710,000.00","1,492,560,000.00","508,000,000.00","1,142,000,000.00","1,679,000,000.00","2,105,400,000.00","500,500,000.00"
支付其他与筹资活动有关的现金,,,,"33,600.00","33,600.00","548,301.88","9,308,853.58","1,000,000.00","1,000,000.00","13,061,689.98",,,,"8,333.00","203,009.24"
取得投资收益收到的现金,"111,797.65",,,,,,"814,762.30","3,052,190.06","7,482,486.63","15,073,290.94","5,186,685.48","13,393,122.46","19,777,870.02","26,029,444.31","8,682,611.07"
筹资活动现金流出小计,"14,000,000.00","18,972,100.00","8,113,000.00","63,140.61","63,140.61","74,342,842.49","9,308,853.58","20,307,284.59","23,574,141.92","36,910,160.55",,"23,781,074.94","24,049,211.89","25,234,107.04","646,879.15"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,"66,679.61","15,811.97","18,161.66","422,096.86",,,,"133,000.00",,,,"12,747.57",
