科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"233,680,575.97","363,577,763.38","426,083,452.64","91,053,565.46","253,897,190.70","422,860,247.20","506,806,262.99","136,603,294.05","337,804,323.86","565,021,496.75","822,734,054.95","217,998,234.02","491,512,944.13","689,914,080.97","1,181,331,119.59","312,808,677.26","607,187,958.24"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"10,848,631.04","10,251,607.70","10,848,631.04","337,678,662.89","350,114,905.56","358,745,510.86","346,549,423.63",,"189,289,007.75"
收到的税费返还,"663,593.57","13,653,105.89","9,546,709.52","3,154,071.39","3,890,485.15","17,150,484.89","15,640,656.23","1,546,491.58","13,157,923.94","13,499,650.72","23,328,811.73","2,605,595.83","3,105,278.05","9,470,807.85","15,978,748.23","1,434,132.12","2,073,052.83"
支付其他与投资活动有关的现金,,,,,,,"28,987,200.51",,"6,285,784.13","4,720,784.13","4,360,450.79",,,,,"21,372,939.00","16,204,783.00"
收到其他与经营活动有关的现金,"3,612,780.39","18,095,610.72","14,775,389.48","2,474,621.32","16,826,252.49","26,413,525.86","16,319,862.47","3,385,076.61","20,956,361.99","17,987,881.13","19,890,917.13","7,606,318.28","9,163,137.49","40,514,881.76","30,815,041.84","5,509,473.73","14,260,424.85"
投资活动现金流出小计,"35,297,611.81","20,833,372.57","35,419,263.09","22,809,601.98","28,986,169.75","49,495,677.69","126,721,704.85","529,717.80","304,326,961.18","337,126,125.75","411,893,839.17","354,597,976.99","442,133,374.42","458,677,407.97","442,158,581.21","268,033,060.13","266,040,847.11"
经营活动现金流入小计,"237,956,949.93","395,326,479.99","450,405,551.64","96,682,258.17","274,613,928.34","466,424,257.95","538,766,781.69","141,534,862.24","371,918,609.79","596,509,028.60","865,953,783.81","228,210,148.13","503,781,359.67","739,899,770.58","1,228,124,909.66","319,752,283.11","623,521,435.92"
投资活动产生的现金流量净额,"-25,260,789.81","-20,740,372.57","-35,419,263.09","-22,809,601.98","-28,986,169.75","-49,495,677.69","-111,721,704.85","-529,717.80","-304,322,883.19","-58,039,382.91","-131,408,241.63","-344,540,329.59","-431,069,959.75","-445,035,292.10","-414,166,146.30","-207,715,252.82","-209,875,354.17"
购买商品、接受劳务支付的现金,"34,720,974.57","35,409,951.07","67,258,807.31","9,097,550.06","33,231,236.29","63,335,449.75","58,028,431.58","3,588,854.49","36,537,979.05","71,018,335.14","147,622,965.62","42,148,713.38","89,064,852.68","128,248,802.03","373,746,029.41","95,818,918.96","169,535,959.85"
吸收投资收到的现金,"36,414,650.00",,,,,"1,000,000.00","564,412,344.00",,"271,602,959.92","269,865,836.58","272,502,959.92",,"5,588,616.42","11,750,309.20","36,589,150.00",,"160,000.00"
支付给职工以及为职工支付的现金,"123,917,432.27","176,581,193.26","250,933,399.64","85,375,145.89","161,996,981.56","259,015,953.47","366,839,647.90","103,485,658.15","208,319,755.51","354,994,015.98","488,989,414.78","135,119,231.40","278,827,196.47","394,389,896.78","528,715,805.55","135,892,318.62","294,655,538.48"
取得借款收到的现金,,,"27,039,320.00","23,536,144.00","23,515,928.00","99,315,522.00","102,403,150.00","39,295,370.00","39,295,370.00","46,280,828.00","336,140,699.86","430,787,988.46","465,762,691.66","465,455,834.00","725,330,000.00",,"60,156,294.99"
支付的各项税费,"18,379,364.91","38,930,580.13","28,409,934.15","5,057,418.72","11,824,584.49","17,561,501.25","25,719,872.49","11,225,659.23","29,431,294.55","46,020,885.24","61,100,837.69","17,782,245.49","32,278,312.07","48,347,854.71","55,061,076.97","8,201,407.94","26,714,456.90"
