科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30
货币资金,"427,160,800.75","466,739,816.86","460,561,653.26","557,625,814.01","613,463,269.47","676,247,687.79","747,399,665.04","763,437,927.28","1,782,556,043.79","1,708,305,306.35","1,766,682,917.63"
短期借款,"152,500,000.00","165,500,000.00","151,500,000.00","191,533,648.00","198,000,000.00","205,966,352.00","204,500,000.00","181,500,000.00","179,500,000.00","102,500,000.00","112,000,000.00"
交易性金融资产,"63,750.00",,"2,996,190.00",,"736,160.00","875,160.00","755,900.00",,,,"161,520.00"
交易性金融负债,,,,,,,,,,,
应收票据,"10,035,094.74","10,732,732.14","8,419,413.23","23,674,550.91","23,498,092.47","23,475,387.33","15,396,281.92","44,206,192.95","41,712,089.67","31,447,285.33","37,296,501.36"
应付票据,"2,083,055.65","264,148.66","1,439,871.40","12,162,500.00","12,320,728.72","17,188,816.02","20,408,562.35","25,157,366.13","38,036,334.40","24,381,729.00","36,887,888.30"
应收账款,"501,433,098.23","505,286,026.75","528,879,676.38","455,923,011.26","537,363,172.26","539,979,612.78","561,231,481.19","457,647,259.93","561,388,196.71","585,620,576.44","649,704,580.29"
应付账款,"336,276,750.92","367,766,019.01","382,771,123.59","382,599,470.64","416,493,582.08","407,110,524.69","430,796,190.56","409,402,827.66","443,514,382.47","491,515,321.18","502,505,269.90"
预付款项,"40,775,774.24","58,058,963.84","47,029,506.84","38,085,043.63","40,948,572.76","31,715,376.83","35,055,334.55","32,260,281.24","33,895,349.13","40,361,477.10","49,116,760.87"
预收款项,"33,834,457.57","36,375,505.97","29,953,126.25","47,677,302.23","38,166,802.35","56,632,125.12","34,081,700.90","73,074,503.10","42,860,576.61","46,331,449.12","46,923,368.21"
其他应收款,"88,461,585.57","107,098,937.14","98,014,948.13","41,175,601.52","48,656,937.60","42,794,470.78","41,281,940.26","36,027,868.16","33,852,653.76","52,418,845.83","45,362,608.86"
应付职工薪酬,"41,578,047.80","49,036,889.68","44,593,710.31","37,981,261.20","36,956,989.30","42,932,592.69","44,708,371.91","28,231,162.83","29,785,812.02","34,536,652.97","39,362,722.21"
应收关联公司款,,,,,,,,,,,
应交税费,"25,429,048.42","21,913,234.52","23,651,630.15","29,499,024.98","32,683,735.26","29,472,310.06","35,483,054.61","24,990,888.76","206,728,198.45","185,406,594.13","92,839,562.12"
应收利息,,,,"121,036.22",,"49,824.82","82,234.06","429,316.50","84,386.11","932,134.96","321,741.10"
应付利息,,,,"259,121.50","43,917.50","30,813.75","31,500.00","48,486.00","124,350.00","1,485.00","24,819.75"
应收股利,,"13,777,661.53","10,940,881.02",,,"20,228,929.37","15,824,481.63",,,,
应付股利,"2,501,485.37","52,034,986.75","23,578,291.19","4,087,379.97","4,596,147.47","51,560,662.87","25,721,181.90","4,282,803.65","7,271,436.59","39,141,789.59","36,699,321.62"
存货,"376,799,865.14","401,679,991.73","418,379,184.08","417,736,488.36","414,675,012.36","419,242,251.64","432,713,158.93","434,287,684.86","422,029,147.80","426,480,298.59","399,888,707.27"
其他应付款,"128,601,176.92","144,395,533.81","169,048,001.01","103,840,131.73","172,339,380.06","175,400,460.81","233,188,038.70","124,732,445.45","181,936,208.30","198,621,787.37","207,350,668.37"
其中:消耗性生物资产,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,
一年内到期的非流动负债,"27,080,000.00","29,980,000.00","29,980,000.00","2,340,000.00",,,,,,,
其他流动资产,"6,586,436.43",,,,,,,,,,
其他流动负债,,,,,,,,,,,
流动资产合计,"1,451,316,405.10","1,563,374,129.99","1,575,221,452.94","1,534,341,545.91","1,679,341,216.92","1,754,608,701.34","1,849,740,477.58","1,768,296,530.92","2,875,517,866.97","2,845,565,924.60","2,948,535,337.38"
流动负债合计,"749,884,022.65","867,266,318.40","856,515,753.90","811,979,840.25","911,601,282.74","986,294,658.01","1,028,918,600.93","871,420,483.58","1,129,757,298.84","1,122,436,808.36","1,074,593,620.48"
可供出售金融资产,,"18,789,100.00","20,738,500.00","22,011,042.16","8,035,011.28","8,087,828.54","7,153,527.28","7,014,642.06","6,663,237.56","7,405,164.63","7,976,046.70"
长期借款,"7,530,288.25","4,630,288.25","4,630,288.25","4,630,288.25","4,630,288.25","4,630,288.25","4,630,288.25","4,630,288.25","44,630,288.25","44,630,288.25","44,630,288.25"
持有至到期投资,,,,,,,,,,,
应付债券,,,,,,,,,,,
长期应收款,"36,380,886.47","36,380,886.47","36,380,886.47","34,156,886.47","34,156,886.47","34,156,886.47","34,156,886.47","31,960,086.47","31,960,086.47","31,960,086.47","31,960,086.47"
长期应付款,,,,"10,644,508.60","10,644,508.60","10,644,508.60","10,644,508.60","10,644,508.60","10,644,508.60","10,644,508.60","10,644,508.60"
长期股权投资,"573,554,966.41","568,693,319.07","584,767,530.93","599,128,502.08","619,700,441.95","625,853,159.88","631,091,519.33","648,440,710.14","157,645,504.42","155,845,747.46","163,076,652.14"
