科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"64,981,295.87","59,992,742.59","89,773,751.79","58,566,479.62","52,384,532.13","216,114,103.97","259,634,866.04","222,921,432.85","218,466,714.22","288,388,719.57","303,161,159.47","221,840,752.28","149,099,247.79","174,582,195.63","286,940,323.06","143,321,350.04"
短期借款,,,"3,000,000.00","3,000,000.00",,,"1,000,000.00","1,000.00",,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,,,,,
应收账款,"25,932,629.65","37,248,851.32","32,748,709.56","37,494,468.14","45,997,581.05","51,212,646.48","47,674,161.56","50,685,860.77","68,780,848.71","82,274,513.07","107,955,135.97","116,368,095.95","139,699,958.00","168,802,810.68","207,335,822.36","236,496,722.09"
应付账款,"8,787,964.37","23,670,154.29","14,386,482.76","6,071,181.18","10,444,895.98","9,258,240.86","15,386,872.04","7,872,646.10","8,760,413.46","9,783,779.74","29,545,162.30","28,276,758.68","19,508,746.17",,"50,340,903.84",
预付款项,"4,125,016.53","4,103,228.32","6,458,641.94","9,696,529.31","6,673,433.01","3,766,079.45","3,779,573.03","5,518,420.05","5,668,126.43","6,325,211.07","5,912,730.25","9,067,619.51","11,131,689.31","13,524,979.69","6,188,054.07","11,302,401.85"
预收款项,"8,471,230.16","11,523,302.44","11,976,892.84","9,491,947.46","10,118,686.48","12,582,667.54","7,974,858.01","8,808,290.72","7,578,848.34","4,070,554.88","13,299,983.59","16,944,472.15","16,708,791.99","11,898,112.86","70,271,480.60","77,162,942.89"
其他应收款,"2,092,640.60","1,588,893.42","2,853,230.86","3,247,754.67","3,096,303.75","5,021,144.61","4,574,851.70","5,458,095.99","4,988,798.43","6,264,506.16","4,793,812.17","9,984,762.23","10,020,738.09","11,009,879.70","10,672,240.81","14,061,673.95"
应付职工薪酬,"8,578,758.99","10,764,198.64","12,476,144.88",,"3,217,996.63","3,625,863.86","17,035,537.68","5,415,253.94","6,231,383.23","7,164,993.85","33,512,344.28","8,439,002.96","11,257,185.82","11,167,138.03","67,444,040.81","22,487,034.73"
应收关联公司款,,,,,,,,,,,,,,,,
应交税费,"5,637,531.31","5,551,021.43","6,649,076.14","3,136,808.30","2,605,111.84","3,694,180.48","6,873,334.36","3,357,964.13","1,601,704.51","4,394,350.34","19,393,960.59","4,567,613.30","4,125,037.58","7,431,937.39","23,703,020.84","3,489,537.51"
应收利息,"16,152.89","33,793.69","6,744.22","15,042.19","7,627.40","13,920.00",,,"338,863.02","239,061.65","316,273.98","1,411,068.49","1,473,054.81",,,
应付利息,,,,"928,596.64",,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,"16,798,666.11","16,798,666.11","16,798,666.11",,"16,798,666.11",
存货,"7,012,507.64","5,963,053.02","9,280,268.81","7,163,682.48","7,948,283.61","9,197,689.94","7,079,537.78","8,827,562.15","10,266,800.23","11,851,637.30","13,142,743.91","15,668,938.99","18,101,485.03","20,784,735.25","30,223,359.43","34,214,995.09"
其他应付款,"660,050.06","58,113.00","323,297.88","358,136.90","331,856.01","277,511.58","2,557,033.80","2,739,826.69","7,670,954.28","132,001,199.37","131,727,791.26","130,891,219.90","131,122,202.13","95,480,453.60","96,700,682.55","81,077,504.85"
其中:消耗性生物资产,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,"125,723.32",,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,
