科目,2008-12-31,2009-12-31,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
存货,"70,936,591.47","68,825,637.99","98,524,418.21","105,854,003.19","119,536,382.41","143,677,856.02","133,839,570.11","130,646,105.19","136,856,004.13","191,728,383.70","195,280,400.09","201,498,852.62","285,759,314.15","359,534,941.48","475,557,528.82","684,324,179.23","718,545,759.73","695,980,108.79","1,212,009,999.97","1,336,379,975.39","1,296,190,308.93","1,337,969,986.89","1,448,653,427.38","1,495,907,183.84","1,617,966,126.29","1,629,485,578.15","1,621,781,126.59","1,626,207,748.05","1,657,597,716.64","1,682,151,063.00"
其他应付款,"24,119,036.69","72,312,162.43","73,566,045.36","89,818,638.13","78,503,577.59","55,887,068.28","22,779,113.12","12,730,625.27","18,835,963.40","20,795,154.38","22,110,747.80","23,704,437.59","19,887,877.08","29,133,125.59","39,120,765.50","73,215,334.15","52,643,545.18","39,421,368.57","55,131,182.27","36,996,957.37","18,271,543.88","72,326,773.72","40,873,340.82","70,265,680.55","104,975,782.10","117,147,439.86","78,750,554.13","93,919,423.73","84,967,205.87","110,698,735.39"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,"151,196.01","113,397.01","243,622.80","243,622.80"
一年内到期的非流动负债,"3,000,000.00","3,750,000.00",,,,,"1,130,000.00","1,130,000.00","1,130,000.00","1,130,000.00","1,130,000.00","1,130,000.00","1,130,000.00","1,130,000.00","380,000.00","380,000.00","380,000.00","380,000.00","380,000.00","380,000.00","380,000.00","380,000.00","380,000.00","380,000.00","380,000.00","380,000.00","380,000.00","380,000.00","380,000.00","380,000.00"
其他流动资产,,,,,,,,,,,"10,009,976.47","3,066,413.12","203,709,680.87","325,029,997.16","324,844,519.64","332,824,193.38","342,794,666.91","320,417,767.28","207,309,619.51","239,288,755.33","228,735,521.63","190,417,888.51","190,949,460.44","169,216,710.75","176,301,899.36","156,586,162.95","147,456,443.27","126,974,783.41","112,249,648.49","101,509,037.42"
其他流动负债,,,,,,,"553,508.44","400,131.33","292,393.60","538,508.42","750,730.66","518,588.95","750,730.66","750,730.66","2,124,758.40","2,124,758.40","3,140,530.59","3,120,758.40","2,200,313.96","2,200,313.96","2,200,313.96","2,200,313.96","1,600,313.96","1,600,313.96","1,600,313.96","1,600,313.96","2,006,663.24","1,327,669.59","1,802,893.38","1,802,893.38"
流动资产合计,"237,839,827.76","253,755,867.67","312,945,406.32","1,361,800,218.82","1,341,522,156.93","1,340,852,994.85","1,349,204,684.05","1,348,778,926.65","1,345,537,085.28","1,377,083,364.70","1,365,937,822.53","1,384,704,119.39","1,403,838,247.60","1,436,497,706.34","1,539,413,302.75","1,644,845,256.22","1,702,973,279.83","1,728,125,807.11","2,094,865,887.28","2,322,544,982.87","2,356,415,656.56","2,346,987,250.83","2,154,598,420.72","2,199,081,178.77","2,249,781,785.06","2,202,758,918.69","2,156,326,389.06","2,204,121,848.77","2,140,947,804.31","2,160,385,088.21"
流动负债合计,"116,033,221.50","131,042,644.05","138,715,907.99","141,332,126.11","104,025,665.65","82,004,127.95","46,761,944.26","52,588,213.59","39,584,239.23","52,447,793.53","55,461,729.92","60,780,319.84","56,513,788.99","70,250,318.94","181,332,929.49","287,939,529.09","364,749,461.10","364,682,992.99","703,144,955.15","925,227,300.05","936,844,357.70","955,359,213.94","857,311,255.57","917,687,371.50","945,328,613.00","902,406,096.46","837,651,110.54","843,366,350.42","773,268,847.03","781,700,931.13"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期借款,"8,770,000.00","4,270,000.00","3,890,000.00","3,890,000.00","3,890,000.00","3,890,000.00","3,880,000.00","3,880,000.00","3,880,000.00","3,880,000.00","2,750,000.00","2,750,000.00","2,750,000.00","2,750,000.00","2,370,000.00","2,370,000.00","2,370,000.00","2,370,000.00","1,990,000.00","1,990,000.00","1,990,000.00","1,990,000.00","1,610,000.00","1,610,000.00","1,610,000.00","1,610,000.00","1,230,000.00","1,230,000.00","1,230,000.00","1,230,000.00"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,"75,190.47","71,340.47",,,,,,,,,,,,,,,,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"97,973,080.51","103,167,768.76","162,187,093.51","162,703,645.80","169,263,498.39","169,912,141.57","190,293,452.48","186,119,807.71","214,394,426.41","218,572,914.75","221,686,188.03","213,983,518.58","213,014,916.00","214,662,821.99","268,694,625.34","275,033,317.98","287,035,695.55","281,323,586.70","280,188,377.57","277,608,775.10","279,034,743.27","291,688,126.43","308,660,489.16","304,660,851.73","304,813,257.88","307,108,042.79","437,574,495.12","432,738,879.62","425,206,672.62","422,604,267.50"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在建工程,"2,217,667.95","56,961,837.75","22,978,879.35","29,243,964.74","32,851,725.31","34,082,265.00","17,509,971.28","24,734,012.13","15,108,892.63","21,104,007.54","8,574,468.34","29,973,932.78","27,988,195.56","43,731,317.54","10,796,240.46","14,681,579.04","18,789,952.17","18,090,615.38","15,765,875.06","21,024,106.49","23,303,478.66","18,258,689.97","89,699,396.57","123,551,821.20","151,594,791.64","160,779,017.03","784,398.95","2,194,136.68","2,210,821.59","2,332,868.47"
其他非流动负债,"2,631,600.00","11,361,300.00","13,055,066.06","14,352,975.69","12,837,267.50","12,728,368.22","13,875,118.15","17,805,118.15","17,428,014.70","22,098,486.82","14,602,165.27","17,521,615.88","22,350,799.94","23,431,328.39","30,091,204.56","30,307,014.93","31,285,167.07","30,614,635.73",,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"11,401,600.00","15,631,300.00","16,945,066.06","18,242,975.69","16,727,267.50","16,618,368.22","17,755,118.15","21,685,118.15","21,308,014.70","25,978,486.82","17,352,165.27","20,271,615.88","25,100,799.94","26,181,328.39","32,461,204.56","32,677,014.93","33,655,167.07","32,984,635.73","36,091,335.03","33,941,256.51","34,991,178.05","35,691,099.53","31,336,021.07","31,763,125.89","30,535,864.09","30,635,785.57","32,020,072.12","36,969,065.77","36,115,768.30","37,785,737.01"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"127,434,821.50","146,673,944.05","155,660,974.05","159,575,101.80","120,752,933.15","98,622,496.17","64,517,062.41","74,273,331.74","60,892,253.93","78,426,280.35","72,813,895.19","81,051,935.72","81,614,588.93","96,431,647.33","213,794,134.05","320,616,544.02","398,404,628.17","397,667,628.72","739,236,290.18","959,168,556.56","971,835,535.75","991,050,313.47","888,647,276.64","949,450,497.39","975,864,477.09","933,041,882.03","869,671,182.66","880,335,416.19","809,384,615.33","819,486,668.14"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"61,272,000.00","61,272,000.00","82,717,200.00","110,317,200.00","110,317,200.00","110,317,200.00","110,317,200.00","220,634,400.00","220,634,400.00","220,634,400.00","220,634,400.00","220,634,400.00","220,634,400.00","220,634,400.00","220,634,400.00","220,634,400.00","330,951,600.00","330,951,600.00","330,951,600.00","330,951,600.00","330,951,600.00","330,951,600.00","330,951,600.00","330,951,600.00","330,951,600.00","330,951,600.00","330,951,600.00","330,951,600.00","330,951,600.00","330,951,600.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"38,749,801.18","38,749,801.18","38,749,801.18","1,050,370,973.39","1,050,370,973.39","1,050,370,973.39","1,050,370,973.39","940,053,773.39","940,053,773.39","940,053,773.39","940,053,773.39","940,053,773.39","940,053,773.39","940,053,773.39","940,053,773.39","940,053,773.39","829,736,573.39","829,736,573.39","829,736,573.39","829,736,573.39","829,736,573.39","829,617,437.52","829,617,437.52","829,617,437.52","831,813,127.51","831,813,127.51","832,558,420.62","832,558,420.62","833,010,252.56","833,010,252.56"
无形资产,"6,822,869.01","9,223,442.24","11,770,762.02","12,243,351.97","10,474,607.76","10,598,733.84","15,249,757.18","15,121,975.36","16,466,022.86","16,228,281.13","17,396,574.02","17,307,284.99","17,003,335.31","16,812,915.38","16,477,450.47","16,244,201.14","16,037,910.31","15,847,662.07","16,427,236.75","16,815,821.77","17,927,620.80","61,781,905.39","60,138,765.23","59,618,565.20","59,253,211.42","58,735,958.98","58,521,266.01","58,400,098.38","57,959,843.05","57,491,731.80"
盈余公积,"31,291,329.35","37,409,298.07","46,361,160.41","46,361,160.41","46,361,160.41","46,361,160.41","55,532,865.88","55,532,865.88","55,532,865.88","55,532,865.88","64,873,961.38","64,873,961.38","64,873,961.38","64,873,961.38","74,997,317.40","74,997,317.40","74,997,317.40","74,997,317.40","83,101,773.65","83,101,773.65","83,101,773.65","83,101,773.65","88,601,539.45","88,601,539.45","88,601,539.45","88,601,539.45","93,815,703.18","93,815,703.18","93,815,703.18","93,815,703.18"
开发支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商誉,,,,,,,"1,905,827.33","1,905,827.33","1,905,827.33","1,905,827.33","1,905,827.33","1,905,827.33","1,905,827.33","1,905,827.33","1,905,827.33","1,905,827.33","1,905,827.33","1,905,827.33","1,905,827.33","1,905,827.33","1,905,827.33","1,905,827.33","1,905,827.33","1,905,827.33","1,905,827.33","1,905,827.33","1,905,827.33","1,905,827.33","1,905,827.33","1,905,827.33"
未分配利润,"87,835,696.34","142,846,497.73","190,896,625.42","204,288,186.75","231,534,841.24","254,918,055.56","278,045,466.50","270,487,830.00","301,250,563.18","326,270,157.46","343,267,761.21","358,944,380.79","391,097,885.25","415,323,557.48","420,463,454.86","437,662,035.45","447,221,093.51","466,168,057.65","486,704,389.40","500,793,240.54","525,342,455.22","541,017,519.48","475,568,529.25","490,054,344.15","500,526,926.93","506,696,068.57","483,548,777.11","501,871,900.88","512,904,162.74","527,566,810.44"
长期待摊费用,"59,722.86","34,222.28","15,555.56","10,888.88","6,222.20","1,555.52",,,,,"1,035,237.32","977,514.50","919,791.68","862,068.86","1,920,622.07","2,101,564.68","1,972,877.67","1,844,190.66","1,793,750.15","2,135,862.54","1,630,317.35","1,430,888.00","1,228,458.12","1,088,713.27","940,431.42","766,398.87","2,101,324.03","2,748,451.80","1,919,708.07","1,219,696.91"
少数股东权益,"738,744.36","713,289.62","673,649.58","670,844.47","651,719.26","667,591.11","19,846,645.47","20,178,290.04","20,284,867.34","20,247,167.92","20,529,393.41","20,789,597.53","20,556,854.92","20,659,667.34","20,712,169.12","20,898,753.17","20,612,486.68","20,953,567.34","20,616,436.64","20,487,985.71","20,651,400.55","20,430,036.62","20,339,179.79","20,336,209.68","58,645,115.23","59,922,172.03","60,175,008.72","75,381,748.44","81,232,074.96","86,727,906.53"
递延所得税资产,"2,334,034.17","4,450,351.48","5,161,713.88","5,581,396.61","5,870,616.86","5,809,785.86","4,466,521.33","4,499,941.87","5,236,469.21","6,270,249.55","5,276,492.66","5,695,334.24","6,484,037.06","6,922,879.63","7,647,429.92","7,868,306.95","8,437,401.43","8,207,671.39","8,898,255.94","9,380,560.68","9,488,137.94","11,231,079.95","12,445,467.47","9,728,402.70","9,619,523.47","8,248,658.39","10,963,221.07","10,963,221.07","13,472,939.75","12,118,303.15"
外币报表折算价差,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他非流动资产,,,,,,,,,,,"40,360,574.35","31,800,517.00","47,677,113.33","36,581,469.85","43,799,750.48","52,182,770.09","64,770,754.86","65,129,383.86","70,501,853.18","72,823,793.07","71,913,556.65","62,884,912.84","5,048,738.05","9,376,267.99","8,493,957.99","10,723,567.51","2,543,770.72","1,842,325.66","17,674,792.05","33,501,157.48"
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动资产合计,"109,482,564.97","173,908,962.98","202,114,004.32","209,783,248.00","218,466,670.52","220,404,481.79","229,425,529.60","232,381,564.40","253,111,638.44","264,081,280.30","296,235,362.05","301,643,929.42","314,993,216.27","321,479,300.58","351,241,946.07","370,017,567.21","398,950,419.32","392,348,937.39","395,481,175.98","401,694,746.98","405,203,682.00","449,181,429.91","479,127,141.93","509,930,449.42","536,621,001.15","548,267,470.90","514,394,303.23","510,792,940.54","520,350,604.46","531,173,852.64"
所有者权益(或股东权益)合计,"219,887,571.23","280,990,886.60","359,398,436.59","1,412,008,365.02","1,439,235,894.30","1,462,634,980.47","1,514,113,151.24","1,506,887,159.31","1,537,756,469.79","1,562,738,364.65","1,589,359,289.39","1,605,296,113.09","1,637,216,874.94","1,661,545,359.59","1,676,861,114.77","1,694,246,279.41","1,703,519,070.98","1,722,807,115.78","1,751,110,773.08","1,765,071,173.29","1,789,783,802.81","1,805,118,367.27","1,745,078,286.01","1,759,561,130.80","1,810,538,309.12","1,817,984,507.56","1,801,049,509.63","1,834,579,373.12","1,851,913,793.44","1,872,072,272.71"
资产总计,"347,322,392.73","427,664,830.65","515,059,410.64","1,571,583,466.82","1,559,988,827.45","1,561,257,476.64","1,578,630,213.65","1,581,160,491.05","1,598,648,723.72","1,641,164,645.00","1,662,173,184.58","1,686,348,048.81","1,718,831,463.87","1,757,977,006.92","1,890,655,248.82","2,014,862,823.43","2,101,923,699.15","2,120,474,744.50","2,490,347,063.26","2,724,239,729.85","2,761,619,338.56","2,796,168,680.74","2,633,725,562.65","2,709,011,628.19","2,786,402,786.21","2,751,026,389.59","2,670,720,692.29","2,714,914,789.31","2,661,298,408.77","2,691,558,940.85"
负债和所有者(或股东权益)合计,"347,322,392.73","427,664,830.65","515,059,410.64","1,571,583,466.82","1,559,988,827.45","1,561,257,476.64","1,578,630,213.65","1,581,160,491.05","1,598,648,723.72","1,641,164,645.00","1,662,173,184.58","1,686,348,048.81","1,718,831,463.87","1,757,977,006.92","1,890,655,248.82","2,014,862,823.43","2,101,923,699.15","2,120,474,744.50","2,490,347,063.26","2,724,239,729.85","2,761,619,338.56","2,796,168,680.74","2,633,725,562.65","2,709,011,628.19","2,786,402,786.21","2,751,026,389.59","2,670,720,692.29","2,714,914,789.31","2,661,298,408.77","2,691,558,940.85"
