科目,2011年度,2012年度,2013年度,2014年1-6月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"486,147,525.05","797,858,941.99","907,407,413.85","345,498,209.18","1,370,864,997.41","146,873,846.21","323,313,264.61","408,315,566.23","578,878,511.63","64,029,226.67","199,840,673.12","241,078,178.86","428,537,681.73","116,162,846.89","343,338,857.54","743,866,064.70","1,550,874,371.23","115,156,370.06","425,451,029.24"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,"28,985,159.07",,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"29,269,630.98","18,197,314.70","11,652,278.45","6,127,147.94","71,411,545.82","16,001,992.86","11,721,434.71","20,549,636.23","57,613,671.01","5,779,114.57","10,833,653.88","55,901,512.85","54,617,238.73","13,645,264.86","43,744,191.93","70,609,135.13","44,004,027.25","5,282,865.77","20,499,985.22"
投资活动现金流出小计,"157,562,893.23","91,060,877.99","87,538,147.15","26,454,195.11","149,502,884.92","1,002,865,144.62","1,719,891,112.09","2,371,382,267.30","2,805,538,504.84","521,152,410.93","538,574,972.31","540,192,189.31","550,504,451.96","660,422.39","1,327,723.39","4,191,792.82","11,351,806.21","21,642,524.15","26,243,391.71"
经营活动现金流入小计,"515,417,156.03","816,056,256.69","919,059,692.30","351,625,357.12","1,442,276,543.23","162,875,839.07","335,034,699.32","428,865,202.46","636,492,182.64","69,808,341.24","210,674,327.00","325,964,850.78","483,154,920.46","129,808,111.75","387,083,049.47","814,475,199.83","1,594,878,398.48","120,439,235.83","445,951,014.46"
投资活动产生的现金流量净额,"-137,079,766.61","-85,950,083.57","-82,456,121.63","-26,450,395.11","-149,412,519.99","-1,002,865,144.62","-738,812,846.99","-678,805,728.23","-687,183,228.24","255,502,110.08","550,754,851.20","549,137,634.20","590,342,038.22","-659,224.39","-1,326,161.39","-4,190,230.82","-11,324,073.73","-21,080,899.15","-25,681,766.71"
购买商品、接受劳务支付的现金,"239,696,620.87","245,381,753.01","289,204,770.27","170,786,570.58","521,674,248.27","114,429,768.14","241,946,303.26","427,168,448.60","591,868,343.42","135,164,445.04","223,761,875.34","237,762,637.78","360,333,694.76","20,541,183.84","50,773,370.07","126,693,325.44","275,707,428.93","131,762,768.63","229,864,462.82"
吸收投资收到的现金,"19,200,000.00",,,,,"990,876,000.00","990,876,000.00","990,876,000.00","990,876,000.00",,,,,,,,,,
支付给职工以及为职工支付的现金,"91,205,353.86","108,125,822.16","151,601,080.79","81,036,931.16","172,610,190.98","45,086,393.84","85,681,307.34","122,054,115.84","193,635,740.45","31,006,418.50","73,492,673.82","112,703,035.83","202,337,200.49","40,803,591.65","89,375,225.15","140,272,774.15","243,217,401.15","36,987,426.90","82,930,925.02"
取得借款收到的现金,"400,000,000.00","200,000,000.00","50,000,000.00","30,000,000.00","200,000,000.00",,,,,,,,,,,,,,
支付的各项税费,"55,878,134.37","83,392,210.71","132,671,898.96","74,346,398.08","149,578,482.50","14,763,286.22","57,896,988.68","87,689,104.55","118,852,975.14","10,458,725.08","17,654,034.22","19,556,581.30","35,732,431.08","24,181,479.73","78,947,426.06","142,299,248.99","272,881,515.27","25,485,992.46","99,267,202.57"
收到其他与筹资活动有关的现金,"158,233,900.00","605,000.00","243,000.00","5,000.00","13,000.00",,"4,250.00","4,250.00","2,439,000.00",,"8,500.00","17,850.00","44,000.00",,,"19,000.00","44,000.00",,
支付其他与经营活动有关的现金,"53,463,896.39","67,364,574.39","122,471,411.17","41,708,726.34","110,779,730.08","30,202,815.70","33,382,853.94","49,659,757.84","104,498,349.50","28,400,439.96","46,752,370.34","73,212,561.10","95,521,377.06","11,848,066.21","31,982,988.92","53,591,941.53","73,190,701.51","9,158,231.66","28,378,967.15"
筹资活动现金流入小计,"577,433,900.00","200,605,000.00","50,243,000.00","30,005,000.00","200,013,000.00","990,876,000.00","990,880,250.00","990,880,250.00","993,315,000.00",,"8,500.00","17,850.00","44,000.00",,,"19,000.00","44,000.00",,
经营活动现金流出小计,"440,244,005.49","504,264,360.27","695,949,161.19","367,878,626.16","954,642,651.83","204,482,263.90","418,907,453.22","686,571,426.83","1,008,855,408.51","205,030,028.58","361,660,953.72","443,234,816.01","693,924,703.39","97,374,321.43","251,079,010.20","462,857,290.11","864,997,046.86","203,394,419.65","440,441,557.56"
偿还债务支付的现金,"550,000,000.00","300,000,000.00","100,000,000.00",,"200,000,000.00",,,,,,,,,,,,,,
经营活动产生的现金流量净额,"75,173,150.54","311,791,896.42","223,110,531.11","-16,253,269.04","487,633,891.40","-41,606,424.83","-83,872,753.90","-257,706,224.37","-372,363,225.87","-135,221,687.34","-150,986,626.72","-117,269,965.23","-210,769,782.93","32,433,790.32","136,004,039.27","351,617,909.72","729,881,351.62","-82,955,183.82","5,509,456.90"
分配股利、利润或偿还利息支付的现金,"11,250,867.74","75,691,096.97","41,966,000.00",,"201,259,500.00",,"25,727,398.76","25,981,155.58","25,974,900.00","1,024.79","89,050,965.10","88,961,753.73","89,056,800.00","22,130.67","49,496,438.68","49,430,666.66","49,476,000.00","20,906.62","58,158,651.61"
收回投资收到的现金,"15,367,508.00",,,,,,"970,000,000.00","1,675,000,000.00","2,095,000,000.00","770,000,000.00","1,080,000,000.00","1,080,000,000.00","1,130,000,000.00",,,,,,
支付其他与筹资活动有关的现金,"1,687,949.50","95,468.00","36,450.00",750.00,"1,950.00","6,915,469.40","6,915,469.40","6,915,469.40","6,916,219.40",,,,"6,600.00",,,,"6,600.00",,
取得投资收益收到的现金,,,,,,,"10,285,041.10","16,783,315.07","18,559,972.60","6,654,521.01","9,329,823.51","9,329,823.51","10,846,490.18",,,,,,
筹资活动现金流出小计,"562,938,817.24","375,786,564.97","142,002,450.00",750.00,"401,261,450.00","6,915,469.40","32,642,868.16","32,896,624.98","32,891,119.40","1,024.79","89,050,965.10","88,961,753.73","89,063,400.00","22,130.67","49,496,438.68","49,430,666.66","49,482,600.00","20,906.62","58,158,651.61"
处置固定资产、无形资产和其他长期资产收回的现金净额,"115,618.62","110,794.42","82,025.52","3,800.00","90,364.93",,"793,224.00","793,224.00","795,304.00",,,,,"1,198.00","1,562.00","1,562.00","27,732.48","561,625.00","561,625.00"
筹资活动产生的现金流量净额,"14,495,082.76","-175,181,564.97","-91,759,450.00","30,004,250.00","-201,248,450.00","983,960,530.60","958,237,381.84","957,983,625.02","960,423,880.60","-1,024.79","-89,042,465.10","-88,943,903.73","-89,019,400.00","-22,130.67","-49,496,438.68","-49,411,666.66","-49,438,600.00","-20,906.62","-58,158,651.61"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,"5,000,000.00","5,000,000.00","5,000,000.00",,,,,,"4,000,000.00",,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"20,483,126.62","5,110,794.42","5,082,025.52","3,800.00","90,364.93",,"981,078,265.10","1,692,576,539.07","2,118,355,276.60","776,654,521.01","1,089,329,823.51","1,089,329,823.51","1,140,846,490.18","1,198.00","1,562.00","1,562.00","27,732.48","561,625.00","561,625.00"
五、现金及现金等价物净增加额,"-47,411,533.31","50,660,247.88","48,894,959.48","-12,699,414.15","136,972,921.41","-60,511,038.85","135,551,780.95","21,471,672.42","-99,122,573.51","120,279,397.95","310,725,759.38","342,923,765.24","290,552,855.29","31,752,435.26","85,181,439.20","298,016,012.24","669,118,677.89","-104,056,989.59","-78,330,961.42"
购建固定资产、无形资产和其他长期资产支付的现金,"157,562,893.23","91,060,877.99","87,538,147.15","26,454,195.11","149,502,884.92","32,865,144.62","44,891,112.09","66,382,267.30","80,538,504.84","21,152,410.93","38,574,972.31","40,192,189.31","50,504,451.96","660,422.39","1,327,723.39","4,191,792.82","11,351,806.21","21,642,524.15","26,243,391.71"
期初现金及现金等价物余额,"351,803,937.51","304,392,404.20","355,052,652.08","403,947,611.56","403,947,611.56","540,920,532.97","540,920,532.97","540,920,532.97","540,920,532.97","441,797,959.46","441,797,959.46","441,797,959.46","441,797,959.46","732,350,814.75","732,350,814.75","732,350,814.75","732,350,814.75","1,401,469,492.64","1,401,469,492.64"
投资支付的现金,,,,,,"970,000,000.00","1,675,000,000.00","2,305,000,000.00","2,725,000,000.00","500,000,000.00","500,000,000.00","500,000,000.00","500,000,000.00",,,,,,
