科目,2011年度,2012年度,2013年1-3月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"7,422,387,775.22","8,287,151,741.71",,"8,732,026,942.35",,"4,045,137,029.54","6,629,539,507.26","9,209,682,901.11","1,754,386,644.08","4,359,227,247.54","7,199,460,878.73","9,946,660,336.30","1,915,327,272.72","5,043,968,179.11","8,299,244,360.89","12,189,579,364.32","2,550,545,603.24","6,127,368,095.03","9,981,518,734.55","14,202,097,842.61","2,999,846,830.43","7,049,632,638.50"
取得子公司及其他营业单位支付的现金净额,,"17,576,223.88",,,,"13,990,583.62","13,990,583.62","13,990,583.62",,,,"9,753,851.66",,,,"6,120,657.54","980,000.00","908,233.14","908,233.14","908,233.14",,
收到的税费返还,"5,444,888.58","3,961,198.07",,"5,092,963.01",,"1,246,320.90","1,955,873.94","2,556,581.19","840,746.15","1,604,365.40","7,300,627.54","6,531,928.76","2,204,092.87","5,627,624.49","8,596,524.36","11,172,497.55","3,478,023.66","9,704,764.77","15,720,372.26","17,826,449.30","4,508,819.17","11,866,354.09"
支付其他与投资活动有关的现金,"2,041,519.42",,,,,,"120,000,000.00","3,719,719.95",,"379,286.56",,"44,751.64","264,403.75","1,242,921.60","8,539,849.00","6,614,056.07",,,,,,
收到其他与经营活动有关的现金,"57,744,421.53","54,005,968.53",,"62,836,266.89",,"43,665,250.10","58,398,820.32","60,879,606.44","21,735,373.00","41,395,093.44","50,998,043.83","69,165,372.21","30,740,263.73","51,727,497.48","66,119,485.20","92,690,868.99","51,917,293.45","57,562,419.47","62,191,579.24","159,496,920.45","63,495,592.96","43,313,298.58"
投资活动现金流出小计,"339,021,087.15","449,339,217.15",,"244,011,385.29",,"100,289,718.64","266,457,053.07","346,256,223.46","124,864,070.30","199,460,503.43","274,557,758.88","392,195,805.05","68,079,022.95","172,025,509.53","320,593,606.10","663,180,648.88","140,496,960.12","191,493,133.50","420,353,919.65","698,441,861.53","114,346,180.84","236,573,150.59"
经营活动现金流入小计,"7,485,577,085.33","8,345,118,908.31",,"8,799,956,172.25",,"4,090,048,600.54","6,689,894,201.52","9,273,119,088.74","1,776,962,763.23","4,402,226,706.38","7,257,759,550.10","10,022,357,637.27","1,948,271,629.32","5,101,323,301.08","8,373,960,370.45","12,293,442,730.86","2,605,940,920.35","6,194,635,279.27","10,059,430,686.05","14,379,421,212.36","3,067,851,242.56","7,104,812,291.17"
投资活动产生的现金流量净额,"-335,045,128.39","-445,306,828.12","-57,815,400.00","-225,813,036.64","-56,449,100.00","-95,998,124.96","-256,938,044.58","-328,054,783.22","849,594.83","53,522,973.23","-20,720,967.84","-135,675,750.25","-61,204,197.69","-163,160,100.55","-304,862,839.89","-564,358,494.73","-117,172,906.71","-163,023,287.15","-389,030,425.19","-626,407,536.20","-111,892,411.86","-227,373,483.03"
购买商品、接受劳务支付的现金,"6,452,238,119.24","7,644,685,491.69",,"8,036,700,050.61",,"3,626,429,869.73","5,876,320,411.72","8,259,457,089.01","1,956,851,086.41","3,977,621,239.79","6,311,440,803.50","8,726,940,434.26","1,900,563,174.08","4,509,130,272.07","7,606,321,205.88","11,099,972,256.62","2,605,984,193.49","5,476,773,298.18","8,879,412,282.98","12,690,331,070.19","2,905,721,686.84","6,187,546,380.34"
吸收投资收到的现金,"8,100,000.00","11,400,000.00",,"15,960,000.00",,"3,650,000.00","450,660,000.00","474,860,000.00","49,000,000.00","51,850,000.00","55,255,000.00","59,325,000.00","552,000.00","7,611,800.00","14,354,000.00","16,770,000.00","5,601,572.40","7,051,572.40","18,301,572.40","24,064,154.53",,"4,820,000.00"
支付给职工以及为职工支付的现金,"174,664,442.05","213,449,594.41",,"234,602,667.62",,"130,241,862.32","200,569,070.31","275,357,472.70","73,382,398.78","151,006,969.73","239,385,367.40","350,444,854.53","90,149,490.78","195,267,649.62","301,584,623.21","421,080,883.45","115,394,243.17","251,083,653.17","382,094,170.74","535,069,021.45","125,391,401.84","262,865,195.89"
取得借款收到的现金,"754,000,000.00","1,034,000,000.00",,"1,664,800,000.00",,"490,000,000.00","730,000,000.00","730,000,000.00","371,000,000.00","560,000,000.00","610,000,000.00","752,000,000.00","330,000,000.00","550,000,000.00","840,000,000.00","1,030,000,000.00","650,000,000.00","970,300,000.00","1,230,300,000.00","1,610,300,000.00","570,000,000.00","940,990,000.00"
支付的各项税费,"83,467,782.27","94,237,953.58",,"92,863,632.91",,"51,748,041.89","73,069,223.85","103,877,020.03","41,722,863.75","57,229,100.76","85,995,249.54","111,325,740.81","35,353,991.52","68,392,603.51","97,705,558.11","125,824,343.43","31,978,188.62","63,065,106.41","87,600,017.54","117,432,952.41","40,400,936.66","76,359,662.02"
收到其他与筹资活动有关的现金,"7,000,000.00",,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"257,084,509.05","261,964,095.46",,"296,149,523.87",,"157,603,736.08","236,139,724.39","304,752,683.01","126,877,189.35","176,527,707.07","320,790,662.73","368,621,313.90","134,305,452.43","262,900,962.30","372,797,284.86","441,629,757.29","126,490,253.16","297,291,249.69","507,764,896.13","425,197,797.56","141,172,505.33","287,782,028.74"
筹资活动现金流入小计,"769,100,000.00","1,045,400,000.00",,"1,680,760,000.00",,"493,650,000.00","1,180,660,000.00","1,204,860,000.00","420,000,000.00","611,850,000.00","665,255,000.00","811,325,000.00","330,552,000.00","557,611,800.00","854,354,000.00","1,046,770,000.00","655,601,572.40","977,351,572.40","1,248,601,572.40","1,634,364,154.53","570,000,000.00","945,810,000.00"
经营活动现金流出小计,"6,967,454,852.61","8,214,337,135.14",,"8,660,315,875.01",,"3,966,023,510.02","6,386,098,430.27","8,943,444,264.75","2,198,833,538.29","4,362,385,017.35","6,957,612,083.17","9,557,332,343.50","2,160,372,108.81","5,035,691,487.50","8,378,408,672.06","12,088,507,240.79","2,879,846,878.44","6,088,213,307.45","9,856,871,367.39","13,768,030,841.61","3,212,686,530.67","6,814,553,266.99"
偿还债务支付的现金,"790,436,817.90","702,555,000.00",,"1,414,155,000.00",,"524,000,000.00","1,057,000,000.00","1,139,000,000.00","79,500,000.00","361,000,000.00","722,000,000.00","798,000,000.00","193,000,000.00","363,000,000.00","576,500,000.00","586,500,000.00","340,000,000.00","562,000,000.00","987,000,000.00","1,420,000,000.00","410,000,000.00","880,300,000.00"
经营活动产生的现金流量净额,"518,122,232.72","130,781,773.17","-205,237,400.00","139,640,297.24","-7,603,000.00","124,025,090.52","303,795,771.25","329,674,823.99","-421,870,775.06","39,841,689.03","300,147,466.93","465,025,293.77","-212,100,479.49","65,631,813.58","-4,448,301.61","204,935,490.07","-273,905,958.09","106,421,971.82","202,559,318.66","611,390,370.75","-144,835,288.11","290,259,024.18"
分配股利、利润或偿还利息支付的现金,"58,324,243.09","77,104,645.83",,"92,739,685.52",,"49,303,658.72","65,385,279.15","78,213,859.58","10,719,498.45","50,145,407.74","80,788,740.86","72,528,003.30","8,372,419.76","91,091,906.60","109,072,196.93","128,942,899.45","14,043,451.58","106,182,099.71","125,715,552.51","151,273,956.92","17,849,119.18","118,974,658.10"
收回投资收到的现金,"1,900,000.00",,,"20,000.00",,"3,320,417.81","3,320,417.81","5,162,156.62","105,939,324.07","229,127,441.40","229,127,441.40","208,206,240.05","3,791,813.52",,"2,704,857.23","33,460,849.12","6,935,362.94","8,880,468.10","8,880,468.10","27,166,162.82","187,516.32","187,516.32"
支付其他与筹资活动有关的现金,,,,"3,677,835.97",,,"7,936,731.64","46,562,404.22",,"838,754.26",,"838,754.26",,,,"150,000.00",,,,"13,216,000.00",,
取得投资收益收到的现金,"957,607.14","20,000.00",,"4,288,701.62",,"30,000.00","4,305,499.14","9,791,024.40","19,186,839.58","21,179,747.85","21,179,747.85","8,119,089.57","2,772,361.08","8,030,154.85","12,030,154.85","43,864,040.64","15,042,845.47","19,239,813.25","21,770,407.39","24,032,937.86","1,576,074.49","6,074,468.26"
筹资活动现金流出小计,"848,761,060.99","779,659,645.83",,"1,510,572,521.49",,"573,303,658.72","1,130,322,010.79","1,263,776,263.80","90,219,498.45","411,984,162.00","802,788,740.86","871,366,757.56","201,372,419.76","454,091,906.60","685,572,196.93","715,592,899.45","354,043,451.58","668,182,099.71","1,112,715,552.51","1,584,489,956.92","427,849,119.18","999,274,658.10"
处置固定资产、无形资产和其他长期资产收回的现金净额,"1,118,351.62","4,012,389.03",,"1,514,057.45",,"941,175.87","1,893,091.54","3,248,259.22","587,501.48","2,676,287.41","3,529,601.79","3,409,755.96","310,650.66","835,254.13","995,754.13","1,475,181.78","245,845.00","349,565.00","672,618.97","131,119.94","641,825.23","1,066,892.92"
筹资活动产生的现金流量净额,"-79,661,060.99","265,740,354.17","206,390,000.00","170,187,478.51","-15,845,800.00","-79,653,658.72","50,337,989.21","-58,916,263.80","329,780,501.55","199,865,838.00","-137,533,740.86","-60,041,757.56","129,179,580.24","103,519,893.40","168,781,803.07","331,177,100.55","301,558,120.82","309,169,472.69","135,886,019.89","49,874,197.61","142,150,880.82","-53,464,658.10"
处置子公司及其他营业单位收到的现金净额,,,,"12,375,589.58",,,,,,,,"36,784,969.22",,,,"15,022,082.61",,,,"5,464,048.04",,"510,233.92"
四、汇率变动对现金的影响,"-74,816.78","-49,686.75",,"-261,460.37",,111.49,-35.61,"-34,938.32","3,790.56","7,495.79","819,607.56","167,280.58","23,832.74","187,027.05","198,803.02","27,432.67","-134,881.09","-187,787.71","-10,926.83","-1,490,734.81","-409,206.61","-506,962.19"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,"5,000,000.00","1,100,000.00",,,"15,240,056.67","48,352.94","1,360,556.14"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"3,975,958.76","4,032,389.03",,"18,198,348.65",,"4,291,593.68","9,519,008.49","18,201,440.24","125,713,665.13","252,983,476.66","253,836,791.04","256,520,054.80","6,874,825.26","8,865,408.98","15,730,766.21","98,822,154.15","23,324,053.41","28,469,846.35","31,323,494.46","72,034,325.33","2,453,768.98","9,199,667.56"
五、现金及现金等价物净增加额,"103,341,226.56","-48,834,387.53","-56,669,400.00","83,753,278.74","-79,902,300.00","-51,626,581.67","97,195,680.27","-57,331,161.35","-91,236,888.12","293,237,996.05","142,712,365.79","269,475,066.54","-144,101,264.20","6,178,633.48","-140,330,535.41","-28,218,471.44","-89,655,625.07","252,380,369.65","-50,596,013.47","33,366,297.35","-114,986,025.76","8,913,920.86"
购建固定资产、无形资产和其他长期资产支付的现金,"239,649,567.73","338,784,153.27",,"229,128,874.03",,"82,899,135.02","129,066,469.45","198,865,639.84","34,557,478.10","103,170,483.07","135,155,259.84","239,150,511.31","48,355,786.92","145,425,368.17","266,700,541.94","524,886,678.80","101,864,129.92","122,792,900.36","199,702,786.51","466,394,339.41","102,716,180.84","197,883,903.65"
期初现金及现金等价物余额,"385,129,042.94","488,470,269.50",,"439,635,881.97",,"523,389,160.71","523,389,160.71","523,389,160.71","466,057,999.36","466,057,999.36","466,057,999.36","466,057,999.36","735,533,065.90","735,533,065.90","735,533,065.90","735,533,065.90","707,314,594.46","707,314,594.46","707,314,594.46","707,314,594.46","740,680,891.81","740,680,891.81"
投资支付的现金,"97,330,000.00","92,978,840.00",,"14,882,511.26",,"3,400,000.00","3,400,000.00","129,680,280.05","90,306,592.20","95,910,733.80","139,402,499.04","143,246,690.44","19,458,832.28","25,357,219.76","45,353,215.16","125,559,256.47","37,652,830.20","67,792,000.00","219,742,900.00","231,139,288.98","11,630,000.00","38,689,246.94"
期末现金及现金等价物余额,"488,470,269.50","439,635,881.97",,"523,389,160.71",,"471,762,579.04","620,584,840.98","466,057,999.36","374,821,111.24","759,295,995.41","608,770,365.15","735,533,065.90","591,431,801.70","741,711,699.38","595,202,530.49","707,314,594.46","617,658,969.39","959,694,964.11","656,718,580.99","740,680,891.81","625,694,866.05","749,594,812.67"
