科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"97,558,622.76","138,110,164.17","117,607,133.36","108,462,988.39","305,655,249.40","248,865,441.68","133,013,021.11","101,797,046.15","151,149,430.85","128,911,093.05","105,145,359.12","140,327,994.01","126,698,419.56","153,018,231.21"
短期借款,,,,,,,,,,,"270,300.00","2,270,300.00","7,000,000.00","7,000,000.00"
交易性金融资产,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,
应收票据,"360,000.00","3,805,552.23","1,220,000.00","1,200,000.00",,"972,179.82","1,128,000.00","100,000.00","100,000.00",,,"900,000.00","1,495,000.00","595,000.00"
应付票据,,,,,,,,,,,,,,
应收账款,"43,599,886.60","49,875,831.91","57,084,103.96","61,321,850.49","63,261,298.90","61,855,613.95","63,844,109.65","63,196,124.97","63,058,035.30","66,225,865.04","59,872,886.33","60,851,518.56","64,170,848.78","66,028,103.83"
应付账款,"18,044,306.13","28,724,687.74","27,182,534.75","24,332,377.69","24,508,495.06","23,663,316.49","25,156,045.54","18,148,163.58","18,801,255.87","18,181,558.16","21,599,696.63","19,082,531.91","28,276,928.37","34,065,192.60"
预付款项,"4,328,492.55","6,625,924.11","6,233,995.59","7,694,365.88","7,965,114.44","10,809,772.96","7,725,984.61","7,957,968.64","12,241,341.20","13,015,109.94","17,927,993.77","22,581,167.41","24,224,016.98","31,051,462.22"
预收款项,"36,292,288.09","45,134,326.13","49,821,572.43","54,838,993.92","56,755,265.51","51,924,124.88","48,470,791.39","50,381,760.69","53,230,130.23","56,066,133.14","54,694,591.22","66,960,200.29","61,147,734.76","67,307,239.98"
其他应收款,"416,692.67","428,193.01","613,848.59","822,940.05","628,325.72","775,378.15","633,079.71","778,297.90","1,605,182.11","1,033,600.17","908,582.92","889,249.05","1,075,627.23","907,979.81"
应付职工薪酬,"1,184,053.42","1,548,767.46","1,876,940.38","1,780,091.33","2,180,790.45","2,764,552.68","3,053,821.45","2,798,276.25","3,030,728.42","2,997,335.46","3,094,689.02","3,237,604.75","3,561,665.10","3,752,265.62"
应收关联公司款,,,,,,,,,,,,,,
应交税费,"4,565,596.67","5,713,481.67","6,363,182.09","743,333.51","1,494,648.58","635,720.82","2,885,019.34","738,543.56","369,353.33","1,627,479.27","1,547,367.96","1,574,431.54","1,177,711.76","1,766,750.32"
应收利息,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,
存货,"19,949,590.98","23,720,978.24","36,047,593.47","39,193,442.65","41,945,354.16","47,832,916.31","47,757,763.68","53,616,300.37","58,884,541.97","67,744,946.86","73,108,545.13","79,751,818.05","78,519,238.66","73,227,412.78"
其他应付款,"159,902.69","55,161.54","241,186.94","150,242.51","346,205.36","1,029,784.04","965,407.90","912,859.82","3,835,421.94","1,078,673.98","1,169,341.31","1,470,013.42","1,409,781.89","1,428,600.19"
其中:消耗性生物资产,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,
