科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"264,366,967.33","327,529,297.60","402,205,421.34","192,436,992.98","296,566,323.24","425,146,179.93","83,000,139.68","205,516,561.73","325,331,005.41","465,070,040.61","89,575,241.04","207,395,041.04","338,429,038.56","548,722,363.69","116,222,876.25","284,326,455.14","478,029,228.42","727,985,536.02","221,000,072.16","487,616,332.13","772,953,220.54","1,096,087,995.64","227,998,109.57"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,"104,218,017.20",,,,,,,,"11,205,681.61",
收到的税费返还,,,,,,,,,,,,,,,,,,,,812.47,812.47,,
支付其他与投资活动有关的现金,,,,,,,"120,000,000.00","120,000,000.00","200,000,000.00",,"450,000,000.00","482,367,561.39","480,000,000.00","55,000.00",,,,"70,000,000.00","-2,000,000.00","20,000,000.00","20,000,000.00",,"48,000,000.00"
收到其他与经营活动有关的现金,"17,453,812.24","5,854,826.78","4,147,880.39","6,127,319.74","11,476,505.42","15,245,599.99","5,918,308.73","11,529,432.57","14,688,343.45","14,201,587.59","4,938,208.98","8,696,546.92","14,647,464.06","31,303,924.93","4,518,518.53","11,010,893.41","18,314,153.08","10,599,157.55","4,690,723.22","22,992,370.85","36,823,939.11","25,181,023.33","5,473,658.46"
投资活动现金流出小计,"50,652,321.65","47,784,016.83","54,619,842.02","52,660,459.72","75,258,883.57","97,371,476.40","136,830,279.31","156,808,324.59","256,680,867.77","270,733,346.03","470,871,860.65","562,217,009.96","746,666,504.59","387,037,571.55","48,161,187.99","70,037,997.73","184,411,956.92","223,735,235.30","23,863,534.04","63,673,831.86","148,045,339.67","115,244,348.58","101,840,586.10"
经营活动现金流入小计,"281,820,779.57","333,384,124.38","406,353,301.73","198,564,312.72","308,042,828.66","440,391,779.92","88,918,448.41","217,045,994.30","340,019,348.86","479,271,628.20","94,513,450.02","216,091,587.96","353,076,502.62","580,026,288.62","120,741,394.78","295,337,348.55","496,343,381.50","738,584,693.57","225,690,795.38","510,609,515.45","809,777,972.12","1,121,269,018.97","233,471,768.03"
投资活动产生的现金流量净额,"-33,905,321.65","-45,320,136.83","-38,431,042.02","-52,580,359.72","-71,858,782.67","-93,618,665.30","-136,829,779.31","-156,801,824.59","-256,635,567.77","-59,073,079.50","-270,353,559.28","-301,200,438.04","-450,367,959.81","-368,717,082.25","-46,581,007.99","-68,450,888.40","-182,745,547.59","-213,866,719.11","-22,430,934.04","-59,845,451.86","-138,393,394.67","-58,834,149.28","-101,027,641.10"
购买商品、接受劳务支付的现金,"131,739,638.56","191,075,359.61","164,965,974.34","104,994,098.55","151,878,645.39","201,473,701.40","34,694,225.52","75,931,965.75","129,866,764.75","158,126,990.73","34,705,924.69","82,355,099.07","140,977,734.65","235,746,074.11","50,398,871.52","165,861,682.17","269,045,637.46","320,159,164.54","39,251,564.71","86,111,864.77","137,514,643.59","203,813,408.57","33,220,995.31"
吸收投资收到的现金,"1,209,562.28","816,863.00",,,,"377,522,340.00",,,,,,"67,617,320.00","67,617,320.00","67,617,320.00","1,000,000.00","1,450,000.00","1,450,000.00","1,550,000.00",,"-2,478,434.26","-18,610,200.00",,"24,260,600.00"
支付给职工以及为职工支付的现金,"25,305,515.23","34,706,670.87","41,488,051.64","25,899,186.40","38,147,936.62","50,619,545.75","16,742,815.41","31,152,334.00","46,822,908.19","65,524,329.60","23,526,254.29","42,415,213.45","62,414,708.02","83,256,708.24","29,026,094.22","51,146,867.83","72,263,555.54","96,442,004.31","24,537,574.74","46,563,329.37","71,156,510.87","97,945,672.14","34,259,178.62"
取得借款收到的现金,,,,,,,,,,,,,,"65,200,000.00","5,000,000.00","5,000,000.00","123,035,991.10","131,289,325.34",,"90,000,000.00","180,000,000.00","180,000,000.00","40,000,000.00"
