科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"179,237,000,000.00","211,189,000,000.00","222,274,000,000.00","135,680,000,000.00","209,489,000,000.00","290,418,000,000.00","89,556,000,000.00","184,158,000,000.00","279,176,000,000.00","377,731,000,000.00","106,967,000,000.00","209,733,000,000.00","316,224,000,000.00","421,964,000,000.00","119,331,000,000.00","234,958,000,000.00","351,341,000,000.00","462,625,000,000.00","136,100,000,000.00","266,635,000,000.00","393,966,000,000.00","520,858,000,000.00","139,443,000,000.00","274,147,000,000.00","407,276,000,000.00","536,168,000,000.00","138,046,000,000.00","260,385,000,000.00","386,154,000,000.00","506,016,000,000.00","148,388,000,000.00","276,953,000,000.00","408,390,000,000.00","537,041,000,000.00","155,865,000,000.00","306,302,000,000.00"
提取保险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息净收入,"157,465,000,000.00","193,845,000,000.00","181,639,000,000.00","111,708,000,000.00","174,023,000,000.00","242,152,000,000.00","70,529,000,000.00","144,730,000,000.00","223,364,000,000.00","307,199,000,000.00","85,835,000,000.00","167,685,000,000.00","253,233,000,000.00","341,879,000,000.00","89,288,000,000.00","180,002,000,000.00","275,624,000,000.00","376,202,000,000.00","103,142,000,000.00","209,438,000,000.00","317,793,000,000.00","429,891,000,000.00","109,442,000,000.00","219,493,000,000.00","328,740,000,000.00","436,140,000,000.00","101,704,000,000.00","198,957,000,000.00","298,121,000,000.00","398,104,000,000.00","103,206,000,000.00","211,323,000,000.00","324,260,000,000.00","441,930,000,000.00","117,481,000,000.00","233,833,000,000.00"
减：摊回保险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息收入,"243,317,000,000.00","315,697,000,000.00","296,147,000,000.00","168,280,000,000.00","260,256,000,000.00","357,660,000,000.00","103,180,000,000.00","216,952,000,000.00","340,068,000,000.00","472,921,000,000.00","137,183,000,000.00","278,257,000,000.00","420,488,000,000.00","566,063,000,000.00","145,914,000,000.00","296,463,000,000.00","452,145,000,000.00","613,384,000,000.00","165,356,000,000.00","337,832,000,000.00","517,369,000,000.00","699,289,000,000.00","180,140,000,000.00","363,830,000,000.00","548,190,000,000.00","725,793,000,000.00","168,647,000,000.00","329,760,000,000.00","492,163,000,000.00","657,190,000,000.00","169,091,000,000.00","344,600,000,000.00","526,108,000,000.00","713,699,000,000.00","187,947,000,000.00","378,294,000,000.00"
保单红利支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息支出,"85,852,000,000.00","121,852,000,000.00","114,508,000,000.00","56,572,000,000.00","86,233,000,000.00","115,508,000,000.00","32,651,000,000.00","72,222,000,000.00","116,704,000,000.00","165,722,000,000.00","51,348,000,000.00","110,572,000,000.00","167,255,000,000.00","224,184,000,000.00","56,626,000,000.00","116,461,000,000.00","176,521,000,000.00","237,182,000,000.00","62,214,000,000.00","128,394,000,000.00","199,576,000,000.00","269,398,000,000.00","70,698,000,000.00","-144,337,000,000.00","219,450,000,000.00","289,653,000,000.00","66,943,000,000.00","130,803,000,000.00","194,042,000,000.00","259,086,000,000.00","65,885,000,000.00","133,277,000,000.00","201,848,000,000.00","271,769,000,000.00","70,466,000,000.00","144,461,000,000.00"
分保费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金净收入,"22,995,000,000.00","23,798,000,000.00","35,640,000,000.00","22,459,000,000.00","34,032,000,000.00","46,128,000,000.00","17,749,000,000.00","37,136,000,000.00","54,824,000,000.00","68,750,000,000.00","21,270,000,000.00","38,929,000,000.00","58,110,000,000.00","74,844,000,000.00","25,991,000,000.00","47,597,000,000.00","67,270,000,000.00","83,171,000,000.00","26,887,000,000.00","47,848,000,000.00","65,920,000,000.00","80,123,000,000.00","26,978,000,000.00","47,643,000,000.00","66,612,000,000.00","82,549,000,000.00","28,918,000,000.00","51,108,000,000.00","73,141,000,000.00","90,935,000,000.00","25,471,000,000.00","42,465,000,000.00","58,137,000,000.00","72,903,000,000.00","23,386,000,000.00","43,637,000,000.00"
营业税金及附加,"11,140,000,000.00","13,223,000,000.00","12,567,000,000.00","7,489,000,000.00","11,311,000,000.00","15,505,000,000.00","4,869,000,000.00","10,190,000,000.00","15,665,000,000.00","21,207,000,000.00","6,302,000,000.00","12,539,000,000.00","19,033,000,000.00","25,374,000,000.00","7,076,000,000.00","13,657,000,000.00","20,654,000,000.00","27,226,000,000.00","7,253,000,000.00","14,457,000,000.00","21,718,000,000.00","28,880,000,000.00","7,655,000,000.00","15,059,000,000.00","22,187,000,000.00","29,075,000,000.00","7,389,000,000.00","9,071,000,000.00","9,944,000,000.00","11,449,000,000.00","1,049,000,000.00","2,411,000,000.00","3,583,000,000.00","4,953,000,000.00","1,220,000,000.00","2,646,000,000.00"
