科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"199,105,177.19","214,386,554.27","226,358,012.73","113,701,003.95","173,914,884.98","246,130,945.21","61,483,412.19","135,218,523.74","202,678,835.20"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,
收到的税费返还,"2,243,153.55","142,335.01",,,,,,,
支付其他与投资活动有关的现金,"14,813,362.57",,,,,,,,
收到其他与经营活动有关的现金,"9,747,384.26","3,566,273.81","2,952,840.37","2,527,856.43","1,774,547.37","1,636,320.37","8,313,298.44","3,834,327.22","4,484,819.93"
投资活动现金流出小计,"65,834,507.23","26,208,503.23","20,259,123.68","11,701,539.75","14,232,631.25","14,950,830.83","2,696,270.19","155,486,103.58","329,572,677.88"
经营活动现金流入小计,"211,095,715.00","218,095,163.09","229,310,853.10","116,228,860.38","175,689,432.35","247,767,265.58","69,796,710.63","139,052,850.96","207,163,655.13"
投资活动产生的现金流量净额,"-63,815,178.46","-26,166,240.12","-20,099,123.68","-11,646,616.67","-14,158,904.75","-10,077,104.33","-1,516,270.19","-154,306,103.58","-204,273,945.47"
购买商品、接受劳务支付的现金,"119,860,003.00","146,121,353.92","140,659,490.07","64,962,280.66","103,894,233.35","141,328,125.50","47,644,367.22","78,591,108.80","119,272,942.77"
吸收投资收到的现金,"19,320,000.00",,,,,,"170,828,000.00",,"170,828,000.00"
支付给职工以及为职工支付的现金,"14,651,185.86","22,356,349.44","20,232,124.48","9,420,122.90","14,194,168.08","18,683,919.84","3,653,800.72","10,253,376.91","15,419,449.55"
取得借款收到的现金,"28,400,000.00","27,600,000.00","35,205,943.78","9,000,000.00","9,000,000.00","9,000,000.00",,,
支付的各项税费,"15,809,138.76","12,489,328.44","17,267,981.07","14,024,158.57","17,801,644.93","22,488,693.42","5,792,183.93","15,550,565.00","19,880,627.85"
收到其他与筹资活动有关的现金,,,,,,,,"170,828,000.00",
支付其他与经营活动有关的现金,"21,135,433.86","14,576,149.53","13,263,613.76","5,154,738.89","9,644,062.85","13,194,092.21","6,582,236.88","9,625,168.56","15,336,539.98"
筹资活动现金流入小计,"47,720,000.00","27,600,000.00","35,205,943.78","9,000,000.00","9,000,000.00","9,000,000.00","170,828,000.00","170,828,000.00","170,828,000.00"
经营活动现金流出小计,"171,455,761.48","195,543,181.33","191,423,209.38","93,561,301.02","145,534,109.21","195,694,830.97","63,672,588.75","114,020,219.27","169,909,560.15"
偿还债务支付的现金,"25,200,000.00","23,300,000.00","44,305,943.78","9,000,000.00","19,000,000.00","23,000,000.00",,,
经营活动产生的现金流量净额,"39,639,953.52","22,551,981.76","37,887,643.72","22,667,559.36","30,155,323.14","52,072,434.61","6,124,121.88","25,032,631.69","37,254,094.98"
分配股利、利润或偿还利息支付的现金,"1,088,324.87","1,389,359.17","3,811,531.18","359,941.91","486,890.87","533,774.20",,,
收回投资收到的现金,"2,000,000.00",,,,,,,,"123,000,000.00"
支付其他与筹资活动有关的现金,,,,,,,"8,740,933.00","8,740,933.00","8,740,933.00"
取得投资收益收到的现金,328.77,,,,,,,,"1,116,232.41"
筹资活动现金流出小计,"26,288,324.87","24,689,359.17","48,117,474.96","9,359,941.91","19,486,890.87","23,533,774.20","8,740,933.00","8,740,933.00","8,740,933.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,"19,000.00","42,263.11","160,000.00",,"73,726.50","4,873,726.50","1,180,000.00","1,180,000.00","1,182,500.00"
筹资活动产生的现金流量净额,"21,431,675.13","2,910,640.83","-12,911,531.18","-359,941.91","-10,486,890.87","-14,533,774.20","162,087,067.00","162,087,067.00","162,087,067.00"
处置子公司及其他营业单位收到的现金净额,,,,"54,923.08",,,,,
四、汇率变动对现金的影响,,"7,160.93","-211,918.06","-5,310.02","-33,465.44","-140,341.81","116,036.52","-32,729.79","-237,423.30"
收到其他与投资活动有关的现金,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,
投资活动现金流入小计,"2,019,328.77","42,263.11","160,000.00","54,923.08","73,726.50","4,873,726.50","1,180,000.00","1,180,000.00","125,298,732.41"
五、现金及现金等价物净增加额,"-2,743,549.81","-696,456.60","4,665,070.80","10,655,690.76","5,476,062.08","27,321,214.27","166,810,955.21","32,780,865.32","-5,170,206.79"
购建固定资产、无形资产和其他长期资产支付的现金,"49,021,144.66","26,208,503.23","20,259,123.68","11,701,539.75","14,232,631.25","14,950,830.83","2,696,270.19","6,486,103.58","8,572,677.88"
期初现金及现金等价物余额,"12,915,070.61","10,171,520.80","9,475,064.20","14,140,135.00","14,140,135.00","14,140,135.00","41,461,349.27","41,461,349.27","41,461,349.27"
投资支付的现金,"2,000,000.00",,,,,,,"149,000,000.00","321,000,000.00"
期末现金及现金等价物余额,"10,171,520.80","9,475,064.20","14,140,135.00","24,795,825.76","19,616,197.08","41,461,349.27","208,272,304.48","74,242,214.59","36,291,142.48"
