科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"190,184,658.46","208,303,252.13","217,217,608.20","154,684,347.40","213,192,728.60","48,651,683.00","95,044,218.00","139,960,440.49","193,470,061.48","63,467,074.02","119,493,608.18","177,415,848.28","272,968,517.59","54,636,210.45","135,723,723.69","216,414,728.62","308,555,299.19","94,605,047.41","200,122,861.80"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,"31,500,000.00",,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"3,615,320.70","5,568,597.00","17,633,932.21","4,736,258.18","5,869,460.91","424,467.13","4,525,386.85","5,648,568.59","12,165,845.56","5,308,757.06","2,672,399.14","12,045,894.58","8,505,877.14","3,604,756.47","6,410,016.82","14,354,487.66","49,349,197.84","2,064,613.12","3,561,970.88"
投资活动现金流出小计,"92,788,766.95","74,137,027.66","101,572,330.51","23,899,721.94","30,472,851.85","15,579,029.73","27,588,563.86","214,623,314.48","429,034,358.02","311,490,344.76","715,205,249.21","1,434,540,464.82","2,300,054,174.02","306,650,791.70","578,910,055.70","1,043,659,819.84","1,373,539,079.43","416,702,339.70","757,416,675.70"
经营活动现金流入小计,"193,799,979.16","213,871,849.13","234,851,540.41","159,420,605.58","219,062,189.51","49,076,150.13","99,569,604.85","145,609,009.08","205,635,907.04","68,775,831.08","122,166,007.32","189,461,742.86","281,474,394.73","58,240,966.92","142,133,740.51","230,769,216.28","357,904,497.03","96,669,660.53","203,684,832.68"
投资活动产生的现金流量净额,"-81,036,966.95","-38,047,814.16","-50,841,445.04","-11,870,743.86","-13,424,312.13","-10,559,468.09","-17,170,961.12","-199,188,944.62","-184,939,914.64","79,830,540.32","-37,849,884.69","-145,383,881.18","-228,050,847.16","45,153,865.83","75,270,295.32","7,530,122.99","17,484,298.72","-37,882,326.00","-34,401,019.82"
购买商品、接受劳务支付的现金,"35,577,507.93","49,980,058.50","42,947,417.40","37,565,171.34","46,354,044.23","11,048,875.28","22,874,186.41","24,946,663.84","34,566,935.87","5,324,730.30","10,533,853.80","16,900,305.85","30,202,114.48","11,966,019.88","17,156,401.44","23,110,570.27","27,000,347.72","2,524,717.36","4,487,545.56"
吸收投资收到的现金,,,,,,"302,137,500.00","307,082,725.00","307,082,725.00","307,082,725.00",,,,,,,,,,
支付给职工以及为职工支付的现金,"16,529,528.05","21,522,592.71","24,768,786.28","22,243,092.77","26,704,076.21","9,866,848.89","19,027,551.82","25,094,845.44","33,759,848.95","9,397,891.33","16,864,175.75","25,514,052.72","31,297,831.46","10,623,437.78","15,569,942.94","21,921,632.62","27,301,825.24","10,361,075.50","15,835,819.87"
取得借款收到的现金,"60,000,000.00",,,"50,000,000.00","50,000,000.00",,,,,,,,,,,,,,
支付的各项税费,"33,468,628.76","31,773,860.26","36,384,029.23","34,674,353.56","44,091,931.03","9,883,463.29","19,018,348.95","30,836,932.51","37,269,090.04","7,666,762.69","23,619,738.28","34,513,310.81","49,427,968.13","11,539,936.70","30,623,824.23","44,372,795.23","58,599,173.79","17,352,952.99","40,766,938.34"
收到其他与筹资活动有关的现金,,,,,,"4,945,225.00",,,,,,,,,,,,,
支付其他与经营活动有关的现金,"32,325,802.90","19,432,019.88","24,293,064.94","19,733,849.19","31,749,151.52","5,020,883.03","14,870,805.19","23,917,275.40","29,854,873.04","11,228,013.73","22,488,898.51","41,865,496.67","66,307,792.63","24,161,513.26","54,791,777.70","101,228,232.89","186,945,721.02","55,087,617.04","138,351,569.13"
