科目,2010-12-31,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
现金及存放同业款项,,,,,,,,,,,,,,,,,
短期借款,,,,,,,,,,,"20,000,000.00","73,900,000.00","154,548,080.77","274,900,000.00","252,400,000.00","243,000,000.00","133,400,000.00"
货币资金,"4,733,508,699.66","2,184,861,161.19","5,177,698,033.56","9,144,293,491.84","8,807,431,360.31","9,039,976,476.18","8,641,385,905.64","7,169,677,398.07","7,220,100,322.87","8,104,458,511.45","6,267,551,108.24","6,258,273,027.63","6,560,085,787.00","6,329,134,735.81","5,639,076,435.39","5,211,023,109.67","7,757,373,334.34"
其中：质押借款,,,,,,,,,,,,,,,,,
其中：客户资金存款,"2,141,388,030.74","889,815,512.65","3,580,505,786.57","7,143,385,802.13","6,791,559,267.41","6,683,819,637.09","6,050,364,298.05","4,754,838,540.76","4,729,168,278.53","4,761,368,483.58","4,445,565,204.39","3,938,858,945.28","4,458,522,136.32","4,674,702,598.27","3,811,363,617.11","3,388,704,026.24","6,234,356,410.36"
拆入资金,,"97,000,000.00","677,000,000.00","200,000,000.00",,"100,000,000.00","1,550,000,000.00","1,550,000,000.00","1,750,000,000.00","2,050,000,000.00","2,100,000,000.00","3,200,000,000.00","3,000,000,000.00","3,300,000,000.00","2,500,000,000.00","2,000,000,000.00","2,601,663,916.66"
存放中央银行款项,,,,,,,,,,,,,,,,,
交易性金融负债,,"254,441,176.62","1,912,129,005.94",,,"4,699,050,130.45","3,528,870,229.13","3,073,169,488.90","2,415,772,466.14","1,986,988,975.46","1,208,458,831.82","1,096,440,470.35","1,490,262,305.27","1,179,960,981.51","1,106,790,646.06","1,018,873,271.63","917,820,355.49"
结算备付金,"1,507,384,532.86","933,425,811.76","1,236,481,094.66","2,334,735,354.49","1,718,656,345.44","1,409,453,037.20","1,695,686,629.93","1,884,438,930.50","1,617,639,748.68","1,622,605,382.41","1,353,179,273.81","2,120,495,343.25","1,589,884,058.85","1,749,699,294.05","1,440,357,837.15","1,739,558,118.86","2,260,711,014.38"
衍生金融负债,,,"1,508,454.77",,,,,,,,,"5,093,785.43","6,706,844.68","3,758,629.83","3,763,617.89","3,040,255.38","1,980,987.84"
其中：客户备付金,"1,439,422,820.77",,,,,"1,288,480,012.24","1,537,822,210.59","1,642,513,358.55","1,302,494,235.82","1,436,970,223.21","1,115,801,086.62","1,995,864,280.55","1,191,548,099.17","1,615,074,227.11","1,184,864,139.11","1,493,536,033.33","2,017,205,659.35"
卖出回购金融资产款,"406,780,000.00","2,324,485,738.61","4,697,996,944.58","7,054,804,075.65","6,015,535,066.07","5,532,353,219.46","6,856,391,963.00","3,468,257,725.94","5,360,803,930.62","5,469,198,767.46","5,094,441,183.86","5,703,554,050.19","7,831,445,401.68","6,863,476,903.01","7,165,798,675.54","8,370,062,380.93","10,103,369,474.58"
贵金属,,,,,,,,,,,,,,,,,
吸收存款,,,,,,,,,,,,,,,,,
拆出资金,,,,,,,,,,,,,,,,,
