科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"70,029,214.63","82,845,932.37","111,252,036.59","90,691,610.27","120,699,003.92","23,216,497.23","55,179,033.00","98,905,272.04","132,808,955.43","26,513,437.18","59,187,635.39","96,164,171.85","128,768,136.17","38,856,041.92","89,373,286.08","151,377,547.30","232,414,793.96","45,532,213.58","124,865,705.30","210,764,576.31","261,993,275.85","48,229,737.10","27,654,543.08","84,109,841.60","151,839,662.18","55,710,988.54","117,729,948.27","183,957,573.61","270,047,932.74","75,410,812.33","176,299,196.27","304,290,169.32","428,285,775.30","114,942,322.51"
二、营业利润,"28,850,166.77","22,222,010.66","25,445,487.40","24,158,734.27","31,499,502.51","1,340,210.52","12,114,574.52","62,389,690.42","69,038,732.79","4,693,063.23","14,432,639.22","23,897,137.92","33,248,024.93","8,337,536.98","23,303,622.63","45,920,133.98","54,642,224.34","6,965,607.46","21,514,285.77","39,404,563.42","19,628,643.04","-3,411,368.28","-39,720,519.42","-46,464,420.98","-68,123,008.99","-503,892.12","1,040,426.78","1,177,471.32","7,516,160.82","2,320,617.44","13,027,178.02","29,187,959.62","65,788,329.99","24,182,717.70"
减:营业成本,"13,328,415.01","23,568,792.36","37,428,098.11","26,294,832.53","34,363,928.48","8,089,089.13","16,724,916.74","29,512,819.60","40,256,835.79","9,143,640.80","19,376,584.36","32,727,889.09","45,349,126.32","19,038,614.73","42,180,244.20","66,414,352.20","89,673,614.78","17,285,188.61","56,155,584.35","95,235,180.83","121,069,822.88","23,972,859.33","50,094,592.71","79,786,081.79","123,194,828.05","29,759,013.90","67,154,008.20","104,529,949.84","153,165,626.45","43,043,798.30","103,891,301.95","175,747,561.47","239,447,414.27","66,847,694.35"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"44,129.33","10,073.74","8,473.40","274,643.34","497,052.66","260,404.35","615,677.94","1,231,276.62","1,683,970.96","333,572.49","807,962.55","1,322,686.36","1,682,964.43","333,133.21","840,510.38","1,322,974.14","1,746,722.49","372,263.30","824,747.02","1,290,190.69","1,550,531.80","315,081.24","829,705.60","1,390,946.59","1,771,063.22","428,494.60","959,587.77","1,586,743.59","3,268,772.56","946,662.44","2,118,823.58","3,541,653.88","4,941,303.24","1,121,518.18"
营业外收入,"702,306.66","1,509,319.28","13,793,390.87","10,485,434.86","14,735,136.33","4,982,809.39","7,100,677.99","11,527,761.68","16,712,479.41","2,597,600.70","6,332,138.79","10,767,344.64","14,078,190.62","3,146,136.52","6,660,913.37","10,730,365.28","16,114,445.93","3,445,567.59","8,076,366.64","12,157,363.83","16,418,121.89","3,055,162.12","8,706,566.22","13,615,496.58","17,586,654.23","4,217,402.92","8,202,942.43","12,938,155.88","17,363,220.78","3,323,492.82","3,383,703.29","5,128,631.76","380,505.58","562,500.00"
销售费用,"19,907,262.82","26,165,993.19","28,706,246.53","21,974,587.64","27,979,127.04","6,355,322.47","13,476,923.08","23,582,406.53","32,665,122.28","7,390,259.68","15,466,637.31","24,295,966.49","30,688,139.52","6,457,309.74","13,143,886.74","21,758,288.90","29,194,351.30","7,628,974.41","16,195,542.75","26,012,445.79","34,357,321.01","8,442,829.87","17,234,419.68","26,948,497.65","37,805,862.06","8,839,313.53","17,545,689.25","28,254,347.34","38,263,417.62","9,512,970.11","20,656,497.53","35,295,810.14","48,490,736.13","12,261,412.04"
减:营业外支出,"405,842.24","586,413.58","95,487.82","54,674.65","76,377.64",,597.10,"30,597.10","50,948.89","19,171.95","21,415.73","23,164.08","193,515.04",,"8,133.67","94,617.09","144,343.21","30,015.36","52,861.87","428,065.95","1,093,676.79","63,296.48","212,952.93","647,818.07","1,337,571.85","74,814.83","242,291.71","435,317.52","594,503.53","85,947.60","1,079,195.86","1,419,524.98","1,664,525.12","217,237.13"
管理费用,"7,644,032.18","9,478,872.99","16,614,931.78","13,991,822.32","21,753,004.18","6,197,750.80","12,116,723.70","19,081,161.69","27,036,119.39","6,310,744.40","12,078,379.45","18,607,873.55","24,465,074.65","6,308,394.46","13,153,337.60","20,464,404.42","29,116,461.80","13,036,745.59","28,718,420.22","46,255,030.57","68,921,683.84","17,714,896.97","37,324,970.61","57,870,035.89","79,481,335.58","16,804,260.76","29,885,509.35","47,458,774.36","66,585,138.10","18,651,082.72","40,435,683.42","56,942,239.96","74,680,274.03","13,510,512.73"
其中:非流动资产处置净损失,,,,,"3,980.00",,,,,,,,"9,960.02",,"1,416.73",,"10,485.40",,,"314,501.03","861,424.56","55,742.54","156,557.83","589,863.11","1,255,911.97","30,910.38","217,563.38","410,589.19","567,775.20","85,847.60","1,079,088.56","1,394,017.88",,
