科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"363,627,101.51","487,910,899.63","545,226,557.37","138,593,798.65","274,567,841.23","383,150,300.77","487,366,172.95","121,112,551.91","301,016,122.15","463,927,834.70","584,618,875.29","137,778,515.21","398,816,686.51","634,394,619.57","657,803,441.83","285,615,579.34","518,469,622.50","797,755,456.83","917,451,999.42","365,066,408.16","934,822,596.93","1,587,542,232.97","1,981,535,396.97","434,492,632.35","893,831,418.37","1,287,770,179.59","1,743,230,062.69","412,957,393.54","882,648,060.43","1,409,526,535.54","2,707,438,890.58","497,290,076.83","1,258,202,354.40","2,286,204,006.82"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,"659,887.19","659,887.19",,,,,,,,,,,,,,,,"712,530,798.76",,"309,800,000.00","309,800,000.00"
收到的税费返还,"196,978.92","2,535,552.62","7,455,162.46","3,038,646.75","7,033,922.31","16,325,304.64","18,667,850.87","6,441,999.95","12,867,397.31","23,267,217.76","39,748,053.88","9,310,843.75","16,855,897.54","27,764,884.65","33,681,877.86","3,309,743.29","4,917,889.10","27,340,034.70","38,852,369.81","5,770,044.09","22,743,037.25","44,879,572.38","55,297,826.04","13,038,587.79","25,692,319.18","37,365,035.56","50,579,718.12","10,321,157.40","19,473,639.91","47,397,179.45","78,957,201.32","16,433,904.90","49,205,615.23","69,926,036.69"
支付其他与投资活动有关的现金,,,"6,230,000.00","3,870,376.86","4,585,000.00","8,225,000.00","412,916,860.00","10,271,100.00","19,829,100.00","19,529,100.00","103,338,860.00","503,000.00","61,304,524.76","511,000.00","340,000.00","128,000.00","128,000.00",,,,"5,210,000.00","6,095,600.00",,"14,203,560.00",,"465,000,000.00",,"10,000.00",590.00,590.00,,,,
收到其他与经营活动有关的现金,"2,181,003.25","8,388,997.77","4,177,758.06","6,004,707.43","2,157,110.57","7,356,567.73","18,225,732.32","2,109,796.81","2,113,429.19","6,317,400.16","7,804,871.37","878,549.85","679,391.13","7,885,306.80","37,028,616.16","3,855,189.89","9,848,801.16","16,601,294.14","15,351,521.53","1,489,287.10","21,824,241.69","6,013,120.75","36,321,737.25","36,111,108.20","77,975,323.33","130,245,663.63","88,987,115.70","53,486,397.25","121,057,234.66","296,309,701.37","25,037,259.19","386,377,455.49","218,599,439.89","535,456,764.97"
投资活动现金流出小计,"107,461,052.79","79,927,000.40","25,969,396.86","9,906,318.23","87,169,113.37","149,985,621.76","590,393,319.72","61,686,389.08","146,114,565.13","210,548,549.21","364,361,245.00","122,994,828.20","434,914,149.87","547,369,414.80","437,282,554.27","87,340,964.28","57,761,419.46","77,035,427.99","385,617,201.10","6,388,536.31","22,514,191.98","51,962,942.54","132,709,624.77","62,951,621.33","113,496,827.90","729,679,867.82","743,260,251.91","240,239,032.79","487,955,645.81","744,172,198.50","1,447,878,849.97","325,077,496.53","635,316,169.58","812,624,671.51"
经营活动现金流入小计,"366,005,083.68","498,835,450.02","556,859,477.89","147,637,152.83","283,758,874.11","406,832,173.14","524,259,756.14","129,664,348.67","315,996,948.65","493,512,452.62","632,171,800.54","147,967,908.81","416,351,975.18","670,044,811.02","728,513,935.85","292,780,512.52","533,236,312.76","841,696,785.67","971,655,890.76","372,325,739.35","979,389,875.87","1,638,434,926.10","2,073,154,960.26","483,642,328.34","997,499,060.88","1,455,380,878.78","1,882,796,896.51","476,764,948.19","1,023,178,935.00","1,753,233,416.36","2,811,433,351.09","900,101,437.22","1,526,007,409.52","2,891,586,808.48"
投资活动产生的现金流量净额,"-107,459,052.79","20,686,781.08","-25,969,396.86","-9,906,318.23","-80,939,113.37","-143,755,621.76","-584,163,319.72","63,067,795.83","-10,699,776.07","94,857,356.28","56,714,382.96","-51,650,507.35","-345,392,403.11","-442,322,366.16","-351,199,998.71","-87,000,964.28","-57,421,419.46","-76,695,427.99","-135,004,742.63","-4,614,036.31","-20,772,800.92","-50,305,906.48","-132,709,624.77","-62,951,621.33","-113,496,827.90","-714,574,194.00","-701,281,195.97","-9,526,874.79","105,191,156.52","75,965,539.66","-499,844,992.44","-298,761,169.80","-596,226,951.18","-762,825,184.78"
购买商品、接受劳务支付的现金,"240,867,004.76","401,810,268.83","457,880,176.20","154,557,470.12","303,077,573.67","440,442,300.83","572,459,948.81","186,316,954.89","376,943,157.82","496,024,412.35","636,043,542.00","133,923,382.26","317,340,435.90","487,566,678.26","728,037,081.80","196,766,736.21","475,132,892.85","829,421,970.33","1,031,865,709.42","374,738,336.45","758,064,798.10","1,194,006,304.97","1,359,050,574.76","367,598,146.46","754,719,248.69","1,069,426,144.59","1,344,199,395.77","283,503,521.47","670,328,289.01","902,075,119.84","1,972,701,085.20","478,406,429.34","1,032,240,724.93","1,721,919,434.34"
吸收投资收到的现金,"10,700,000.00",,"8,192,724.00","4,096,175.18","606,352,315.88","609,626,155.88","611,623,235.88",,"6,544,000.00","8,591,904.00","8,591,904.00","100,000.00","250,000.00","250,000.00",,"8,560,075.87","8,560,075.87","8,560,075.87","8,560,075.87","2,400,000.00","2,400,000.00","2,400,000.00","2,400,000.00","279,608.00","955,292,606.55","955,292,606.55","950,952,605.55","72,846.00",,,,,"196,000,000.00","196,000,000.00"
