科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"195,963,059.23","206,143,219.36","272,044,333.96","172,570,881.42","270,170,865.99","361,220,699.85","75,432,669.49","169,516,506.08","251,294,832.68","331,367,606.02","76,953,210.33","168,722,589.65","250,165,701.47","365,359,516.91","78,227,709.35","470,747,444.62","754,222,388.74","1,190,269,651.33","222,358,451.97","484,535,254.56","837,150,317.44","1,294,785,921.22","297,657,638.21","612,612,696.53","1,084,795,925.90","1,533,388,298.62","262,267,377.42","1,048,804,168.90","2,337,308,088.86","4,684,845,398.24","854,251,183.72","2,264,849,227.98"
二、营业利润,"30,356,446.98","38,251,222.46","50,215,214.23","38,358,251.02","59,131,011.18","78,628,346.31","18,833,540.72","42,236,902.00","62,855,674.41","72,666,296.70","20,056,473.17","36,974,293.38","47,556,697.85","65,122,734.02","19,049,813.10","80,754,871.43","99,575,178.49","152,247,664.09","2,575,426.87","30,134,948.39","53,623,437.25","100,926,666.61","21,143,635.49","46,210,919.09","102,982,961.82","132,728,111.51","15,999,309.76","81,451,515.54","194,682,696.40","610,691,530.44","24,421,485.67","250,047,206.22"
减:营业成本,"141,860,551.21","142,041,315.57","181,809,896.79","111,875,651.16","174,939,000.96","235,040,365.12","48,988,711.66","108,219,268.86","160,373,212.58","213,512,374.40","50,357,925.74","109,280,759.14","163,034,695.22","234,619,485.61","48,264,825.76","322,169,745.29","540,386,944.28","866,435,842.40","176,731,462.83","358,459,853.35","629,878,711.12","971,811,590.51","219,517,051.92","449,999,922.31","798,441,279.44","1,130,808,789.24","186,291,311.08","775,618,433.41","1,823,404,514.93","3,638,414,236.73","709,505,830.47","1,775,457,574.03"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,312,505.79","1,193,623.52","910,951.72","1,012,085.55","1,750,525.78","2,644,839.07","822,185.99","1,335,823.04","2,117,826.89","2,943,368.23","658,029.80","1,132,785.28","1,682,968.45","1,990,812.17","726,710.75","1,292,969.43","1,801,691.80","1,864,993.58","308,099.03","393,793.48","1,187,703.15","2,220,266.20","2,073,900.65","2,514,639.01","2,981,665.01","7,360,886.31","1,439,394.03","7,226,277.53","9,975,810.94","16,049,820.40","2,659,126.93","6,238,148.79"
营业外收入,"781,727.81","823,404.07","1,621,875.88","1,585,664.73","2,052,452.25","10,227,421.49","19,577.87","3,101,448.87","3,132,471.77","3,423,372.93","670,073.63","694,768.53","754,605.60","1,923,126.01","17,134.59","1,398,292.00","1,690,753.19","6,477,830.62","7,506,501.93","8,851,947.77","11,994,486.42","16,154,402.76","3,149,233.64","29,806,601.91","31,426,965.92","49,946,290.38","1,403,222.81","107,877,067.28","127,592,755.50","57,189,726.52","3,067,347.37","6,106,918.83"
销售费用,"5,779,300.32","7,153,842.53","9,192,735.75","8,407,294.08","13,296,304.14","17,125,532.47","4,343,753.23","9,268,770.29","13,690,737.74","21,818,487.02","2,668,734.62","11,760,424.83","14,034,572.86","26,121,739.08","4,394,224.23","29,513,288.08","45,486,260.70","85,483,918.12","12,587,074.82","34,625,325.56","57,988,617.21","87,827,744.62","16,910,321.46","40,340,804.05","63,856,424.46","95,285,024.28","19,241,565.09","52,160,001.05","94,982,174.90","194,985,415.28","30,895,127.83","77,103,528.78"
减:营业外支出,"531,066.83","119,806.24","32,986.85",200.75,200.75,400.75,,"6,554.89","222,000.00","222,195.00",705.63,"14,728.40","70,216.62","73,537.39","10,209.00","767,427.34","763,618.51","1,122,362.78","1,622,916.14","2,329,900.54","2,641,115.50","2,300,415.75","773,011.43","921,297.85","1,180,931.75","522,033.16",825.69,"18,993.31","20,770,522.89","20,951,982.48","234,790.08","297,261.98"
管理费用,"15,936,267.17","16,019,479.31","28,823,746.31","11,744,863.97","19,611,317.53","29,561,760.92","6,023,563.03","14,250,337.80","21,524,915.64","32,097,901.89","6,911,651.40","15,312,383.98","32,400,930.31","49,387,787.68","9,028,825.45","38,222,922.79","61,850,146.53","86,259,873.46","31,386,720.78","53,924,918.54","86,368,837.25","124,312,013.66","35,111,068.49","71,517,780.26","115,761,208.30","159,296,535.56","37,136,399.35","138,850,872.55","222,198,259.39","301,151,336.18","70,982,925.51","154,529,166.68"
其中:非流动资产处置净损失,"164,344.88","69,196.57","2,434.32",,,,,,,,,,,"14,724.12",,,,"6,839.09",,,,376.07,420.00,709.40,"26,226.55","141,469.13",825.69,846.92,851.07,,,
