科目,2007年1-6月,2008年1-6月,2009年1-6月,2009年度,2010年1-6月,2010年度,2011年1-6月,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"16,465,155.00","20,233,393.15","27,292,929.49","66,719,164.67","30,842,855.16","82,093,624.16","38,303,589.12","102,541,105.44","46,237,892.67","76,163,379.70","119,308,937.23","20,307,097.10","46,207,617.82","81,294,777.21","113,138,151.84","20,730,731.20","46,594,053.44","76,505,380.94","110,554,843.18","20,868,423.56","56,935,653.01","133,230,587.47","277,934,773.14","59,633,058.66","178,581,976.02","273,460,648.81","414,112,850.30","91,281,782.35","203,136,927.88","315,354,904.97","433,585,638.36","116,138,930.78"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,"173,452,489.45","170,825,395.28",,,,,"48,520,479.08","48,520,479.08","48,520,479.08","48,520,479.08",
收到的税费返还,,,"436,704.15","1,058,447.71","276,755.56","1,529,149.16","132,155.12","1,585,293.72","311,607.57","515,945.13","2,508,978.52",,"296,886.62","815,854.18","1,294,684.23","27,238.27","106,042.41","326,486.10","518,845.29","165,020.93","165,020.93","448,718.77","817,471.12","35,374.99","242,259.10","270,269.73","438,417.94","40,366.04","115,443.33","160,011.87","282,956.67","141,658.19"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,"2,354,746.57","1,059,635.96","2,018,653.65","216,540.50","2,383,044.49","3,300,880.10","6,065,304.33",,"34,000,000.00","61,500,000.00","86,850,000.00",,,"50,000,000.00","85,000,000.00",
收到其他与经营活动有关的现金,,"182,995.16","483,441.36","1,507,869.02","269,158.02","630,044.78","1,160,822.77","2,164,792.46","1,465,021.89","2,821,654.59","12,900,256.74","1,685,871.43","10,045,612.51","15,399,611.02","28,590,850.70","1,591,586.70","6,320,940.84","7,670,257.17","20,108,574.36","2,034,413.93","22,532,080.32","43,057,690.58","54,932,120.58","8,161,302.17","22,326,220.69","31,606,264.12","34,837,897.21","12,189,807.78","21,737,818.11","27,334,643.01","33,799,290.91","5,523,636.09"
投资活动现金流出小计,"61,428,965.00","210,511,138.19","359,391.21","29,872,111.86","19,766,612.18","22,469,756.89","3,863,687.01","10,881,626.68","18,572,631.43","40,139,345.94","79,218,808.04","3,062,154.08","12,931,383.22","18,097,328.73","41,360,027.15","175,932,202.41","298,119,130.15","421,954,940.74","706,924,486.45","38,123,539.03","233,582,954.76","301,872,787.24","342,980,370.85","24,039,824.04","68,584,205.61","105,550,997.12","193,246,807.53","55,407,312.73","75,376,680.83","133,825,088.36","193,075,458.44","14,118,032.00"
经营活动现金流入小计,"16,465,155.00","20,416,388.31","28,213,075.00","69,285,481.40","31,388,768.74","84,252,818.10","39,596,567.01","106,291,191.62","48,014,522.13","79,500,979.42","134,718,172.49","21,992,968.53","56,550,116.95","97,510,242.41","143,023,686.77","22,349,556.17","53,021,036.69","84,502,124.21","131,182,262.83","23,067,858.42","79,632,754.26","176,736,996.82","333,684,364.84","67,829,735.82","201,150,455.81","305,337,182.66","449,389,165.45","103,511,956.17","224,990,189.32","342,849,559.85","467,667,885.94","121,804,225.06"
投资活动产生的现金流量净额,"-25,055,582.25","-5,033,731.21","-358,651.21","-29,865,851.86","-19,766,612.18","-22,466,886.89","-3,623,687.01","-10,641,626.68","-18,572,631.43","-40,139,345.94","-79,197,325.04","-3,062,154.08","-12,931,383.22","-18,097,128.73","-41,359,227.15","-175,894,202.41","-298,070,630.15","-201,198,253.06","-150,520,504.25","-38,123,539.03","-150,475,860.59","-198,765,693.07","-226,081,237.95","-24,039,824.04","-68,562,205.61","-105,526,297.12","-106,322,539.53","-55,407,312.73","-74,376,480.83","-122,024,888.36","-110,588,093.16","-8,822,629.65"
购买商品、接受劳务支付的现金,"4,567,586.01","7,853,320.34","9,729,958.12","16,125,150.89","8,720,008.64","16,070,375.54","11,245,646.76","20,197,078.36","12,128,824.62","20,618,999.74","26,079,631.76","6,205,571.95","13,790,137.18","18,412,130.88","24,080,707.17","6,450,455.91","12,229,645.73","23,849,909.51","32,297,366.02","6,987,041.96","20,323,946.34","57,816,334.61","104,970,927.10","63,940,128.29","90,148,274.98","130,609,788.91","173,020,542.77","68,067,508.33","141,169,071.70","213,808,983.10","296,510,963.21","74,271,192.54"
吸收投资收到的现金,,,,"2,500,118.71",,"2,250,000.00",,,"384,000,000.00","384,000,000.00","367,140,000.00",,,,,,,,,,,,,,"45,864,000.00","45,864,000.00","45,864,000.00",,,,,
支付给职工以及为职工支付的现金,"1,976,088.38","3,600,218.08","4,641,078.02","8,638,508.76","5,569,674.88","10,316,380.84","6,476,469.69","11,754,171.15","7,771,415.73","11,523,167.98","15,560,188.89","4,084,163.05","8,720,316.91","13,082,769.65","19,034,301.56","5,540,657.84","11,302,152.26","16,731,635.04","23,886,648.98","9,201,126.76","18,252,858.82","41,341,417.40","58,872,379.28","27,202,674.11","51,101,641.00","83,440,041.57","107,833,718.93","44,992,864.80","76,939,474.30","110,783,494.79","148,203,332.24","50,865,468.26"
取得借款收到的现金,,"10,000,000.00",,,,,,,,,,,,,,,,,,,,"150,000,000.00","21,400,000.00","12,500,000.00","37,870,000.00","37,870,000.00","42,870,000.00","49,540,000.00","129,680,000.00","207,680,000.00","217,680,000.00","49,586,408.00"
支付的各项税费,"2,696,843.57","4,362,808.45","3,963,857.47","9,579,542.02","4,687,291.61","11,834,177.81","6,641,379.34","14,988,836.45","7,518,048.58","14,206,032.03","18,330,634.56","3,423,901.97","6,933,122.52","12,346,402.25","17,333,216.81","2,869,102.90","6,514,151.00","10,022,660.52","12,862,330.74","2,739,958.52","6,080,631.53","12,626,739.43","18,518,500.87","6,276,932.96","10,831,798.55","16,646,682.49","18,133,712.44","6,978,333.00","13,900,151.79","20,657,430.51","26,783,531.71","6,187,187.57"
收到其他与筹资活动有关的现金,,"277,400.00",,"865,300.00",,"1,459,400.00",,,,,,,,,,,,,,,"16,282,984.86","16,282,984.86","150,000,000.00",,"200,000,000.00","200,000,000.00","250,000,000.00","152,000,000.00","152,000,000.00","218,000,000.00","268,000,000.00","105,000,000.00"
支付其他与经营活动有关的现金,"2,837,052.20","6,013,664.77","6,544,717.78","12,156,427.79","6,294,829.95","13,799,200.37","7,352,441.06","12,457,441.88","6,484,086.47","11,943,297.59","13,464,805.13","8,904,404.60","18,328,011.44","26,134,424.23","27,494,152.23","5,860,999.57","14,832,433.50","27,475,138.04","31,087,005.77","6,603,241.63","15,774,747.23","40,249,802.94","62,372,034.60","16,092,847.25","43,391,782.03","63,223,047.47","72,431,626.17","18,708,972.49","53,563,730.89","86,097,415.43","91,364,109.47","27,308,994.76"
