科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"648,497,011.62","852,101,385.12","799,770,005.19","477,166,278.61","705,650,296.11","1,020,830,165.88","251,572,257.15","531,699,143.08","788,612,212.09","1,142,867,740.08","665,383,120.58","1,585,354,134.67","2,356,608,518.02","2,949,373,452.42","835,143,742.00","1,862,745,966.48","2,618,694,886.55","3,780,635,599.25","931,061,565.51","1,907,834,548.40","3,060,496,591.27","4,290,796,446.36","776,228,316.83","1,686,124,600.12","2,479,569,808.81","1,421,868,787.73","670,490,520.62","1,499,894,062.99","2,258,950,045.72","1,529,987,658.66","693,945,326.75","1,890,565,632.33","2,899,372,695.14","1,273,260,745.31","1,042,585,594.92","789,918,198.13"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,"260,276,247.34","272,850,000.00","272,850,000.00","242,776,247.34","390,632,378.07","503,031,578.07","503,031,578.07","263,266,075.14",,"56,525,000.00",,,,,"132,000,000.00","164,721,279.23","52,000,000.00","52,000,000.00","66,200,000.00","32,000,000.00","318,940,000.00","408,940,000.00","451,940,000.00","147,805,812.16",,"53,960,000.00"
收到的税费返还,"19,414,194.03","14,346,884.08","22,027,436.15","15,569,402.25","17,941,901.20","19,634,473.74",,,"1,215,666.59","2,626,808.31",,"402,446.28","4,396,859.94","6,712,361.46",,,"2,047,979.76","5,008,169.40","1,271,845.41",,"5,287,977.24","3,282,268.49","4,481,986.82","7,209,498.42","11,810,683.42","5,467,846.06","4,727,268.04","7,067,268.04","11,060,866.26","13,807,024.52","320,000.00","1,103,658.79","13,359,702.37","15,038,731.42","2,904,953.62","12,959,998.14"
支付其他与投资活动有关的现金,,"6,091.89",,,,,,,,,"62,500,000.00",,,"50,000,000.00",,,,"35,715,533.38",,,,,,,,"5,000,000.00","3,100,000.00",,"10,520,458.00","7,400,000.00",,,,,,"30,000,000.00"
收到其他与经营活动有关的现金,"9,603,360.34","17,240,103.47","37,517,872.11","8,445,031.01","7,627,003.67","20,601,482.51","6,211,938.26","14,121,862.34","19,736,074.92","28,142,955.55","68,729,874.92","24,289,004.04","32,095,030.53","45,353,410.52","6,554,880.94","22,317,442.59","32,358,854.36","100,891,262.07","8,981,776.33","54,564,342.26","77,054,178.37","172,026,958.71","4,090,226.33","29,295,145.38","51,750,623.55","140,328,274.39","120,118,910.13","63,257,746.15","640,687,991.11","149,224,089.73","16,132,302.06","36,904,226.25","34,529,237.69","82,440,571.73","28,424,778.85","40,578,665.46"
投资活动现金流出小计,"52,710,410.85","46,315,667.84","58,499,538.04","52,162,076.64","94,138,058.19","116,298,747.46","301,608,311.27","340,665,643.35","389,228,349.46","434,660,767.96","386,880,573.45","392,992,762.36","447,059,866.49","543,467,158.11","435,902,310.97","579,442,217.55","714,155,809.10","859,379,624.73","35,462,223.19","140,695,761.93","172,382,783.18","338,313,781.70","81,587,939.20","164,773,921.20","371,757,241.31","451,534,909.93","94,367,112.12","161,908,088.19","281,502,968.08","240,324,995.44","445,461,779.11","635,936,453.12","771,409,665.90","733,295,639.91","96,289,292.71","208,165,025.03"
经营活动现金流入小计,"677,514,565.99","883,688,372.67","859,315,313.45","501,180,711.87","731,219,200.98","1,061,066,122.13","257,784,195.41","545,821,005.42","809,563,953.60","1,173,637,503.94","734,112,995.50","1,610,045,584.99","2,393,100,408.49","3,001,439,224.40","841,698,622.94","1,885,063,409.07","2,653,101,720.67","3,886,535,030.72","941,315,187.25","1,962,398,890.66","3,142,838,746.88","4,466,105,673.56","784,800,529.98","1,722,629,243.92","2,543,131,115.78","1,567,664,908.18","795,336,698.79","1,570,219,077.18","2,910,698,903.09","1,693,018,772.91","710,397,628.81","1,928,573,517.37","2,947,261,635.20","1,370,740,048.46","1,073,915,327.39","843,456,861.73"
投资活动产生的现金流量净额,"-51,235,848.69","-45,627,572.93","-57,754,894.59","-51,986,047.84","-86,169,832.34","-106,232,987.11","-301,608,311.27","-340,665,643.35","-389,228,349.46","-420,032,178.18","-386,099,670.67","-388,447,354.52","-439,233,668.34","-536,045,758.11","-435,901,160.97","-579,356,067.55","-714,069,659.10","-818,106,914.00","-17,462,223.19","-122,683,261.93","-154,335,549.01","-272,922,752.00","-72,587,939.20","-155,773,381.20","-362,756,701.31","-434,321,209.07","-64,025,980.31","-131,566,956.38","-251,161,716.27","-186,481,236.22","-445,461,779.11","-635,936,453.12","-771,409,665.90","-715,769,819.80","-96,289,292.71","-206,280,412.38"
购买商品、接受劳务支付的现金,"531,023,469.05","715,134,752.13","588,172,160.16","363,894,274.57","533,829,991.67","817,908,910.56","183,324,467.30","492,560,717.71","752,505,056.66","996,155,913.23","533,693,354.74","1,415,313,352.68","2,157,703,348.64","2,631,718,645.83","684,571,991.50","1,501,105,658.24","2,045,575,776.53","2,987,539,839.68","798,417,833.52","1,596,254,582.93","2,630,269,445.86","3,711,376,754.13","743,467,585.03","1,544,916,870.94","2,136,104,028.53","982,095,067.02","494,583,918.89","1,053,265,075.29","1,557,308,935.62","703,213,823.11","594,668,942.34","1,532,217,996.37","2,207,444,614.64","466,852,236.40","944,802,008.85","580,404,996.68"
吸收投资收到的现金,,,,,"1,345,511,632.32","1,345,404,000.00",,,,,,,,"40,920,000.00",,"35,000,000.00","35,000,000.00","35,000,000.00","9,225,000.00","80,750,000.00","14,225,000.00","14,225,000.00",,,"460,562,243.80","460,562,243.80",,,"9,200,000.00",,,,,,,"771,328,366.04"
