科目,2009-12-31,2010-12-31,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"98,042,825.30","513,860,213.27","684,331,131.49","1,918,153,356.56","1,935,047,281.34","2,020,570,360.51","1,956,241,910.51","2,006,036,725.96","1,825,136,563.99","1,842,372,548.68","1,158,517,938.06","938,183,683.26","830,284,546.27","1,520,351,993.43","1,355,283,637.45","1,496,941,528.53","1,133,613,233.63","1,251,352,636.22","287,082,614.66","620,576,416.93","230,898,219.81","427,244,538.71","384,895,832.12","369,722,368.75","301,962,246.30","531,417,930.28","332,153,826.24","423,369,452.79"
短期借款,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,"600,000.00",,,"2,500,000.00",,"300,000.00",,,,,"150,000.00","1,150,000.00",
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"12,634,854.28","49,440,369.19","73,035,253.79","151,610,107.16","187,958,720.56","242,618,327.62","286,362,301.00","284,609,060.03","304,757,886.28","308,891,260.94","348,730,207.16","383,467,125.18","439,150,748.78","441,624,434.89","565,672,003.42","542,057,645.64","552,296,589.97","526,665,650.88","518,113,985.42","530,356,044.42","595,830,378.92","479,164,019.00","448,666,926.56","404,508,604.52","424,494,932.15","405,470,845.93","397,129,185.42","398,084,700.98"
应付账款,"3,429,610.05","13,214,531.67","15,904,587.73","27,117,286.20","25,389,877.88","42,318,749.34","48,571,508.61","36,538,860.24","36,261,671.35","75,878,518.53","68,047,091.66","54,789,807.81","73,761,675.66","113,010,149.46","135,387,330.79","126,300,232.39","126,279,985.79","141,416,529.86","128,796,689.87","139,553,642.70","122,250,992.86","189,855,152.22","189,372,688.08","160,403,989.91","170,114,586.48","168,905,949.90","168,169,884.03","148,640,336.25"
预付款项,"5,883,652.04","1,582,770.86","17,144,967.87","7,382,166.28","13,132,750.46","19,184,085.77","28,072,796.08","21,699,174.85","20,027,686.74","54,106,410.54","65,208,275.48","65,448,403.89","101,907,789.67","63,254,886.49","76,650,694.17","84,608,296.46","82,567,483.95","24,752,267.61","33,083,801.50","30,295,726.41","34,145,027.07","20,370,717.40","52,355,896.93","35,380,418.37","29,982,635.08","25,425,195.02","26,827,773.07","34,417,780.90"
预收款项,"17,833,149.32","70,478,307.91","144,653,959.65","114,545,346.73","127,057,873.20","159,587,419.39","148,190,479.16","130,034,114.65","173,632,519.10","135,152,671.81","123,007,076.82","131,477,624.73","155,258,697.19","166,220,006.94","157,584,158.44","140,981,344.68","151,268,875.28","183,985,848.25","151,494,394.68","169,749,831.64","184,108,950.61","218,877,297.41","242,834,167.81","253,962,095.19","248,874,108.66","421,428,563.87","406,876,663.84","400,888,471.49"
其他应收款,"2,920,311.23","13,243,988.05","9,029,595.30","13,007,807.37","12,685,342.46","21,507,823.48","26,006,581.07","18,783,762.28","102,561,931.55","40,820,921.82","50,461,135.13","60,342,761.87","91,886,695.33","48,133,305.76","35,604,975.38","51,283,699.93","40,802,604.80","39,941,152.60","161,978,028.98","211,637,109.55","175,588,804.72","24,090,616.26","25,000,765.33","45,917,815.32","31,908,913.99","77,217,183.23","20,426,439.06","22,108,526.28"
应付职工薪酬,"1,259,824.50","2,375,526.83","7,861,294.14","9,149,859.60","7,452,376.19","16,870,871.04","6,624,939.38","8,927,267.99","5,701,637.62","20,187,156.71","10,384,611.79","8,570,768.19","6,647,483.00","14,156,366.65","8,971,138.93","7,487,496.58","9,107,587.96","20,487,632.80","6,905,228.92","10,714,427.67","7,203,829.96","22,432,331.65","7,716,796.23","10,203,629.71","3,791,714.79","19,408,534.54","9,107,393.64","9,341,666.54"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"9,490,043.57","-633,544.45","4,389,082.51","4,527,758.28","1,499,941.20","22,106,155.08","18,191,012.08","16,223,963.40","14,559,419.80","24,985,686.24","24,071,014.93","41,845,222.57","57,381,344.08","47,243,419.62","32,140,649.38","26,090,093.60","34,167,077.89","39,190,703.35","40,331,321.55","29,333,233.42","30,915,099.45","43,433,651.15","29,204,520.03","10,761,036.97","8,323,484.94","23,729,454.34","12,147,004.12","15,665,358.22"
