科目,2007年度,2008年度,2009年度,2010年1-6月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"158,477,832.71","258,899,388.44","444,988,990.81","279,446,528.11","567,083,075.21","144,107,528.02","295,476,745.41","429,651,201.72","570,829,285.17","118,391,132.69","230,125,210.32","350,154,585.02","470,138,437.47","138,829,378.06","327,354,174.27","541,068,924.84","785,623,928.13","305,526,585.26","429,455,786.48","614,534,263.73","924,561,518.01","99,454,971.81","306,682,526.21","432,987,761.48","654,171,249.62","118,062,743.31","281,714,333.65","516,638,252.65","1,130,563,777.81","144,960,029.89","305,468,541.21","474,244,570.01","638,236,192.35","127,510,621.63","277,507,373.35","417,414,149.75","593,638,132.46","134,477,812.71"
二、营业利润,"36,455,893.54","59,309,584.19","209,076,591.71","82,950,849.91","153,497,943.22","21,745,842.01","65,776,075.62","99,348,919.07","106,333,438.41","-16,321,553.08","-53,905,425.39","-127,383,899.78","-287,244,197.89","-94,683,808.32","-150,429,075.64","-199,749,838.40","-127,886,523.91","-8,364,100.23","-6,500,597.64","61,724,493.31","247,198,075.17","33,011,747.46","10,642,517.26","-122,670,667.74","-423,007,499.82","-168,223,529.65","-232,703,436.61","-744,054,624.32","-1,565,037,257.52","-74,604,430.46","-93,893,149.68","459,785,768.31","420,336,315.15","2,792,537.67","16,010,344.55","22,964,593.69","173,402,031.52","-2,272,973.51"
减:营业成本,"55,391,228.99","97,687,422.62","72,478,702.29","49,308,788.23","116,506,801.77","40,950,185.36","80,580,296.04","121,227,674.39","165,406,477.03","39,050,058.13","78,660,593.13","115,705,546.97","161,234,542.82","41,598,833.33","82,511,417.78","126,468,990.34","176,221,608.79","56,115,867.21","179,469,212.53","272,428,439.00","397,914,012.35","53,107,397.46","116,434,508.59","174,357,454.41","237,820,936.84","52,733,801.35","99,871,883.66","156,453,915.04","1,662,196,236.44","71,120,187.17","146,969,551.72","204,157,799.85","252,929,801.71","57,022,340.59","119,362,982.65","187,359,756.16","248,924,618.31","61,875,791.90"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"7,970,783.22","13,396,682.86","23,639,972.06","11,632,858.97","20,584,248.02","4,134,473.41","8,257,526.42","11,603,120.56","15,331,994.48","2,701,004.27","5,011,685.49","7,350,314.25","9,474,477.66","2,761,977.38","7,060,921.87","11,547,892.18","24,080,225.85","10,302,352.35","9,368,273.16","16,596,999.32","21,864,174.79","1,412,790.30","3,216,845.83","4,916,713.72","6,366,018.38","1,755,800.82","2,123,448.54","2,353,456.91","4,781,742.93","298,041.98","-683,043.66","132,823.12","1,296,924.46","381,042.18","70,407.13","-896,440.25","-780,167.23","-1,225,173.59"
营业外收入,"129,000.00","1,974,752.22","7,127,115.38","6,640,695.24","25,454,209.62","24,000.00","224,000.00","3,524,000.00","14,508,700.00","337,157.00","638,933.57","5,349,532.80","27,756,319.79","3,148,070.91","8,622,747.43","10,956,931.69","37,502,306.06","11,362,620.56","24,530,036.56","25,892,893.05","37,913,216.01","3,682,304.71","4,342,073.24","6,439,208.18","9,931,400.27","3,025,413.06","14,196,259.26","15,244,256.22","21,943,232.31","1,464,829.46","24,535.59","28,262.40","3,396,669.58","1,540,741.34","1,540,741.35","1,943,692.50","2,593,926.66","2,192,492.77"
销售费用,"41,156,706.57","55,899,197.68","87,933,501.42","88,086,664.93","168,261,912.79","35,355,086.36","88,574,008.70","125,201,176.70","184,695,071.14","44,756,114.74","95,213,217.77","167,211,538.67","269,687,845.07","85,114,047.14","186,527,119.07","290,141,715.30","453,592,932.62","181,137,559.93","354,893,377.84","477,940,866.26","587,074,543.71","84,655,880.46","152,993,930.28","256,451,680.49","371,734,783.93","78,507,851.50","153,770,059.48","337,788,499.79","495,844,164.11","51,496,330.05","77,568,735.06","98,693,797.05","124,245,484.33","21,455,803.54","40,976,740.19","61,060,415.38","89,397,830.51","21,750,799.01"
减:营业外支出,,"103,000.00","15,339.48","100,000.00","150,000.00",,"3,543.46","3,543.46","73,543.46",,"50,000.00","50,000.00","571,382.78","74,181.28","165,852.32","171,061.06","208,051.39","527,694.17","627,981.94","929,732.59","2,677,573.37","47,006.87","3,938,256.05","4,475,026.47","10,740,932.82","85,999.88","2,075,580.68","3,018,458.68","192,844,961.69","115,489.48","680,514.83","879,632.60","28,223,389.30",,"39,084,269.82","53,891,642.06","56,212,269.29","4,558,835.72"
管理费用,"18,133,231.59","32,503,058.78","50,770,617.45","50,191,143.17","112,311,902.31","43,442,326.18","84,056,597.69","123,615,379.65","170,588,637.66","69,604,951.42","153,443,151.59","265,761,760.54","412,714,155.40","132,467,600.25","243,510,628.56","374,419,316.44","524,032,301.58","180,434,086.29","336,096,428.47","479,026,045.15","608,957,346.11","135,872,748.59","241,541,681.02","348,421,452.90","501,106,657.89","158,112,583.57","276,245,145.40","786,298,764.97","510,893,039.66","96,318,228.87","180,006,966.83","257,213,920.99","347,964,190.47","56,579,962.94","118,392,318.24","118,252,415.00","165,720,315.30","38,644,612.48"
其中:非流动资产处置净损失,,,"15,336.00",,,,"3,543.46",,,,,,"431,374.45",,,,"33,561.08",,"42,861.33",,"280,103.87","35,175.47","435,120.65","820,891.07","3,213,739.18","64,134.75","53,699.43","53,699.43","363,685.41","4,023.66","319,357.80","353,475.57",,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
