科目,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"179,354,236.16","111,118,658.39","187,850,348.28","195,537,433.53","181,442,848.49","565,889,312.00","197,424,781.26","199,815,655.03","272,383,256.02","245,815,298.06","222,792,115.13","242,412,876.65","270,759,543.84","199,675,832.98","330,404,332.28","230,274,310.75","841,121,978.27"
短期借款,"277,478,681.54","199,145,834.48","353,397,763.79","337,998,792.44","292,977,684.66","324,673,447.85","161,352,080.05","39,374,559.65","37,532,042.29","5,078,090.33","22,911,230.46","67,301,556.34","4,974,307.98","54,260,000.00","510,205,534.32","437,010,000.00","9,946,131.88"
交易性金融资产,"145,206.00",,"3,377,155.15",,,,,"1,763,786.00",,,,,,,,,
交易性金融负债,,,,"5,807,500.00","1,866,647.00","3,167,760.00","998,966.00",,"2,308,931.00","4,342,038.00","1,317,376.00","1,960,307.00","1,059,670.00","188,373.00","2,653.96","288,145.64","411,058.13"
应收票据,"4,459,628.42","2,308,270.00","2,610,000.00","16,193,715.90","11,619,263.20","10,070,462.40","14,087,052.74","45,246,238.89","40,645,361.55","20,694,789.60","16,878,481.35","53,611,998.51","40,364,963.31","9,933,241.21","19,840,863.45","41,340,124.76","88,174,428.75"
应付票据,,"32,500,000.00",,"10,000,000.00",,,,"50,000,000.00","50,000,000.00",,"20,000,000.00","20,000,000.00","20,000,000.00",,,,
应收账款,"56,953,718.29","77,758,784.69","63,407,954.98","164,199,473.26","110,616,754.02","85,409,343.81","111,463,330.35","170,605,439.62","129,258,319.96","86,549,097.82","130,511,795.11","178,384,229.06","129,660,341.31","93,098,517.85","147,567,795.85","211,620,222.72","176,467,073.74"
应付账款,"195,535,104.11","183,454,842.77","181,478,535.69","147,789,232.67","170,768,966.35","197,656,893.69","125,122,266.87","157,060,433.40","121,733,224.58","197,148,037.76","178,719,369.75","256,242,608.16","205,021,333.53","271,887,894.17","201,316,759.33","148,781,671.82","164,895,400.76"
预付款项,"14,711,843.22","5,658,229.60","2,558,619.05","3,317,622.44","2,439,888.87","1,535,711.23","3,875,465.63","3,688,733.00","7,565,926.03","2,859,545.71","4,233,890.27","3,230,202.93","4,264,545.42","7,257,278.85","21,694,813.86","9,071,965.87","3,858,163.05"
预收款项,"20,268,533.45","20,604,856.03","19,229,170.09","14,521,179.90","8,935,566.36","11,669,512.15","25,453,214.97","19,962,555.68","23,697,249.77","16,903,564.77","25,816,067.49","20,997,684.85","15,589,245.19","27,464,765.72","39,049,318.36","24,362,114.27","22,965,559.13"
其他应收款,"6,047,104.91","11,612,343.89","8,473,445.96","5,246,058.79","7,557,339.58","5,468,835.00","6,038,231.89","5,162,066.19","3,511,658.44","7,265,123.91","6,376,782.93","4,464,020.86","5,052,701.11","3,524,943.96","5,370,688.55","3,583,793.75","4,328,796.17"
应付职工薪酬,"27,963,789.37","32,442,397.68","32,628,871.19","25,504,271.63","38,344,543.70","36,192,420.56","22,037,076.99","33,966,667.12","40,434,239.22","39,838,077.93","22,693,056.49","35,756,233.49","43,472,638.99","44,697,308.94","24,586,345.24","39,517,275.94","50,383,765.90"
应收关联公司款,,,,,,,,,,,,,,,,,
