科目,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"131,617,051.46","176,826,382.14","297,808,181.80","306,883,507.54","307,776,448.92","950,913,416.67","869,638,389.50","912,526,569.95","617,812,957.03","573,123,081.99","325,402,236.63","312,390,302.00","414,833,601.73","134,905,090.30","558,342,709.31","421,025,710.03","436,222,913.47","661,374,572.03"
短期借款,,,,,,,,"28,265,000.00","40,265,000.00","27,565,000.00","39,211,800.00","28,735,000.00",,"30,000,000.00","350,000,000.00","350,000,000.00","370,000,000.00","385,902,777.77"
交易性金融资产,,,,,,,,,,"287,125,360.19","158,182,436.11","395,786,904.00","212,720,768.36","219,250,132.37","129,017,661.07","114,224,342.76","95,420,762.18","99,377,155.01"
交易性金融负债,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,
应付票据,"588,618.00",,,,,,,,,,"2,000,000.00",,,"70,000.00",,,,
应收账款,"28,792,169.23","36,649,565.37","36,610,433.75","46,958,596.47","33,174,768.35","54,422,429.62","53,729,978.73","60,156,371.23","60,950,977.97","61,265,274.46","46,836,768.21","60,520,341.09","48,391,989.05","57,780,506.05","327,906,239.91","346,498,445.24","335,592,612.50","527,186,412.40"
应付账款,"21,168,399.41","38,426,490.06","34,242,848.64","18,754,690.76","44,813,639.85","32,254,140.82","31,966,452.84","16,266,558.29","44,680,151.58","33,163,854.72","26,249,141.12","20,474,647.77","24,120,469.97","30,956,616.25","632,535,588.32","89,924,115.44","199,897,153.94","173,547,303.21"
预付款项,"7,440,460.95","7,463,086.59","9,465,738.00","10,209,053.63","13,292,380.35","11,245,015.50","19,455,525.49","14,806,223.36","13,093,238.03","10,268,446.58","9,740,817.63","9,443,674.38","8,323,742.00","11,368,332.24","70,013,217.13","47,206,810.19","77,564,189.20","33,364,341.93"
预收款项,"3,138,247.81","2,217,352.13","2,623,903.19","1,631,004.55","2,588,729.43","1,191,674.15","1,961,737.39","5,544,463.88","7,212,034.41","5,032,331.36","4,436,243.21","3,415,654.29","3,654,669.45","6,823,601.76","49,492,857.26","32,876,134.37","11,076,347.68","13,308,538.78"
其他应收款,"4,439,418.81","5,336,583.34","7,879,219.29","13,645,334.21","11,247,435.55","9,850,549.72","14,263,109.06","14,157,544.40","20,956,495.02","14,714,397.63","22,690,328.78","20,426,462.66","28,871,070.35","23,247,809.11","44,046,787.27","49,032,147.07","51,754,233.61","41,339,238.83"
应付职工薪酬,"9,192,825.57","12,785,799.29","14,609,347.46","15,255,073.13","16,351,824.59","20,218,744.17","17,953,036.03","16,443,805.77","22,161,481.21","17,520,060.54","16,534,142.68","15,956,870.96","16,546,915.42","18,070,860.97","43,857,157.60","45,231,106.29","47,477,146.35","63,600,052.95"
应收关联公司款,,,,,,,,,,,,,,,,,,
应交税费,"19,330,246.29","23,074,398.84","8,981,740.09","13,543,394.77","23,776,811.74","21,027,234.03","24,902,195.42","12,973,031.39","18,667,301.34","20,026,301.11","21,321,285.34","26,248,505.44","13,906,860.52","19,403,215.79","54,576,372.55","41,721,361.53","46,290,095.56","107,472,172.27"
应收利息,,,,,,,,"3,694,842.66","770,500.00",,,,,,,,,"97,036.53"
