科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"470,208,598.73","492,740,464.05","450,249,088.71","77,954,600.00","179,325,995.16","292,645,807.23","489,484,975.18","119,158,137.94","270,317,608.67","434,798,315.34","664,109,519.77","788,142,570.32","1,929,652,907.34"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,"75,725,879.75"
收到的税费返还,"11,269,628.34","11,757,096.22","11,024,167.39","1,741,300.00","4,331,254.80","10,673,734.77","15,416,349.60","5,069,267.86","10,548,720.00","16,302,467.86","22,186,787.86","6,160,320.00","12,309,600.00"
支付其他与投资活动有关的现金,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"2,403,427.26","5,564,482.36","20,095,329.03","2,578,000.00","4,545,184.42","6,321,423.34","9,791,121.47","6,174,235.36","18,420,343.52","18,253,042.23","15,134,235.14","64,658,770.08","19,569,953.94"
投资活动现金流出小计,"33,107,007.12","38,914,080.19","18,105,535.00","3,297,400.00","7,574,152.40","238,469,412.67","535,752,404.52","83,343,739.05","124,378,985.07","284,772,077.24","379,342,536.49","420,358,291.27","640,552,094.15"
经营活动现金流入小计,"483,881,654.33","510,062,042.63","481,368,585.13","82,273,900.00","188,202,434.38","309,640,965.34","514,692,446.25","130,401,641.16","299,286,672.19","469,353,825.43","701,430,542.77","858,961,660.40","1,961,532,461.28"
投资活动产生的现金流量净额,"-33,052,953.67","-38,901,610.15","-8,045,531.41","-3,160,700.00","-7,573,297.70","-167,726,608.93","-181,915,951.71","48,360,033.94","73,252,663.34","-4,250,810.98","-96,717,676.77","-203,766,865.53","-272,348,195.35"
购买商品、接受劳务支付的现金,"280,954,045.40","297,821,783.06","264,251,642.03","39,637,800.00","100,846,726.67","164,250,643.41","303,470,229.32","69,056,940.65","165,245,456.32","256,589,676.71","377,115,705.48","600,665,966.25","1,223,250,285.19"
吸收投资收到的现金,,,,,"173,556,800.00","173,556,800.00","173,556,800.00",,,"80,862,030.00","535,363,011.20",,
支付给职工以及为职工支付的现金,"68,041,409.78","77,999,396.35","79,411,393.58","20,915,900.00","37,459,019.22","57,689,511.91","83,563,510.75","24,646,074.31","49,295,480.46","79,427,513.02","110,493,140.34","92,818,336.19","207,580,241.96"
取得借款收到的现金,"33,500,000.00","27,500,000.00","12,000,000.00",,,,,,,,,"95,714,127.36","280,714,127.36"
支付的各项税费,"32,066,153.38","39,280,515.98","34,611,975.97","10,540,200.00","23,855,526.00","36,364,476.79","45,103,328.06","12,468,643.85","23,778,671.70","33,680,211.21","43,763,717.57","61,322,710.81","153,352,791.67"
收到其他与筹资活动有关的现金,,,"12,000,000.00",,"12,583,200.00","12,583,200.00",,,,,,"4,402.17","3,883,514.27"
支付其他与经营活动有关的现金,"39,868,716.58","67,782,833.39","40,958,461.75","19,302,200.00","26,487,252.06","42,646,659.13","51,222,035.44","18,849,161.33","40,268,359.09","53,246,655.21","69,379,529.28","136,833,212.49","285,383,774.72"
筹资活动现金流入小计,"33,500,000.00","27,500,000.00","24,000,000.00",,"186,140,000.00","186,140,000.00","173,556,800.00",,,"80,862,030.00","535,363,011.20","95,718,529.53","284,597,641.63"
经营活动现金流出小计,"420,930,325.14","482,884,528.78","419,233,473.33","90,396,100.00","188,648,523.95","300,951,291.24","483,359,103.57","125,020,820.14","278,587,967.57","422,944,056.15","600,752,092.67","891,640,225.74","1,869,567,093.54"
偿还债务支付的现金,"38,000,000.00","33,500,000.00","22,500,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00",,,,,"53,437,718.60","101,937,718.60"
经营活动产生的现金流量净额,"62,951,329.19","27,177,513.85","62,135,111.80","-8,122,200.00","-446,089.57","8,689,674.10","31,333,342.68","5,380,821.02","20,698,704.62","46,409,769.28","100,678,450.10","-32,678,565.34","91,965,367.74"
分配股利、利润或偿还利息支付的现金,"13,668,531.64","13,370,078.24","13,479,975.62","13,500.00","13,541.67","25,926,749.07","25,926,749.07",,"25,913,207.40","25,913,207.40","25,913,207.40","5,057,861.95","32,512,389.15"
收回投资收到的现金,,,,,,"70,520,000.00","351,800,000.00","131,200,000.00","196,200,000.00","276,200,000.00","276,200,000.00","216,000,000.00","366,600,000.00"
支付其他与筹资活动有关的现金,,"12,000,000.00",,,"7,129,348.79","7,229,348.79",,,,,"32,674,276.73",,"250,004.67"
取得投资收益收到的现金,,,,,,"221,803.74","1,875,546.72","503,772.99","1,431,648.41","4,319,216.26","6,404,468.26","491,289.74","1,254,342.66"
筹资活动现金流出小计,"51,668,531.64","58,870,078.24","35,979,975.62","2,013,500.00","9,142,890.46","35,156,097.86","27,926,749.07",,"25,913,207.40","25,913,207.40","58,587,484.13","58,495,580.55","134,700,112.42"
处置固定资产、无形资产和其他长期资产收回的现金净额,"54,053.45","12,470.04","60,003.59","136,800.00",854.70,"1,000.00","160,906.09",,,"2,050.00","20,391.46","100,136.00","349,556.14"
筹资活动产生的现金流量净额,"-18,168,531.64","-31,370,078.24","-11,979,975.62","-2,013,500.00","176,997,109.54","150,983,902.14","145,630,050.93",,"-25,913,207.40","54,948,822.60","476,775,527.07","37,222,948.98","149,897,529.21"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,
四、汇率变动对现金的影响,-138.88,"-5,713.66","-10,872.67",,,,"-2,756.81",,,,460.99,,"-60,369.88"
收到其他与投资活动有关的现金,,,"10,000,000.00",,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,
投资活动现金流入小计,"54,053.45","12,470.04","10,060,003.59","136,800.00",854.70,"70,742,803.74","353,836,452.81","131,703,772.99","197,631,648.41","280,521,266.26","282,624,859.72","216,591,425.74","368,203,898.80"
五、现金及现金等价物净增加额,"11,729,705.00","-43,099,888.20","42,098,732.10","-13,296,500.00","168,977,722.27","-8,053,032.69","-4,955,314.91","53,740,854.96","68,038,160.56","97,107,780.90","480,736,761.39","-199,222,481.89","-30,545,668.28"
购建固定资产、无形资产和其他长期资产支付的现金,"33,107,007.12","38,914,080.19","18,105,535.00","3,297,400.00","7,574,152.40","7,829,412.67","22,752,404.52","3,343,739.05","9,378,985.07","13,772,077.24","16,185,410.84","46,470,882.91","318,726,214.40"
期初现金及现金等价物余额,"104,158,096.57","115,887,801.57","72,787,913.37","114,886,600.00","114,886,645.47","114,886,645.47","114,886,645.47","109,931,330.56","109,931,330.56","109,931,330.56","109,931,330.56","737,729,620.56","590,668,091.95"
投资支付的现金,,,,,,"230,640,000.00","513,000,000.00","80,000,000.00","115,000,000.00","271,000,000.00","363,157,125.65","373,887,408.36","246,100,000.00"
期末现金及现金等价物余额,"115,887,801.57","72,787,913.37","114,886,645.47","101,590,200.00","283,864,367.74","106,833,612.78","109,931,330.56","163,672,185.52","177,969,491.12","207,039,111.46","590,668,091.95","538,507,138.67","560,122,423.67"
