科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"452,430,504.77","539,754,483.05","555,387,084.00","53,446,962.40","90,681,365.50","142,611,941.91","426,624,009.40","42,128,791.44","114,250,826.20","229,454,949.44","504,564,424.87","81,371,186.69","210,973,709.20","329,639,679.33","513,973,959.27","81,258,034.90"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,"51,457,196.55",
收到的税费返还,"11,908,846.97","11,886,457.80","8,554,611.62","6,424,506.69","7,560,032.50","11,843,289.93","16,156,646.29","7,449,169.72","9,938,020.10","12,475,418.57","17,142,073.55","2,224,433.68","3,162,234.28","8,149,200.94","11,392,502.41","2,921,022.83"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"6,039,318.80","4,437,134.83","3,763,025.47","511,985.66","1,120,841.35","1,701,111.72","2,650,659.25","705,021.78","2,414,979.13","3,444,785.99","17,816,931.73","4,502,086.65","15,945,800.11","22,034,204.52","57,303,780.76","3,384,484.55"
投资活动现金流出小计,"6,284,719.85","4,134,464.95","736,089.91","669,437.61","953,134.13","1,057,138.42","1,346,983.45","548,342.94","8,282,939.17","26,408,962.79","22,336,315.24","7,525,860.00","7,525,860.00","17,729,003.90","66,492,451.01","21,291,856.74"
经营活动现金流入小计,"470,378,670.54","556,078,075.68","567,704,721.09","60,383,454.75","99,362,239.35","156,156,343.56","445,431,314.94","50,282,982.94","126,603,825.43","245,375,154.00","539,523,430.15","88,097,707.02","230,081,743.59","359,823,084.79","582,670,242.44","87,563,542.28"
投资活动产生的现金流量净额,"-5,341,719.73","-4,116,464.95","-734,889.91","-669,437.61","-933,134.13","-1,037,138.42","-1,326,983.45","-547,442.94","-8,281,339.17","-26,405,867.79","-22,325,920.24","-7,524,860.00","-7,426,246.00","-7,236.45","-66,372,367.01","-21,245,962.64"
购买商品、接受劳务支付的现金,"265,357,915.98","364,733,858.11","358,334,043.24","195,312,613.53","247,222,713.55","336,520,118.66","445,874,341.25","90,868,619.40","210,725,976.83","313,395,716.88","502,368,987.37","162,945,180.03","313,703,336.30","452,047,580.28","600,647,573.29","96,333,954.71"
吸收投资收到的现金,,,,,"290,218,656.00","290,218,656.00","290,218,656.00",,"60,371,040.00","60,371,040.00","60,371,040.00",,,,,
