科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"84,335,102.10","144,288,250.72","264,974,947.01","318,660,003.64","291,952,429.11","1,083,580,240.85","1,167,187,881.51","1,029,528,797.86","995,762,763.59","839,281,967.37","842,919,363.42"
短期借款,"30,000,000.00","50,000,000.00","80,000,000.00","116,000,000.00","86,000,000.00","186,000,000.00",,,,,
交易性金融资产,"502,600.00","88,560.00","29,010,396.66",,"59,738,514.67",,,,,,
交易性金融负债,,"148,112.79",,,"320,735.00",,,,,"3,220,235.45","1,440,600.00"
应收票据,,,,,,,,,,,
应付票据,,,,,,,,,,,
应收账款,"151,691,004.36","237,199,613.50","211,945,146.69","212,649,469.19","152,189,241.26","294,939,871.14","204,655,130.07","249,285,967.81","240,572,793.28","450,609,343.92","363,472,283.43"
应付账款,"66,235,907.80","64,540,956.89","108,612,364.83","137,390,394.03","158,987,833.29","138,941,505.14","149,075,786.88","113,790,880.87","131,105,226.59","152,950,898.41","175,610,706.27"
预付款项,"3,937,710.60","6,968,818.99","18,411,808.83","23,654,815.00","28,449,210.23","8,642,209.99","68,373,535.20","26,498,519.40","95,001,708.91","17,014,666.14","101,097,596.62"
预收款项,"594,400.00","2,944,414.38","1,675,461.48","38,970,068.90","35,739,664.05","108,833,105.39","108,341,761.99","99,221,508.44","57,994,786.27","353,514.18","5,277,599.45"
其他应收款,"4,475,665.39","8,284,827.33","5,728,839.49","6,649,056.03","15,490,135.68","4,491,783.21","5,114,759.30","5,018,358.17","7,176,765.49","17,380,428.00","17,307,721.27"
应付职工薪酬,"13,326,275.60","19,594,805.02","31,706,765.03","23,271,821.62","30,194,566.78","45,611,473.96","22,719,490.15","25,139,391.54","23,866,248.44","27,390,761.48","23,067,428.38"
应收关联公司款,,,,,,,,,,,
应交税费,"5,284,608.10","25,196,207.93","10,708,494.99","14,673,395.08","21,362,131.18","18,441,628.79","10,753,621.23","9,450,668.09","14,517,281.45","28,310,254.76","14,813,699.77"
应收利息,,,,,,,,,,,
应付利息,"119,729.12","131,586.50","107,097.22","140,166.65","103,916.66","247,225.00",,,,,
应收股利,,,,,,,,,,,
应付股利,"3,921,164.32","235,622.04",,"30,709,004.71","1,275,652.06","1,275,652.06",,,,,
存货,"146,167,542.55","117,081,042.75","129,013,929.03","197,755,231.48","245,730,474.06","218,753,442.19","206,892,127.64","248,799,258.96","263,431,920.96","260,226,898.68","312,939,498.95"
其他应付款,"2,747,693.67","2,646,757.93","3,842,937.49","3,100,262.14","4,134,173.71","4,377,946.05","159,297,081.98","158,484,351.89","157,703,725.93","161,807,805.34","164,618,238.96"
其中:消耗性生物资产,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,
