科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
经营活动产生的现金流量净额,"43,025,806.36","67,083,283.18","85,932,932.83","17,101,086.18","42,106,472.19","65,119,379.27","129,120,619.18","-3,292,848.52","15,936,647.26","56,609,065.30","114,416,407.99","10,552,207.05","34,895,158.28","73,155,296.23","153,148,887.68","4,879,283.86","52,220,461.35","84,204,999.60","121,519,206.10","66,786,473.42","111,097,230.56","193,194,096.29","203,417,116.04","86,262,575.42","179,211,961.12","259,875,177.75"
分配股利、利润或偿还利息支付的现金,"1,600,000.00","14,200,000.00","270,000.00",,"39,847,540.21","39,847,540.21","44,000,000.00",,"60,175,815.41","60,402,809.04","66,000,000.90",,"66,000,000.00","66,000,000.00","66,000,000.00","111,749.69","68,192,635.33","68,192,635.33","68,397,810.43","90,529,456.38","90,636,431.38","90,636,431.38","90,636,431.38",,"121,954,655.62","121,954,655.62"
收回投资收到的现金,,"1,169,450.89",,,,,,"56,000,000.00","180,000,000.00","280,000,000.00","280,000,000.00","59,500,000.00","179,500,000.00","299,500,000.00","369,500,000.00","165,000,000.00","325,000,000.00","675,000,000.00","1,069,790,000.00","389,500,000.00","751,290,000.00","786,290,000.00","951,290,000.00","30,000,000.00","300,000,000.00","299,500,000.00"
支付其他与筹资活动有关的现金,,,,"650,000.00","5,223,000.00","5,223,000.00","9,203,844.00",,"91,333.41","91,333.41","91,333.41",,"116,383.59","116,383.59",,,"126,139.91","126,139.91",,,,,"9,413,795.34",,,
取得投资收益收到的现金,,,,,,,"5,815,060.15","1,344,808.21","3,097,230.43","3,606,819.47","3,606,819.47","4,464,152.78","5,799,933.59","14,653,822.84","17,969,100.62","2,537,773.97","4,549,929.45","8,701,392.16","11,919,538.03","3,839,463.01","6,378,511.84","6,393,950.20","7,860,059.79","522,630.14","3,549,667.58","3,549,667.58"
筹资活动现金流出小计,"1,600,000.00","14,200,000.00","270,000.00","650,000.00","45,070,540.21","45,070,540.21","53,203,844.00",,"60,267,148.82","60,494,142.45","66,091,334.31",,"66,116,383.59","66,116,383.59","66,000,000.00","111,749.69","68,318,775.24","68,318,775.24","68,397,810.43","90,529,456.38","90,636,431.38","90,636,431.38","100,050,226.72",,"121,954,655.62","121,954,655.62"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,,,"10,000.00",,,,,,,,,,,,,,"1,380.00","23,960.00","23,960.00",,"1,600.00","1,600.00"
筹资活动产生的现金流量净额,"-1,600,000.00","-5,200,000.00","-270,000.00","587,350,000.00","542,929,459.79","542,929,459.79","534,796,156.00",,"-60,267,148.82","-60,494,142.45","-40,988,614.31",,"-66,116,383.59","-55,412,223.59","-55,927,409.00","15,342,508.38","-40,780,854.17","-35,780,138.95","-36,082,692.62","-99,943,251.72","-100,050,226.72","-100,050,226.72","-100,050,226.72",,"-130,464,829.11","-111,337,229.11"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-58,714.01","427,360.48","120,163.85","219,779.23","82,431.41","-12,644.63","-267,073.96","-9,380.04","8,072.85","83,969.04","-36,568.61","52,220.50","-4,055.29","-5,065.72","-575,198.21","91,011.59","319,490.23","2,235,723.42","2,793,279.58","-226,203.53","664,087.01","592,949.56","1,050,818.80","855,031.55","-533,465.26","-550,474.90"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,"1,169,450.89",,,,,"5,825,060.15","57,344,808.21","183,097,230.43","283,606,819.47","283,606,819.47","63,964,152.78","185,299,933.59","314,153,822.84","387,469,100.62","167,537,773.97","329,549,929.45","683,701,392.16","1,081,709,538.03","393,339,463.01","757,669,891.84","792,707,910.20","959,174,019.79","30,522,630.14","303,551,267.58","303,051,267.58"
五、现金及现金等价物净增加额,"31,703,268.43","58,985,887.22","77,547,399.85","602,528,457.35","576,309,210.90","582,251,006.84","476,351,337.24","-64,232,624.42","6,891,463.64","-73,206,902.52","-99,470,027.15","-23,031,841.29","-17,410,267.64","144,180,889.82","83,884,016.40","34,471,435.45","-124,931,107.31","-169,929,578.95","-285,810,754.42","-208,217,764.15","194,383,008.23","-179,134,830.29","-198,117,289.87","-35,096,046.24","-4,134,766.41","-55,188,566.51"
购建固定资产、无形资产和其他长期资产支付的现金,"9,663,823.92","4,494,207.33","8,235,696.83","2,142,408.06","8,809,152.49","25,785,187.59","33,123,424.13","38,775,204.07","52,383,338.08","73,512,613.88","105,768,071.69","17,600,421.62","31,484,920.63","47,710,939.94","69,329,164.69","21,250,973.68","34,012,381.72","47,063,802.73","58,733,408.32","6,884,245.33","13,707,974.46","21,609,559.62","55,470,267.78","20,549,283.35","43,712,700.74","64,040,307.83"
期初现金及现金等价物余额,"10,713,263.41","42,416,531.84","101,402,419.06","178,949,818.91","178,949,818.91","178,949,818.91","178,949,818.91","655,301,156.15","655,301,156.15","655,301,156.15","655,301,156.15","555,831,129.00","555,831,129.00","555,831,129.00","555,831,129.00","640,890,677.94","640,417,359.58","640,417,359.58","639,715,145.40","353,904,390.98","353,904,390.98","353,904,390.98","353,904,390.98","155,787,101.11","155,787,101.11","155,787,101.11"
投资支付的现金,,,,,,,"160,000,000.00","79,500,000.00","79,500,000.00","279,500,000.00","350,700,000.00","80,000,000.00","140,000,000.00","140,000,000.00","330,902,200.00","132,127,567.02","432,227,150.80","857,227,150.80","1,397,016,677.19","561,290,000.00","561,290,000.00","1,043,970,000.00","1,206,238,750.00","132,187,000.00","312,187,000.00","442,187,000.00"
期末现金及现金等价物余额,"42,416,531.84","101,402,419.06","178,949,818.91","781,478,276.26","755,259,029.81","761,200,825.75","655,301,156.15","591,068,531.73","662,192,619.79","582,094,253.63","555,831,129.00","532,799,287.71","538,420,861.36","700,012,018.82","639,715,145.40","675,362,113.39","515,486,252.27","470,487,780.63","353,904,390.98","145,686,626.83","548,287,399.21","174,769,560.69","155,787,101.11","120,691,054.87","151,652,334.70","100,598,534.60"
