科目,2010年度,2011年度,2012年1-9月,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"439,078,568.20","585,962,981.96","494,978,738.87","668,453,588.74","357,727,659.55","577,988,512.29","764,332,179.85","181,839,378.10","413,893,370.51","596,086,963.00","933,117,753.66","185,760,081.29","545,770,209.23","874,099,638.44","1,183,329,807.72","267,058,567.73","611,862,515.12","961,116,486.58","1,386,950,702.92","349,219,584.69","776,830,844.66","1,225,376,275.54","1,239,776,156.70"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,"31,200,000.00","30,079,943.77"
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,"140,000,000.00",,"180,000,000.00","253,000,000.00","603,000,000.00","150,000,000.00","550,000,000.00","780,000,000.00","1,180,000,000.00","380,000,000.00","840,000,000.00","1,290,000,000.00","1,730,000,000.00"
收到其他与经营活动有关的现金,"9,600,467.59","9,973,515.06","6,991,784.75","9,573,337.57","7,501,975.29","7,619,452.69","8,624,053.61","7,258,787.01","9,155,952.34","12,290,044.30","12,869,343.63","2,839,649.62","10,880,439.06","11,846,209.75","13,396,648.21","1,318,274.14","12,674,218.38","17,571,585.64","21,254,993.53","4,535,118.57","24,658,859.26","28,995,984.21","35,773,686.87"
投资活动现金流出小计,"67,190,843.57","57,166,405.28","23,324,646.03","25,641,627.95","51,918,741.83","95,257,622.86","106,165,313.11","16,898,183.06","186,096,130.91","210,602,417.25","224,859,497.00","37,083,030.10","282,467,409.96","397,857,912.94","803,588,163.16","215,679,752.83","651,955,238.24","925,432,168.56","1,338,949,901.43","429,847,886.70","910,322,986.62","1,437,315,258.74","1,890,554,477.11"
经营活动现金流入小计,"448,679,035.79","595,936,497.02","501,970,523.62","678,026,926.31","365,229,634.84","585,607,964.98","772,956,233.46","189,098,165.11","423,049,322.85","608,377,007.30","945,987,097.29","188,599,730.91","556,650,648.29","885,945,848.19","1,196,726,455.93","268,376,841.87","624,536,733.50","978,688,072.22","1,408,205,696.45","353,754,703.26","801,489,703.92","1,254,372,259.75","1,275,549,843.57"
投资活动产生的现金流量净额,"-56,846,387.21","-57,150,137.32","-23,325,129.18","-25,469,940.55","-51,839,761.05","-95,178,642.09","-77,815,682.33","-16,898,183.06","-185,965,688.60","-210,459,974.94","-219,377,170.25","-37,083,030.10","-141,761,732.64","-183,216,470.58","-144,918,061.22","-124,696,132.96","-410,374,568.37","-675,848,498.69","-675,716,283.17","-24,278,859.30","-29,547,695.81","-151,164,113.13","-177,076,380.98"
购买商品、接受劳务支付的现金,"242,512,922.90","375,640,514.36","265,008,320.61","355,008,879.02","204,649,277.67","319,666,375.26","453,523,333.35","109,706,943.32","237,102,518.58","318,192,733.76","550,777,322.56","66,455,695.44","235,471,520.48","426,951,006.07","632,340,730.37","149,717,668.39","313,626,577.72","483,205,042.74","703,126,723.59","187,159,457.64","366,212,223.23","651,405,375.76","526,917,364.10"
吸收投资收到的现金,,,,,,,,"376,003,200.00","376,003,200.00","376,003,200.00","416,411,680.00",,,,"5,275,361.00","495,517,864.25","496,499,925.60","495,517,864.25","494,909,604.25",,,"39,672,880.00","39,672,880.00"
