科目,2007年1-6月,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"439,495,709.83","921,160,596.26","533,596,670.10","823,441,341.69","1,122,832,160.40","287,774,348.65","607,137,400.97","921,891,766.44","1,296,282,689.27","301,834,833.30","672,805,682.95","1,015,306,012.56","1,431,524,704.54","359,698,707.24","749,706,691.83","1,216,412,581.12","1,659,387,170.39","441,234,158.60","903,876,010.03","1,409,624,046.25","1,987,849,508.14","464,085,946.29","1,030,865,020.98","1,591,069,703.85","2,266,558,398.28","586,343,703.07","1,215,933,364.19","1,788,575,269.98","2,144,652,341.22","673,682,080.72","1,286,642,948.41","1,995,711,987.77","2,883,321,885.81","648,065,333.86","1,340,125,545.31","2,076,800,030.89","3,182,186,512.12","747,391,411.21","1,608,915,359.38","2,495,227,239.89","3,462,902,553.70"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"82,967.41","272,819.74","31,327.26",,,,989.48,989.48,989.48,,,"127,209.67","183,113.49","88,329.08","307,956.86","478,942.30","691,879.40","126,464.74","189,275.02","290,093.36","1,699,963.78","811,203.64","1,128,012.12","2,660,025.11","3,040,492.29","151,219.45","273,959.01","323,078.24","739,033.15","99,296.16","299,362.61","357,442.53","469,738.47","68,965.38","68,965.38","77,736.74","142,479.52","17,500.00","806,417.13","1,315,885.08","1,550,821.42"
支付其他与投资活动有关的现金,"3,300.80",,,,,,,,"9,972,732.73",,,,,"125,580.65","125,580.65","125,580.65","125,580.65",,,,,,,,,,,,,,,,,,,,"120,000,000.00","25,000,000.00","15,000,000.00","15,000,000.00","216,000,000.00"
收到其他与经营活动有关的现金,"5,444,721.00","7,298,243.45","28,077,490.67","11,464,882.85","15,554,133.92","10,602,493.80","23,257,009.76","11,284,358.17","13,075,727.69","8,781,237.34","19,417,346.13","11,278,660.59","20,089,537.82","7,668,771.26","20,078,408.83","7,867,360.11","16,205,238.86","9,202,827.70","14,908,196.28","12,337,812.56","28,447,665.06","5,334,473.01","7,578,632.55","20,303,046.58","16,783,118.74","27,791,777.20","78,198,682.71","64,109,180.88","74,013,407.20","22,886,800.60","39,228,478.23","35,973,054.36","19,582,242.17","8,247,854.77","13,761,125.72","20,486,718.12","26,061,669.05","5,710,472.89","25,647,217.73","67,440,328.51","84,489,639.61"
投资活动现金流出小计,"12,427,798.33","41,960,541.76","11,651,109.31","23,177,127.43","37,401,485.49","7,713,861.01","13,802,398.10","22,067,081.72","52,122,881.28","18,447,284.77","48,113,760.24","62,202,182.99","85,568,254.11","15,121,196.82","21,255,323.04","41,693,810.60","46,332,182.32","11,737,041.82","48,592,021.86","58,073,191.31","78,005,601.97","10,672,643.70","24,457,492.15","44,586,327.42","117,628,244.20","42,199,599.12","109,536,156.90","182,809,783.51","261,601,718.66","71,773,925.46","110,723,516.50","388,604,147.38","216,630,731.54","45,862,228.08","61,127,560.01","85,169,999.43","264,339,089.42","51,048,991.14","77,929,434.88","119,865,139.66","382,006,835.12"
经营活动现金流入小计,"445,023,398.24","928,731,659.45","561,705,488.03","834,906,224.54","1,138,386,294.32","298,376,842.45","630,395,400.21","933,177,114.09","1,309,359,406.44","310,616,070.64","692,223,029.08","1,026,711,882.82","1,451,797,355.85","367,455,807.58","770,093,057.52","1,224,758,883.53","1,676,284,288.65","450,563,451.04","918,973,481.33","1,422,251,952.17","2,017,997,136.98","470,231,622.94","1,039,571,665.65","1,614,032,775.54","2,286,382,009.31","614,286,699.72","1,294,406,005.91","1,853,007,529.10","2,219,404,781.57","696,668,177.48","1,326,170,789.25","2,032,042,484.66","2,903,373,866.45","656,382,154.01","1,353,955,636.41","2,097,364,485.75","3,208,390,660.69","753,119,384.10","1,635,368,994.24","2,563,983,453.48","3,548,943,014.73"
投资活动产生的现金流量净额,"-12,340,158.15","-41,861,901.58","-10,933,121.53","-23,125,827.43","-36,867,033.17","-7,694,961.01","-13,731,498.10","-21,989,881.72","-51,797,308.58","-18,447,284.77","-48,068,060.24","-62,138,482.99","-85,127,335.11","-15,121,196.82","-21,240,663.04","-41,609,150.60","-46,219,254.77","-11,737,041.82","-48,592,021.86","-58,056,139.76","-77,923,191.97","-10,642,919.70","-24,403,264.15","-44,482,503.42","-117,433,293.36","-42,198,549.12","-109,375,106.90","-182,759,783.51","-247,232,807.75","-71,714,517.69","-110,656,954.73","-388,437,348.63","-216,442,981.77","-45,815,508.08","-61,051,678.69","-85,084,118.11","-238,460,807.26","-50,989,175.61","-77,869,619.35","-42,442,299.26","-295,872,394.25"
购买商品、接受劳务支付的现金,"252,244,600.66","553,409,985.95","356,803,900.45","532,241,291.13","675,508,588.81","160,121,579.51","350,247,508.52","558,735,083.67","761,237,939.40","170,512,434.40","402,164,827.68","598,533,008.30","864,788,028.38","199,684,419.08","402,264,171.91","684,309,225.81","978,149,463.29","252,921,619.05","500,299,801.63","761,329,677.87","1,107,525,894.39","257,217,860.13","568,801,238.49","861,488,633.48","1,191,835,848.05","359,479,271.52","696,966,835.51","985,489,814.01","1,052,148,821.27","367,310,157.83","649,817,476.73","931,207,779.77","1,568,025,806.94","295,730,200.55","623,583,657.18","899,752,766.26","1,603,721,202.20","300,756,321.85","692,998,001.13","1,087,989,589.72","1,494,242,985.05"
吸收投资收到的现金,,"3,000,000.00",,"161,086,000.00","151,539,091.91",,,"1,100,000.00","1,590,000.00","440,000.00","440,000.00","440,000.00","440,000.00",,,,,,,,,,,,,,,,,,"536,580,693.91","536,580,693.91","536,580,693.91",,"10,435,000.00","24,935,000.00","585,000.00",,,,
