科目,2013年度,2014年度,2015年度,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"295,979,046.76","347,922,171.61","427,133,085.57","323,268,154.89","445,087,261.93","93,595,721.28","222,491,782.08","354,093,098.42","506,622,543.62","113,867,392.35"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"5,990,329.26",
收到的税费返还,"2,189,522.26","6,175,589.87","7,912,606.82","11,832,677.09","13,952,037.84","1,928,715.60","6,978,726.15","11,058,687.18","15,291,002.04","3,028,708.14"
支付其他与投资活动有关的现金,,,,,,"617,596,000.00","687,596,000.00","987,596,000.00","793,541,700.00","139,716,000.00"
收到其他与经营活动有关的现金,"1,984,093.85","4,286,988.60","41,710,387.19","9,834,227.10","12,187,029.75","2,269,559.06","2,884,129.42","7,462,497.63","4,889,150.72","3,508,442.28"
投资活动现金流出小计,"10,899,504.17","79,602,664.30","25,095,004.90","38,565,881.49","63,813,681.31","643,043,477.86","730,477,881.94","1,055,265,253.66","1,787,504,548.65","357,508,467.54"
经营活动现金流入小计,"300,152,662.87","358,384,750.08","476,756,079.58","344,935,059.08","471,226,329.52","97,793,995.94","232,354,637.65","372,614,283.23","526,802,696.38","120,404,542.77"
投资活动产生的现金流量净额,"-10,899,504.17","-79,602,664.30","-25,044,504.90","-37,808,923.49","-63,813,681.31","-643,039,457.81","-649,719,861.89","-518,447,268.99","-798,151,082.97","371,892,729.01"
购买商品、接受劳务支付的现金,"97,807,501.06","136,151,044.73","193,310,935.60","104,665,621.71","143,468,087.73","38,053,500.49","82,645,579.18","134,835,262.67","223,112,057.70","45,888,135.46"
吸收投资收到的现金,,,,,"629,102,427.68",,,,"2,520,000.00",
支付给职工以及为职工支付的现金,"69,283,799.78","93,755,688.13","117,556,301.46","102,099,550.68","128,160,561.30","30,769,199.87","65,638,373.47","88,939,742.42","121,766,920.88","31,370,824.67"
取得借款收到的现金,,,,,,,,,,
支付的各项税费,"21,146,341.77","20,186,533.43","25,982,898.95","15,055,237.97","21,871,177.60","6,890,732.25","16,763,095.78","23,672,788.00","22,949,873.38","4,809,531.18"
收到其他与筹资活动有关的现金,"700,000.00","4,845,000.00","4,500,000.00","550,000.00","550,000.00",,,,,
支付其他与经营活动有关的现金,"11,984,995.12","48,667,468.89","11,751,658.91","16,340,476.66","21,236,458.89","9,239,312.46","16,222,266.82","25,687,433.75","25,050,095.12","18,666,946.36"
筹资活动现金流入小计,"700,000.00","4,845,000.00","4,500,000.00","550,000.00","629,652,427.68",,,,"2,520,000.00",
经营活动现金流出小计,"200,222,637.73","298,760,735.18","348,601,794.92","238,160,887.02","314,736,285.52","84,952,745.07","181,269,315.25","273,135,226.84","392,878,947.08","100,735,437.67"
偿还债务支付的现金,"3,800,000.00",,,,,,,,,
经营活动产生的现金流量净额,"99,930,025.14","59,624,014.90","128,154,284.66","106,774,172.06","156,490,044.00","12,841,250.87","51,085,322.40","99,479,056.39","133,923,749.30","19,669,105.10"
分配股利、利润或偿还利息支付的现金,"16,084,145.98","23,958,000.00","25,874,640.00","38,332,800.00","38,332,800.00",,"46,179,571.78","46,179,571.78","48,554,880.00",
收回投资收到的现金,,,,,,,,,"550,000,000.00","538,304,000.00"
支付其他与筹资活动有关的现金,"1,177,547.16","1,042,138.67","301,886.78","301,886.78","2,040,774.78",,,,"2,444,897.56",
取得投资收益收到的现金,,,,,,,,,"14,693,097.18","3,613,057.25"
筹资活动现金流出小计,"21,061,693.14","25,000,138.67","26,176,526.78","38,634,686.78","40,373,574.78",,"46,179,571.78","46,179,571.78","50,999,777.56",
处置固定资产、无形资产和其他长期资产收回的现金净额,,,"50,500.00","756,958.00",,,,,,
筹资活动产生的现金流量净额,"-20,361,693.14","-20,155,138.67","-21,676,526.78","-38,084,686.78","589,278,852.90",,"-46,179,571.78","-46,179,571.78","-48,479,777.56",
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,
四、汇率变动对现金的影响,"-910,036.82","-213,557.87","397,741.23","802,193.82","677,962.71","-2,001,922.50","-4,126,322.40","-6,592,464.20","-10,082,870.79","-11,949,951.47"
收到其他与投资活动有关的现金,,,,,,"4,020.05","80,758,020.05","536,817,984.67","424,660,368.50","187,484,139.30"
四(2)、其他原因对现金的影响,,,,,,,,,,
投资活动现金流入小计,,,"50,500.00","756,958.00",,"4,020.05","80,758,020.05","536,817,984.67","989,353,465.68","729,401,196.55"
五、现金及现金等价物净增加额,"67,758,791.01","-40,347,345.94","81,830,994.21","31,682,755.61","682,633,178.30","-632,200,129.44","-648,940,433.67","-471,740,248.58","-722,789,982.02","379,611,882.64"
购建固定资产、无形资产和其他长期资产支付的现金,"10,899,504.17","79,602,664.30","25,095,004.90","38,565,881.49","63,813,681.31","25,447,477.86","42,881,881.94","59,359,364.35","87,972,519.39","18,722,467.54"
期初现金及现金等价物余额,"36,973,594.59","104,732,385.60","64,385,039.66","146,216,033.87","146,216,033.87","828,849,212.17","828,849,212.17","828,849,212.17","828,849,212.17","106,059,230.15"
投资支付的现金,,,,,,,,"8,309,889.31","900,000,000.00","199,070,000.00"
期末现金及现金等价物余额,"104,732,385.60","64,385,039.66","146,216,033.87","177,898,789.48","828,849,212.17","196,649,082.73","179,908,778.50","357,108,963.59","106,059,230.15","485,671,112.79"
