科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"46,602,964.27","107,116,447.37","201,781,971.58","59,249,113.23","132,584,565.03","206,623,881.52","294,731,105.75","69,357,890.91","121,184,251.77","184,004,472.11","251,160,768.30","57,006,551.76","232,522,465.62","395,355,585.01","662,393,986.78","102,749,543.62","266,768,818.71","382,562,918.49","559,411,828.72","89,326,934.75","236,775,726.15","331,291,357.39","461,049,258.70","93,861,464.50","275,098,069.61","399,617,232.29","818,779,698.43","94,797,679.81","203,315,911.52","320,825,267.07","849,834,793.28","86,835,621.30","165,293,539.48","275,739,145.78","475,940,375.09","338,175,830.43","350,319,683.97","844,723,678.53","709,776,225.31","261,256,222.42","503,848,520.38","967,649,233.47","1,049,560,492.56","165,821,577.20"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,"20,406.25",,,,,,,,,,,,"142,282,847.91",,,,"-18,892,130.83",,,,,,,,,
收到的税费返还,"3,061,837.10","3,796,181.92","10,299,823.79","2,808,976.80","3,690,765.93","10,005,854.30","33,441,874.00","5,830,047.45","9,297,494.31","17,818,952.35","20,265,654.44","10,277,697.83","16,829,535.92","18,318,540.64","27,773,150.65","26,762,460.63","47,813,156.60","57,921,333.00","93,512,526.48","30,275,187.19","52,757,611.87","80,756,374.69","95,112,657.30","20,160,104.27","33,981,753.83","46,227,814.02","56,579,513.29","1,989,383.62","7,224,533.07","15,454,629.87","19,440,211.22","1,978,020.57","7,465,511.82","8,642,456.76","15,488,616.11","15,582,844.14","24,235,701.98","32,390,209.70","38,147,946.74","9,273,919.47","15,549,397.27","18,621,100.64","23,392,724.25","4,445,290.47"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,500,000.00",,,,,,,,,"110,004,675.82"
收到其他与经营活动有关的现金,"808,273.01","2,207,382.12","8,093,770.17","4,937,322.12","5,701,060.56","13,088,949.39","19,427,789.58","9,240,123.35","24,156,621.68","32,175,149.03","34,531,274.46","36,131,115.42","114,288,261.19","117,730,797.59","6,196,332.43","833,970.46","6,682,884.56","6,682,884.56","10,121,801.32","10,621,300.87","10,222,343.19","19,857,219.47","28,128,348.94","4,590,172.97","3,886,026.16","18,199,490.04","6,163,491.41","23,212,085.90","40,054,955.37","232,557,873.94","15,142,563.26","23,632,855.35","52,706,731.33","207,135,716.85","32,302,741.72","48,782,090.22","12,322,335.12","17,212,753.52","166,334,821.82","48,053,610.64","13,058,026.52","13,945,415.31","201,410,622.58","44,872,790.25"
投资活动现金流出小计,"2,434,233.59","16,266,966.09","24,124,712.09","3,152,819.63","29,572,653.80","91,741,471.41","250,797,998.28","19,696,003.35","74,434,754.58","138,632,306.31","260,348,537.69","42,754,684.66","115,582,256.84","189,318,199.29","333,517,370.86","118,551,006.20","289,017,476.79","419,443,059.83","470,118,067.77","18,899,675.12","62,785,777.93","104,000,558.59","179,393,093.76","9,053,104.57","33,034,019.70","46,930,067.55","67,547,937.48","9,693,246.24","136,036,159.49","183,419,982.24","252,608,658.33","75,477,831.00","431,532,500.86","673,841,943.42","693,138,162.57","79,311,960.65","70,261,389.69","124,351,645.71","292,888,677.17","105,146,722.49","245,915,129.51","272,828,162.31","281,637,767.73","186,544,138.16"
经营活动现金流入小计,"50,473,074.38","113,120,011.41","220,175,565.54","66,995,412.15","141,976,391.52","229,718,685.21","347,600,769.33","84,428,061.71","154,638,367.76","233,998,573.49","305,957,697.20","103,415,365.01","363,640,262.73","531,404,923.24","696,363,469.86","130,345,974.71","321,264,859.87","447,167,136.05","663,046,156.52","130,223,422.81","299,755,681.21","431,904,951.55","584,290,264.94","118,611,741.74","312,965,849.60","464,044,536.35","881,522,703.13","119,999,149.33","250,595,399.96","568,837,770.88","884,417,567.76","112,446,497.22","225,465,782.63","491,517,319.39","523,731,732.92","402,540,764.79","386,877,721.07","894,326,641.75","914,258,993.87","318,583,752.53","532,455,944.17","1,000,215,749.42","1,274,363,839.39","215,139,657.92"
投资活动产生的现金流量净额,"-2,434,233.59","-16,266,966.09","-24,124,712.09","-3,152,819.63","-29,572,653.80","-91,741,471.41","-250,797,998.28","-19,696,003.35","-74,434,754.58","-138,632,306.31","-52,068,537.69","-42,754,684.66","-115,582,256.84","-168,335,999.29","-212,055,188.86","-114,300,518.61","-277,484,789.20","-403,510,372.24","-457,528,067.77","-17,767,788.65","-60,235,777.93","-101,450,558.59","-153,573,372.96","-9,053,104.57","-6,792,519.70","-20,688,567.55","-38,256,437.48","-9,693,246.24","-136,036,159.49","-174,419,982.24","-231,868,418.33","-75,477,831.00","-431,532,500.86","-673,820,320.98","-651,606,540.13","-79,311,960.65","-70,261,389.69","-124,351,645.71","-292,685,835.04","-105,146,722.49","-245,915,129.51","-272,828,162.31","-277,221,006.62","-186,544,138.16"
购买商品、接受劳务支付的现金,"21,937,267.62","68,614,981.19","126,271,554.02","37,709,305.35","186,521,814.47","277,654,888.44","263,163,844.07","49,625,216.62","96,881,661.78","169,094,481.45","174,002,944.75","53,056,943.06","164,862,241.29","344,015,633.62","522,486,269.48","204,707,921.97","465,238,175.47","558,627,601.07","782,986,009.08","81,382,212.51","184,493,512.87","325,998,014.72","438,970,992.66","86,297,812.70","175,897,557.90","294,169,562.00","796,223,343.86","161,768,654.38","266,392,146.67","438,135,948.93","567,497,450.77","78,423,507.01","111,110,040.28","310,644,643.12","233,253,982.97","313,670,867.93","292,510,207.83","724,084,995.10","671,627,175.92","254,059,758.49","435,975,624.38","766,088,258.97","642,994,315.27","158,309,752.57"
吸收投资收到的现金,,,,"410,684,000.00","410,684,000.00","410,684,000.00","412,196,574.69",,,,,,,,,"788,287,500.00","787,587,500.00","787,587,500.00","787,587,500.00",,,,,,,,,,,,,"1,194,389,994.11","1,194,389,994.11","1,194,389,994.11","1,194,819,994.11",,,,,,,,,
