科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"57,634,037.63","72,301,528.55","121,203,476.21","135,324,905.41","304,542,319.40","231,265,008.53","168,147,844.42","212,716,879.31","128,354,991.36","140,787,204.71","387,985,572.38","202,181,608.41"
短期借款,"11,850,000.00",,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,
应收票据,"8,990,000.00","24,950,713.42","25,006,546.70","10,089,660.71","25,814,373.22","37,057,396.12","59,597,665.75","86,647,571.43","56,513,096.72","60,556,101.70","52,573,599.79","47,570,295.67"
应付票据,,,,,,,"14,856,305.24","29,711,119.38","3,995,317.56","17,483,196.63","22,972,868.40","11,382,740.94"
应收账款,"59,418,250.54","72,607,911.77","80,423,345.43","98,019,188.00","99,304,364.44","109,278,658.92","138,215,740.97","140,034,794.80","151,360,081.99","116,444,884.20","129,797,001.56","147,642,489.52"
应付账款,"77,190,985.86","75,184,067.43","72,129,008.39","74,674,229.69","73,928,332.05","83,106,440.79","104,351,590.12","102,552,628.68","100,019,091.17","96,576,205.53","104,885,149.45","91,208,089.17"
预付款项,"36,034,198.79","30,788,876.51","26,195,425.60","33,701,351.00","25,173,623.20","29,611,899.16","19,828,200.58","29,457,136.18","36,103,822.80","43,036,287.61","37,296,507.96","48,452,325.66"
预收款项,"489,183.43","1,253,957.01","1,237,890.12","1,280,589.87","2,130,105.37","2,379,447.23","1,897,939.81","1,229,289.98","1,692,947.47","1,119,949.55","2,245,070.89","1,898,482.28"
其他应收款,"775,584.93","862,724.27","982,015.34","941,347.36","897,212.14","845,820.82","884,238.91","502,301.67","438,243.68","543,042.29","555,485.10","737,198.79"
应付职工薪酬,"1,551,606.60","2,503,783.29","2,106,854.30","690,231.99","1,372,689.27","2,456,717.97","4,482,765.48","1,121,519.76","2,258,552.52","3,391,354.83","5,860,121.07","1,434,425.43"
应收关联公司款,,,,,,,,,,,,
应交税费,"2,639,109.50","7,125,071.35","5,632,149.42","7,166,847.71","6,558,138.86","6,438,344.90","9,259,350.74","6,280,750.15","6,761,524.28","4,417,829.91","8,925,626.92","9,162,219.24"
应收利息,,,,,,,,,,,,
应付利息,"37,133.33",,,,,,,,,,,
应收股利,,,,,,,,,,,,
应付股利,"40,065.58","40,065.58",,,,,,,,,,
存货,"69,859,584.14","74,566,495.78","76,004,488.99","73,936,748.36","73,661,973.64","78,516,292.16","83,758,414.39","89,043,107.05","82,175,549.02","81,892,699.96","85,737,247.15","88,796,612.07"
其他应付款,"201,717.90","214,943.24","19,206.00","23,222.16","21,102.36","1,063,182.96","24,848.31","55,938.19","452,517.55","190,067.19","310,672.52","621,173.82"
其中:消耗性生物资产,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,
其他流动资产,"472,101.49","397,649.13","945,607.82","700,000.00","183,990,000.00","255,990,000.00","332,136,798.61","227,000,000.00","298,000,000.00","334,000,000.00","131,459,924.12","284,000,000.00"
其他流动负债,,,,,"150,000.00","150,000.00",,,,,,
流动资产合计,"233,183,757.52","276,475,899.43","330,760,906.09","352,713,200.84","713,383,866.04","742,565,075.71","802,568,903.63","785,401,790.44","752,945,785.57","777,260,220.47","825,405,338.06","819,380,530.12"
流动负债合计,"93,999,802.20","86,321,887.90","81,125,108.23","83,835,121.42","84,160,367.91","95,594,133.85","134,872,799.70","140,951,246.14","115,179,950.55","123,178,603.64","145,199,509.25","115,707,130.88"
可供出售金融资产,,,,,,,,,,,,
长期借款,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,
应付债券,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,
长期股权投资,,,,,,,,"47,986,790.84","53,814,210.63","56,131,498.28","56,599,744.11","58,886,558.64"
专项应付款,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,
预计负债,,,,,,,,,,,,
固定资产,"61,669,099.02","81,036,238.63","85,538,572.38","89,499,216.20","92,135,866.98","94,575,845.18","112,197,650.18","113,927,584.52","115,866,787.43","115,718,702.88","121,384,531.24","117,984,405.38"
递延所得税负债,,,,,,,,,,,,
在建工程,"5,852,628.26","517,213.29","4,258,128.37","3,934,170.15","6,337,683.14","9,656,202.58",,,,,,
其他非流动负债,,,,,,,,,,,,
工程物资,,,,,,,,,,,,
非流动负债合计,"9,051,247.38","8,116,247.38","6,745,000.00","6,541,250.00","6,337,500.00","6,133,750.00","7,010,000.00","6,776,250.00","6,542,500.00","6,308,750.00","11,068,300.00","10,739,862.50"
固定资产清理,,,,,,,,,,,,
负债合计,"103,051,049.58","94,438,135.28","87,870,108.23","90,376,371.42","90,497,867.91","101,727,883.85","141,882,799.70","147,727,496.14","121,722,450.55","129,487,353.64","156,267,809.25","126,446,993.38"
生产性生物资产,,,,,,,,,,,,
实收资本(或股本),"50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","66,670,000.00","66,670,000.00","66,670,000.00","66,670,000.00","120,006,000.00","120,006,000.00","120,006,000.00","120,006,000.00"
油气资产,,,,,,,,,,,,
资本公积,"19,852,010.97","19,852,010.97","19,852,010.97","19,852,010.97","357,590,010.97","357,590,010.97","357,590,010.97","357,590,010.97","304,254,010.97","304,254,010.97","304,254,010.97","304,254,010.97"
无形资产,"7,648,295.11","8,098,110.16","14,099,439.20","13,991,017.58","13,984,305.36","13,875,883.74","13,772,240.20","13,635,724.72","14,350,996.31","14,230,064.18","14,580,827.23","15,140,487.13"
盈余公积,"13,844,629.42","20,442,756.35","27,753,789.28","27,753,789.28","27,753,789.28","27,753,789.28","36,123,737.40","36,123,737.40","36,123,737.40","36,123,737.40","43,867,116.71","43,867,116.71"
开发支出,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,
商誉,,,,,,,,,,,,
未分配利润,"117,249,874.99","173,642,825.92","238,264,380.30","260,466,971.95","282,722,579.57","305,485,124.88","326,224,799.48","355,127,922.79","358,423,736.74","379,429,027.75","399,614,333.53","429,961,107.10"
长期待摊费用,,,,"260,106.71","515,753.66","520,353.05","388,820.28","431,953.25","380,118.53","328,283.81","896,403.25","910,120.65"
少数股东权益,"5,377,949.37","9,122,385.55","13,245,658.27","14,263,590.06","15,159,797.85","16,295,626.11","17,866,418.02","19,295,932.67","20,431,136.65","22,598,315.41","23,608,048.92","25,135,257.60"
递延所得税资产,"1,021,734.42","1,370,652.56","2,328,901.01","2,315,022.20","2,221,292.50","2,513,796.93","3,023,383.84","3,007,072.58","3,275,447.12","3,313,402.77","4,351,900.45","4,638,722.92"
外币报表折算价差,,,,,,,,,,,,
其他非流动资产,,,,,"11,815,277.90","11,815,277.90","14,406,589.44","18,145,311.62","20,336,404.72","24,926,424.78","25,005,985.36","33,248,262.15"
非正常经营项目收益调整,,,,,,,,,,,,
非流动资产合计,"76,191,756.81","91,022,214.64","106,225,040.96","109,999,532.84","127,010,179.54","132,957,359.38","143,788,683.94","197,134,437.53","208,023,964.74","214,648,376.70","222,819,391.64","230,808,556.87"
所有者权益(或股东权益)合计,"206,324,464.75","273,059,978.79","349,115,838.82","372,336,362.26","749,896,177.67","773,794,551.24","804,474,787.87","834,808,731.83","839,247,299.76","862,421,243.53","891,956,920.45","923,742,093.61"
资产总计,"309,375,514.33","367,498,114.07","436,985,947.05","462,712,733.68","840,394,045.58","875,522,435.09","946,357,587.57","982,536,227.97","960,969,750.31","991,908,597.17","1,048,224,729.70","1,050,189,086.99"
负债和所有者(或股东权益)合计,"309,375,514.33","367,498,114.07","436,985,947.05","462,712,733.68","840,394,045.58","875,522,435.09","946,357,587.57","982,536,227.97","960,969,750.31","991,908,597.17","1,048,224,729.70","1,050,189,086.99"
